tie,link,old_owner,proposal,evidence
downstream,31,-,고속 24,고속24[83.3°/1301.2m]; SC2001[88.3°/1644.2m]; 고속26[57.4°/3722.0m]
downstream,68,-,고속 2,고속2[94.8°/2449.2m]; 고속26[25.1°/6786.0m]
downstream,69,-,SC1004,SC1004[1.2°/469.7m]; 고속26[155.0°/6054.5m]
downstream,70,-,SC1004,SC1004[2.1°/38.6m]; 고속2[84.2°/1919.1m]
downstream,78,-,SC2001,SC2001[179.6°/10.1m]; 고속24[175.4°/417.9m]; 고속26[34.6°/3525.2m]
downstream,141,SC12,SC6,SC6[87.3°/126.1m]; SC12[93.8°/297.3m]
downstream,224,SC11,SC3,SC3[89.7°/30.6m]; SC11[92.6°/36.2m]
downstream,225,SC11,SC11,SC11[76.3°/6.5m]; SC3[101.4°/17.7m]
downstream,236,SC2,SC2,SC2[67.4°/7.8m]; SC11[112.2°/17.1m]
downstream,360,SC9001,SC9002,SC9002[91.4°/7.0m]; SC9001[89.3°/17.9m]
downstream,385,SC1004,SC1005,SC1005[35.8°/370.6m]; SC1004[33.1°/1255.8m]
downstream,10119,-,SC2001,SC2001[88.8°/313.6m]; 고속24[83.9°/717.8m]; 고속26[56.9°/3592.0m]
downstream,10121,-,SC2001,SC2001[96.3°/312.7m]; 고속24[91.3°/716.5m]; 고속26[49.4°/3590.1m]
downstream,10479,-,고속 24,고속24[91.4°/301.8m]; SC2001[96.3°/555.9m]; 고속26[49.4°/3515.8m]
downstream,10483,-,고속 24,고속24[83.9°/242.8m]; SC2001[88.9°/299.4m]; 고속26[56.9°/3515.6m]
downstream,10610,SC1004,SC1005,SC1005[56.8°/377.7m]; SC1004[54.2°/1263.5m]
downstream,10611,SC1004,SC1005,SC1005[3.5°/359.3m]; SC1004[6.1°/1244.1m]
downstream,10618,SC1004,SC1005,SC1005[9.8°/373.2m]; SC1004[12.4°/1257.3m]
downstream,10619,SC1004,SC1005,SC1005[6.5°/373.1m]; SC1004[9.1°/1257.4m]
downstream,10625,-,고속 2,고속2[106.6°/1977.8m]; 고속26[13.2°/5822.0m]
downstream,10629,-,고속 2,고속2[93.0°/1974.4m]; 고속26[26.9°/5825.3m]
downstream,10633,-,고속 2,고속2[87.6°/1967.5m]; 고속26[32.3°/5832.0m]
downstream,10637,-,SC1004,SC1004[0.1°/373.3m]; 고속2[86.5°/1888.6m]
downstream,10638,-,SC1004,SC1004[16.0°/335.0m]; 고속2[70.4°/1888.5m]
downstream,10643,-,SC1004,SC1004[36.7°/44.8m]; 고속2[49.6°/1917.8m]
downstream,10645,-,고속 2,고속2[110.8°/1925.5m]; 고속26[9.1°/6046.7m]
downstream,10682,-,고속 2,고속2[124.0°/1936.1m]; 고속26[4.2°/5909.0m]
downstream,10698,-,SC2001,SC2001[83.0°/314.0m]; 고속24[78.1°/719.7m]; 고속26[62.7°/3597.1m]
downstream,10703,-,SC2001,SC2001[91.5°/38.1m]; 고속24[86.5°/404.9m]; 고속26[54.3°/3536.7m]
downstream,10721,-,고속 24,고속24[176.8°/385.5m]; SC2001[171.8°/474.2m]; 고속26[42.4°/3052.8m]
downstream,10723,-,고속 24,고속24[165.0°/385.4m]; SC2001[160.1°/474.1m]; 고속26[54.2°/3052.9m]
downstream,10726,-,고속 24,고속24[175.1°/388.2m]; SC2001[179.9°/473.6m]; 고속26[34.3°/3053.4m]
downstream,1220000102,SC1004,SC1005,SC1005[5.6°/48.0m]; SC1004[8.2°/933.2m]
upstream,52,SC1004,SC1005,SC1005·403[87.4°/443.8m]  SC1005·62[2.6°/482.1m]  SC107·382[91.1°/1288.0m]  SC107·183[10.3°/1297.1m]
upstream,387,SC107,SC1005,SC1005·403[85.4°/489.0m]  SC1005·57[6.9°/500.6m]  SC1004·66[96.5°/1416.5m]  SC1004·46[85.0°/1439.8m]
upstream,10613,SC107,SC1005,SC1005·403[87.5°/715.3m]  SC1005·57[4.8°/726.2m]  SC1004·66[94.4°/1641.3m]  SC1004·46[87.1°/1665.5m]
upstream,10614,SC107,SC1005,SC1005·403[90.4°/715.1m]  SC1005·57[1.9°/725.6m]  SC1004·66[91.5°/1640.3m]  SC1004·46[90.0°/1664.8m]
upstream,10615,SC107,SC1005,SC1005·403[81.4°/715.0m]  SC1005·57[10.9°/725.4m]  SC1004·66[100.5°/1639.9m]  SC1004·46[81.0°/1664.5m]
upstream,1220000201,SC107,SC1005,SC1005·403[84.3°/728.6m]  SC1005·57[8.1°/739.2m]  SC1004·66[97.7°/1653.9m]  SC1004·46[83.9°/1678.3m]
