sim_sec,sc,sg,requested,readback,ok,stage
3300,9101,1,GREEN,GREEN,1,immediate
3300,9102,1,GREEN,GREEN,1,immediate
3300,9103,1,GREEN,GREEN,1,immediate
3300,9104,1,GREEN,GREEN,1,immediate
3300,9105,1,GREEN,GREEN,1,immediate
3300,9106,1,GREEN,GREEN,1,immediate
3300,9107,1,GREEN,GREEN,1,immediate
3300,9108,1,GREEN,GREEN,1,immediate
3300,1,1,RED,RED,1,immediate
3300,1,2,RED,RED,1,immediate
3300,1,3,GREEN,GREEN,1,immediate
3300,1,4,RED,RED,1,immediate
3300,1,5,RED,RED,1,immediate
3300,1,6,RED,RED,1,immediate
3300,1,7,GREEN,GREEN,1,immediate
3300,1,8,RED,RED,1,immediate
3300,5,1,RED,RED,1,immediate
3300,5,2,RED,RED,1,immediate
3300,5,3,GREEN,GREEN,1,immediate
3300,5,4,RED,RED,1,immediate
3300,5,5,RED,RED,1,immediate
3300,5,6,RED,RED,1,immediate
3300,5,7,GREEN,GREEN,1,immediate
3300,5,8,RED,RED,1,immediate
3300,6,1,RED,RED,1,immediate
3300,6,2,GREEN,GREEN,1,immediate
3300,6,3,RED,RED,1,immediate
3300,6,4,RED,RED,1,immediate
3300,6,5,RED,RED,1,immediate
3300,6,6,GREEN,GREEN,1,immediate
3300,6,7,RED,RED,1,immediate
3300,6,8,RED,RED,1,immediate
3300,7,1,RED,RED,1,immediate
3300,7,2,RED,RED,1,immediate
3300,7,3,RED,RED,1,immediate
3300,7,4,RED,RED,1,immediate
3300,7,5,RED,RED,1,immediate
3300,7,6,RED,RED,1,immediate
3300,7,7,GREEN,GREEN,1,immediate
3300,7,8,RED,RED,1,immediate
3300,11,1,RED,RED,1,immediate
3300,11,2,RED,RED,1,immediate
3300,11,3,RED,RED,1,immediate
3300,11,4,GREEN,GREEN,1,immediate
3300,11,5,RED,RED,1,immediate
3300,11,6,RED,RED,1,immediate
3300,11,7,RED,RED,1,immediate
3300,11,8,GREEN,GREEN,1,immediate
3300,12,1,RED,RED,1,immediate
3300,12,2,RED,RED,1,immediate
3300,12,3,GREEN,GREEN,1,immediate
3300,12,4,RED,RED,1,immediate
3300,12,5,RED,RED,1,immediate
3300,12,6,RED,RED,1,immediate
3300,12,7,GREEN,GREEN,1,immediate
3300,12,8,RED,RED,1,immediate
3300,16,1,RED,RED,1,immediate
3300,16,2,RED,RED,1,immediate
3300,16,3,GREEN,GREEN,1,immediate
3300,16,4,RED,RED,1,immediate
3300,16,5,RED,RED,1,immediate
3300,16,6,RED,RED,1,immediate
3300,16,7,GREEN,GREEN,1,immediate
3300,16,8,RED,RED,1,immediate
3300,101,1,RED,RED,1,immediate
3300,101,2,RED,RED,1,immediate
3300,101,3,GREEN,GREEN,1,immediate
3300,101,4,RED,RED,1,immediate
3300,101,5,RED,RED,1,immediate
3300,101,6,RED,RED,1,immediate
3300,101,7,GREEN,GREEN,1,immediate
3300,101,8,RED,RED,1,immediate
3300,105,1,RED,RED,1,immediate
3300,105,2,RED,RED,1,immediate
3300,105,3,GREEN,GREEN,1,immediate
3300,105,4,RED,RED,1,immediate
3300,105,5,RED,RED,1,immediate
3300,105,6,RED,RED,1,immediate
3300,105,7,GREEN,GREEN,1,immediate
3300,105,8,RED,RED,1,immediate
3300,107,1,RED,RED,1,immediate
3300,107,2,RED,RED,1,immediate
3300,107,3,GREEN,GREEN,1,immediate
3300,107,4,RED,RED,1,immediate
3300,107,5,RED,RED,1,immediate
3300,107,6,RED,RED,1,immediate
3300,107,7,GREEN,GREEN,1,immediate
3300,107,8,RED,RED,1,immediate
3300,108,1,RED,RED,1,immediate
3300,108,2,RED,RED,1,immediate
3300,108,3,RED,RED,1,immediate
3300,108,4,GREEN,GREEN,1,immediate
3300,108,5,RED,RED,1,immediate
3300,108,6,RED,RED,1,immediate
3300,108,7,RED,RED,1,immediate
3300,108,8,GREEN,GREEN,1,immediate
3300,109,1,RED,RED,1,immediate
3300,109,2,RED,RED,1,immediate
3300,109,3,RED,RED,1,immediate
3300,109,4,RED,RED,1,immediate
3300,109,5,RED,RED,1,immediate
3300,109,6,RED,RED,1,immediate
3300,109,7,GREEN,GREEN,1,immediate
3300,109,8,RED,RED,1,immediate
3300,1001,1,RED,RED,1,immediate
3300,1001,2,RED,RED,1,immediate
3300,1001,3,RED,RED,1,immediate
3300,1001,4,GREEN,GREEN,1,immediate
3300,1001,5,RED,RED,1,immediate
3300,1001,6,RED,RED,1,immediate
3300,1001,7,RED,RED,1,immediate
3300,1001,8,GREEN,GREEN,1,immediate
3300,1002,1,RED,RED,1,immediate
3300,1002,2,RED,RED,1,immediate
