sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
900.0,10639,1,2,0,31.895000000000003,,
900.0,10682,1,9,0,31.74777777777778,,
901.0,10639,1,2,0,31.895000000000003,,
901.0,10682,1,9,0,30.894444444444446,,
902.0,10639,1,2,0,31.895000000000003,,
902.0,10682,1,9,1,29.947777777777773,164.28,164.28
903.0,10639,1,2,0,31.895000000000003,,
903.0,10682,1,9,0,28.971111111111114,,
904.0,10639,1,2,0,31.895000000000003,,
904.0,10682,1,10,0,30.320999999999998,,
905.0,10639,1,2,0,32.345,,
905.0,10682,1,10,1,26.369,226.08,226.08
906.0,10639,1,2,0,37.0,,
906.0,10682,1,10,1,26.163,226.08,226.08
907.0,10639,1,2,0,35.655,,
907.0,10682,1,9,0,27.10222222222222,,
908.0,10639,1,2,0,34.28,,
908.0,10682,1,10,0,27.891000000000002,,
909.0,10639,1,2,0,33.35,,
909.0,10682,1,10,0,27.766000000000002,,
910.0,10639,1,2,0,32.415000000000006,,
910.0,10682,1,10,0,30.574,,
911.0,10639,1,2,0,31.485,,
911.0,10682,1,10,0,29.355,,
912.0,10639,1,2,0,31.935000000000002,,
912.0,10682,1,11,1,27.179090909090913,224.27,224.27
913.0,10639,1,2,0,32.385000000000005,,
913.0,10682,1,12,0,28.28333333333333,,
914.0,10639,1,2,0,32.835,,
914.0,10682,1,11,0,28.69727272727273,,
915.0,10639,1,2,0,33.285,,
915.0,10682,1,12,0,28.14333333333333,,
916.0,10639,1,2,0,33.225,,
916.0,10682,1,12,0,25.661666666666665,,
917.0,10639,1,2,0,33.165000000000006,,
917.0,10682,1,13,1,25.11,222.18,222.18
918.0,10639,1,2,0,33.165000000000006,,
918.0,10682,1,13,2,22.573076923076922,215.53,222.71
919.0,10639,1,1,0,33.74,,
919.0,10682,1,13,1,20.717692307692307,216.42,216.42
920.0,10639,1,1,0,33.74,,
920.0,10682,1,13,1,22.57923076923077,216.86,216.86
921.0,10639,1,0,0,,,
921.0,10682,1,13,2,20.04,210.25,217.3
922.0,10639,1,0,0,,,
922.0,10682,1,14,2,20.600714285714282,198.47,210.9
923.0,10639,1,0,0,,,
923.0,10682,1,14,3,17.999285714285712,186.64,211.28
924.0,10639,1,0,0,,,
924.0,10682,1,13,2,14.99,187.33,199.77
925.0,10639,1,1,0,43.52,,
925.0,10682,1,14,3,15.319999999999999,86.37,200.13
926.0,10639,1,1,0,42.2,,
926.0,10682,1,14,2,16.50857142857143,181.75,187.84
927.0,10639,1,1,0,42.2,,
927.0,10682,1,14,3,15.84,175.79,188.28
928.0,10639,1,1,0,42.2,,
928.0,10682,1,14,3,17.49642857142857,175.91,189.16
929.0,10639,1,1,0,42.2,,
929.0,10682,1,14,3,16.924285714285713,169.65,182.46
930.0,10639,1,1,0,42.2,,
930.0,10682,1,15,4,17.625333333333334,158.83,183.68
931.0,10639,1,1,0,42.2,,
931.0,10682,1,16,4,19.08875,153.73,216.32
932.0,10639,1,1,0,42.2,,
932.0,10682,1,16,4,17.31375,153.8,216.92
933.0,10639,1,1,0,42.2,,
933.0,10682,1,16,4,14.92625,146.52,204.29
934.0,10639,1,1,0,42.2,,
934.0,10682,1,16,6,11.2925,127.87,204.93
935.0,10639,1,1,0,42.2,,
935.0,10682,1,15,5,11.377333333333333,120.92,198.31
936.0,10639,1,1,0,42.2,,
936.0,10682,1,16,6,11.835625,120.92,198.8
937.0,10639,1,1,0,42.2,,
937.0,10682,1,16,4,13.13875,134.97,192.53
938.0,10639,1,1,0,42.2,,
938.0,10682,1,16,6,13.243125,135.79,221.08
939.0,10639,1,1,0,42.2,,
939.0,10682,1,17,4,14.024705882352942,136.61,221.93
940.0,10639,1,1,0,42.2,,
940.0,10682,1,17,5,13.528235294117646,130.14,187.84
941.0,10639,1,1,0,42.2,,
941.0,10682,1,16,4,13.185,124.01,175.59
942.0,10639,1,1,0,42.2,,
942.0,10682,1,17,4,15.569411764705883,119.04,176.14
943.0,10639,1,1,0,42.2,,
943.0,10682,1,17,4,14.859411764705882,113.39,170.88
944.0,10639,1,1,0,42.2,,
944.0,10682,1,17,5,14.743529411764706,106.13,171.6
945.0,10639,1,1,0,42.2,,
945.0,10682,1,18,5,16.308888888888887,106.64,166.09
946.0,10639,1,2,0,42.115,,
946.0,10682,1,18,3,16.715555555555554,121.29,159.56
947.0,10639,1,2,0,43.290000000000006,,
947.0,10682,1,18,6,14.137777777777778,61.38,160.42
948.0,10639,1,2,0,43.290000000000006,,
948.0,10682,1,19,8,14.572105263157894,62.04,161.05
949.0,10639,1,2,0,43.290000000000006,,
949.0,10682,1,19,6,14.838947368421053,46.62,154.76
950.0,10639,1,2,0,43.290000000000006,,
950.0,10682,1,19,7,11.897894736842105,46.62,155.59
951.0,10639,1,2,0,43.290000000000006,,
951.0,10682,1,20,6,12.639999999999999,33.33,140.44
952.0,10639,1,2,0,43.290000000000006,,
952.0,10682,1,19,7,11.642105263157896,28.48,113.1
953.0,10639,1,1,0,44.38,,
953.0,10682,1,19,6,10.99157894736842,28.48,136.92
954.0,10639,1,1,0,44.38,,
954.0,10682,1,20,7,11.9535,10.73,137.7
955.0,10639,1,1,0,44.38,,
955.0,10682,1,20,8,11.7855,10.73,138.35
956.0,10639,1,1,0,44.38,,
956.0,10682,1,19,8,12.182631578947369,4.28,131.72
957.0,10639,1,1,0,44.38,,
957.0,10682,1,19,8,13.419473684210526,4.71,124.5
958.0,10639,1,1,0,44.38,,
958.0,10682,1,18,9,11.787777777777778,4.82,125.42
959.0,10639,1,1,0,44.38,,
959.0,10682,1,17,6,11.641176470588235,4.82,119.07
960.0,10639,1,1,0,44.38,,
960.0,10682,1,17,4,14.059411764705882,4.82,81.15
961.0,10639,1,1,0,44.38,,
961.0,10682,1,16,6,13.205625,4.82,74.87
962.0,10639,1,1,0,44.38,,
962.0,10682,1,16,5,16.219375,48.01,114.92
963.0,10639,1,1,0,44.38,,
963.0,10682,1,15,3,16.104,62.43,102.51
964.0,10639,1,1,0,44.38,,
964.0,10682,1,16,4,17.255625,57.73,103.37
965.0,10639,1,1,0,44.38,,
965.0,10682,1,15,4,15.931333333333333,31.3,71.39
966.0,10639,1,1,0,44.38,,
966.0,10682,1,15,5,17.60666666666667,32.21,84.87
967.0,10639,1,1,0,44.38,,
967.0,10682,1,14,5,14.821428571428571,32.84,85.39
968.0,10639,1,1,0,44.38,,
968.0,10682,1,15,6,16.92866666666667,26.61,78.5
969.0,10639,1,1,0,44.38,,
969.0,10682,1,14,5,16.68285714285714,20.21,79.73
970.0,10639,1,1,0,44.38,,
970.0,10682,1,15,4,17.982000000000003,20.63,47.76
971.0,10639,1,1,0,44.38,,
971.0,10682,1,14,3,14.587857142857144,20.84,56.94
972.0,10639,1,0,0,,,
972.0,10682,1,14,3,15.739999999999998,21.08,36.64
973.0,10639,1,0,0,,,
973.0,10682,1,15,5,16.689333333333334,16.54,58.89
974.0,10639,1,0,0,,,
974.0,10682,1,15,7,17.244000000000003,10.12,59.7
975.0,10639,1,0,0,,,
975.0,10682,1,15,5,20.792666666666666,4.71,53.11
976.0,10639,1,0,0,,,
976.0,10682,1,14,4,21.247142857142855,4.71,32.46
977.0,10639,1,0,0,,,
