sim_sec,source,interval_sec,network_vehicles,inside_vehicles,outside_vehicles,ttt_veh_h_cumulative,observed_exit_events,terminal_exit_inferred_events,unresolved_inside_disappearances,observed_entry_events,appeared_inside_events,reappeared_inside_events,ttd_observed_plus_terminal_cumulative,stock_closure_residual_veh
5.1,fzp,5.1,45,28,17,0.01983333333333333,0,0,0,0,28,0,0,0
10.1,fzp,5.0,86,61,25,0.08163888888888889,0,0,0,0,33,0,0,0
15.1,fzp,5.0,121,83,38,0.1816388888888889,0,0,0,0,22,0,0,0
20.1,fzp,5.000000000000002,166,112,54,0.31705555555555565,0,0,0,0,29,0,0,0
25.1,fzp,5.0,209,147,62,0.4969166666666668,0,0,0,1,34,0,0,0
30.1,fzp,5.0,241,174,67,0.7198333333333334,0,0,0,1,26,0,0,0
35.1,fzp,5.0,276,199,77,0.9788611111111112,0,0,0,1,24,0,0,0
40.1,fzp,5.0,319,223,96,1.2719166666666668,0,0,0,0,24,0,0,0
45.1,fzp,5.0,352,245,107,1.5969166666666668,0,0,0,2,20,0,0,0
50.1,fzp,5.0,395,276,119,1.9587222222222223,0,0,0,1,30,0,0,0
55.1,fzp,5.0,428,303,125,2.3608055555555554,0,0,0,1,26,0,0,0
60.1,fzp,5.0,478,335,143,2.803861111111111,0,0,0,0,32,0,0,0
65.1,fzp,4.999999999999993,527,369,158,3.292749999999999,0,0,0,0,34,0,0,0
70.1,fzp,5.0,568,397,171,3.8246944444444435,2,0,0,0,30,0,2,0
75.1,fzp,5.0,606,424,182,4.394833333333333,2,0,0,0,29,0,4,0
80.1,fzp,5.0,657,458,199,5.0073333333333325,0,0,0,2,32,0,4,0
85.1,fzp,5.0,696,486,210,5.662888888888888,0,0,0,7,21,0,4,0
90.1,fzp,5.0,740,515,225,6.358027777777777,2,0,0,2,29,0,6,0
95.1,fzp,5.0,776,538,238,7.089277777777777,0,0,0,1,22,0,6,0
100.1,fzp,5.0,821,567,254,7.856638888888888,4,0,0,2,31,0,10,0
105.1,fzp,5.0,847,590,257,8.66011111111111,3,0,0,2,24,0,13,0
110.1,fzp,5.0,886,619,267,9.499694444444444,2,0,0,1,30,0,15,0
115.1,fzp,5.0,920,646,274,10.378166666666665,5,0,0,8,24,0,20,0
120.1,fzp,5.0,954,670,284,11.292055555555555,8,0,0,8,24,0,28,0
125.1,fzp,5.0,997,701,296,12.244138888888887,1,0,0,2,30,0,29,0
130.1,fzp,5.0,1029,726,303,13.23511111111111,2,0,1,4,24,0,31,0
135.1,fzp,5.0,1070,754,316,14.262888888888888,1,0,1,3,27,0,32,0
140.1,fzp,5.0,1113,781,332,15.32886111111111,4,0,2,3,30,0,36,0
145.1,fzp,5.0,1151,812,339,16.43511111111111,0,0,0,3,28,0,36,0
150.1,fzp,5.0,1187,846,341,17.586499999999997,2,0,0,5,31,0,38,0
155.1,fzp,5.0,1216,876,340,18.78233333333333,1,0,0,9,22,0,39,0
160.1,fzp,5.0,1249,913,336,20.024694444444442,3,0,0,13,27,0,42,0
165.1,fzp,5.0,1284,943,341,21.31358333333333,3,0,0,9,24,0,45,0
170.1,fzp,5.0,1323,972,351,22.64344444444444,5,0,1,9,26,0,50,0
175.1,fzp,5.0,1352,995,357,24.009416666666663,6,0,0,5,24,0,56,0
180.1,fzp,5.0,1370,1016,354,25.40594444444444,3,0,0,6,18,0,59,0
185.1,fzp,5.0,1413,1048,365,26.839277777777774,2,0,1,3,32,0,61,0
190.1,fzp,5.0,1456,1075,381,28.31358333333333,5,0,0,4,28,0,66,0
195.1,fzp,5.0,1493,1101,392,29.82469444444444,4,0,1,3,28,0,70,0
200.1,fzp,5.0,1522,1124,398,31.36983333333333,5,0,0,3,25,0,75,0
205.1,fzp,5.0,1556,1153,403,32.95108333333333,7,0,0,0,36,0,82,0
210.1,fzp,5.0,1597,1185,412,34.57469444444444,4,0,0,6,30,0,86,0
215.1,fzp,5.0,1634,1219,415,36.244138888888884,3,0,0,4,33,0,89,0
220.1,fzp,5.0,1670,1240,430,37.95177777777777,5,0,0,2,24,0,94,0
225.1,fzp,5.0,1707,1262,445,39.68927777777777,10,0,0,1,31,0,104,0
230.1,fzp,5.0,1744,1284,460,41.457333333333324,12,0,0,4,30,0,116,0
235.1,fzp,5.0,1772,1312,460,43.2601111111111,10,0,0,13,25,0,126,0
240.1,fzp,5.0,1806,1336,470,45.09899999999999,8,1,0,6,27,0,135,0
245.1,fzp,5.0,1829,1359,470,46.97052777777777,8,1,0,7,25,0,144,0
250.1,fzp,5.0,1869,1394,475,48.88233333333332,4,1,0,7,33,0,149,0
255.1,fzp,5.0,1907,1416,491,50.83372222222221,10,0,0,1,31,0,159,0
260.1,fzp,5.000000000000028,1940,1436,504,52.814277777777775,15,0,0,4,31,0,174,0
265.1,fzp,5.0,1972,1455,517,54.82191666666667,9,0,0,7,21,0,183,0
270.1,fzp,5.0,2007,1486,521,56.86427777777778,12,1,0,14,30,0,196,0
275.1,fzp,5.0,2038,1510,528,58.944833333333335,7,0,0,4,27,0,203,0
280.1,fzp,5.0,2060,1534,526,61.05872222222222,5,0,0,4,25,0,208,0
285.1,fzp,5.0,2095,1557,538,63.20525,6,2,0,3,28,0,216,0
290.1,fzp,5.0,2118,1573,545,65.3788611111111,10,2,1,4,25,0,228,0
295.1,fzp,5.0,2150,1597,553,67.58024999999999,9,0,0,2,31,0,237,0
300.1,fzp,5.0,2164,1613,551,69.80941666666666,7,1,1,0,25,0,245,0
305.1,fzp,5.0,2183,1639,544,72.06775,6,3,0,10,25,0,254,0
310.1,fzp,5.0,2198,1668,530,74.36427777777779,6,1,0,14,22,0,261,0
315.1,fzp,5.0,2221,1696,525,76.7003888888889,11,2,0,17,24,0,274,0
320.1,fzp,5.0,2244,1719,525,79.07191666666667,14,2,0,11,28,0,290,0
325.1,fzp,5.0,2269,1746,523,81.47816666666667,8,3,0,7,31,0,301,0
330.1,fzp,5.0,2304,1771,533,83.92052777777778,15,5,0,11,34,0,321,0
335.1,fzp,5.0,2329,1794,535,86.39622222222222,6,8,0,6,31,0,335,0
340.1,fzp,5.0,2338,1810,528,88.899,4,6,0,3,23,0,345,0
345.1,fzp,5.0,2361,1824,537,91.42261111111111,14,2,0,3,27,0,361,0
350.1,fzp,5.0,2381,1842,539,93.96844444444444,10,3,0,6,25,0,374,0
355.1,fzp,5.0,2394,1853,541,96.53441666666667,13,9,0,4,29,0,396,0
360.1,fzp,5.0,2411,1862,549,99.11427777777779,14,8,0,6,25,0,418,0
