time_s,vehicle,last_link,last_position_m,inside_omega
130.1,147,1220007501,143.69,True
135.1,319,10313,12.29,False
135.1,345,1220007501,140.91,True
140.1,465,1220000502,329.86,True
140.1,634,1220000502,307.46,True
170.1,717,1220000402,132.22,True
185.1,320,1210009403,101.15,True
195.1,230,1220014000,90.84,True
195.1,449,10267,15.7,False
205.1,665,10267,14.7,False
235.1,371,1,60.02,False
260.1,625,10313,3.94,False
270.1,644,10313,10.68,False
275.1,927,10313,11.6,False
290.1,1599,10113,12.65,False
290.1,1873,1220000502,311.32,True
300.1,46,1210009403,98.73,True
300.1,315,10267,18.78,False
305.1,160,120,6834.38,True
310.1,10,120,6897.83,True
310.1,1048,10228,17.98,False
315.1,12,120,6948.67,True
315.1,45,120,6803.61,True
320.1,17,120,6809.75,True
325.1,120,120,6856.9,True
330.1,100,120,6853.27,True
335.1,73,120,6872.93,True
335.1,1548,10266,14.05,False
340.1,21,120,6872.73,True
340.1,50,120,6935.93,True
340.1,183,120,6763.19,True
340.1,221,120,6809.3,True
350.1,107,120,6866.35,True
350.1,2084,10111,7.13,False
355.1,60,120,6810.41,True
355.1,97,120,6888.68,True
360.1,59,120,6869.09,True
360.1,172,120,6852.67,True
360.1,216,120,6935.95,True
360.1,261,120,6868.43,True
360.1,285,120,6790.37,True
365.1,69,120,6838.41,True
365.1,70,120,6911.98,True
370.1,1,120,6864.47,True
370.1,99,120,6956.19,True
370.1,1527,1220007501,112.21,True
375.1,88,120,6863.49,True
375.1,189,120,6878.66,True
375.1,239,120,6910.68,True
375.1,297,120,6820.62,True
380.1,196,120,6823.17,True
380.1,234,120,6859.97,True
380.1,430,120,6863.99,True
385.1,198,120,6853.16,True
385.1,209,120,6951.09,True
385.1,383,120,6951.96,True
385.1,1686,1,112.14,False
385.1,2393,1,73.67,False
390.1,316,120,6904.2,True
390.1,355,120,6945.29,True
390.1,381,120,6828.03,True
395.1,203,120,6925.39,True
395.1,251,120,6951.62,True
395.1,291,120,6910.08,True
395.1,325,120,6852.54,True
395.1,363,120,6908.08,True
395.1,520,120,6788.2,True
400.1,317,120,6921.57,True
405.1,136,120,6909.82,True
405.1,313,120,6854.65,True
405.1,416,120,6836.27,True
405.1,429,120,6934.52,True
405.1,431,120,6818.03,True
405.1,507,120,6937.87,True
410.1,310,120,6934.19,True
410.1,347,120,6870.06,True
410.1,361,120,6947.06,True
410.1,404,120,6908.13,True
410.1,527,120,6960.65,True
410.1,597,120,6837.2,True
410.1,2185,1220007501,143.76,True
415.1,303,120,6940.68,True
415.1,349,120,6852.2,True
415.1,354,120,6827.86,True
415.1,445,120,6920.09,True
415.1,569,120,6877.85,True
415.1,581,120,6843.44,True
420.1,328,120,6846.65,True
420.1,436,120,6930.3,True
420.1,467,120,6806.36,True
420.1,529,120,6816.83,True
420.1,2572,10313,3.31,False
425.1,243,120,6910.03,True
425.1,254,120,6902.97,True
425.1,399,120,6831.64,True
425.1,411,120,6943.45,True
425.1,538,120,6809.51,True
425.1,591,120,6940.11,True
425.1,637,120,6909.73,True
425.1,643,120,6872.81,True
430.1,151,120,6958.09,True
430.1,364,120,6826.24,True
430.1,489,120,6850.88,True
430.1,583,120,6885.1,True
430.1,712,120,6835.52,True
435.1,1155,1220014000,101.62,True
440.1,2142,10410,0.85,False
445.1,89,1,141.02,False
445.1,425,120,6926.14,True
445.1,811,120,6957.77,True
445.1,2439,10267,1.5,False
450.1,685,120,6887.92,True
450.1,727,120,6906.19,True
450.1,823,120,6908.99,True
450.1,853,120,6948.77,True
450.1,882,120,6848.69,True
450.1,1678,10267,22.08,False
450.1,2855,10111,30.17,False
455.1,509,120,6847.53,True
455.1,584,120,6942.79,True
455.1,907,120,6907.43,True
455.1,922,120,6801.85,True
455.1,970,120,6830.63,True
460.1,503,120,6862.78,True
460.1,598,120,6858.15,True
460.1,661,120,6951.7,True
460.1,684,120,6895.43,True
460.1,731,120,6822.85,True
460.1,806,120,6885.1,True
460.1,990,120,6939.38,True
465.1,323,1,94.16,False
465.1,370,120,6893.39,True
465.1,490,120,6952.84,True
465.1,577,120,6852.4,True
