section,kind,start_s,crossings
E_entry,in,0,223
E_entry,in,150,301
E_entry,in,300,294
E_entry,in,450,272
E_entry,in,600,298
E_entry,in,750,292
E_entry,in,900,314
E_entry,in,1050,327
E_entry,in,1200,308
E_entry,in,1350,317
E_entry,in,1500,320
E_entry,in,1650,321
E_entry,in,1800,309
E_entry,in,1950,293
E_entry,in,2100,326
E_entry,in,2250,311
E_entry,in,2400,319
E_entry,in,2550,325
E_entry,in,2700,316
E_entry,in,2850,311
E_entry,in,3000,314
E_entry,in,3150,314
E_entry,in,3300,319
E_entry,in,3450,318
E_entry,in,3600,329
E_entry,in,3750,300
E_entry,in,3900,291
E_entry,in,4050,323
E_entry,in,4200,323
E_entry,in,4350,335
E_entry,in,4500,323
E_entry,in,4650,319
E_entry,in,4800,323
E_entry,in,4950,317
E_entry,in,5100,329
E_entry,in,5250,328
E_entry,in,5400,293
E_entry,in,5550,328
E_entry,in,5700,309
E_entry,in,5850,324
E_entry,in,6000,324
E_entry,in,6150,334
E_entry,in,6300,335
E_entry,in,6450,300
E_entry,in,6600,320
E_entry,in,6750,228
E_entry,in,6900,239
E_entry,in,7050,182
E_entry,in,7200,203
E_entry,in,7350,210
E_entry,in,7500,229
E_entry,in,7650,206
E_entry,in,7800,203
E_entry,in,7950,214
E_entry,in,8100,178
E_entry,in,8250,213
E_entry,in,8400,212
E_entry,in,8550,194
E_entry,in,8700,204
E_entry,in,8850,187
E_entry,out,0,91
E_entry,out,150,282
E_entry,out,300,282
E_entry,out,450,297
E_entry,out,600,283
E_entry,out,750,295
E_entry,out,900,279
E_entry,out,1050,328
E_entry,out,1200,311
E_entry,out,1350,321
E_entry,out,1500,321
E_entry,out,1650,341
E_entry,out,1800,305
E_entry,out,1950,287
E_entry,out,2100,319
E_entry,out,2250,315
E_entry,out,2400,314
E_entry,out,2550,308
E_entry,out,2700,322
E_entry,out,2850,318
E_entry,out,3000,316
E_entry,out,3150,288
E_entry,out,3300,365
E_entry,out,3450,280
E_entry,out,3600,349
E_entry,out,3750,315
E_entry,out,3900,275
E_entry,out,4050,324
E_entry,out,4200,321
E_entry,out,4350,334
E_entry,out,4500,328
E_entry,out,4650,328
E_entry,out,4800,307
E_entry,out,4950,330
E_entry,out,5100,333
E_entry,out,5250,301
E_entry,out,5400,324
E_entry,out,5550,297
E_entry,out,5700,329
E_entry,out,5850,313
E_entry,out,6000,318
E_entry,out,6150,351
E_entry,out,6300,321
E_entry,out,6450,325
E_entry,out,6600,298
E_entry,out,6750,293
E_entry,out,6900,240
E_entry,out,7050,209
E_entry,out,7200,182
E_entry,out,7350,215
E_entry,out,7500,218
E_entry,out,7650,217
E_entry,out,7800,205
E_entry,out,7950,214
E_entry,out,8100,193
E_entry,out,8250,198
E_entry,out,8400,210
E_entry,out,8550,211
E_entry,out,8700,196
E_entry,out,8850,199
E_middle,in,0,1
E_middle,in,150,169
E_middle,in,300,225
E_middle,in,450,254
E_middle,in,600,267
E_middle,in,750,282
E_middle,in,900,277
E_middle,in,1050,252
E_middle,in,1200,285
E_middle,in,1350,289
E_middle,in,1500,287
E_middle,in,1650,291
E_middle,in,1800,292
E_middle,in,1950,299
E_middle,in,2100,295
E_middle,in,2250,297
E_middle,in,2400,282
E_middle,in,2550,298
E_middle,in,2700,309
E_middle,in,2850,300
E_middle,in,3000,311
E_middle,in,3150,307
E_middle,in,3300,284
E_middle,in,3450,300
E_middle,in,3600,303
E_middle,in,3750,310
E_middle,in,3900,317
E_middle,in,4050,261
E_middle,in,4200,286
E_middle,in,4350,301
E_middle,in,4500,317
E_middle,in,4650,295
E_middle,in,4800,298
E_middle,in,4950,292
E_middle,in,5100,280
E_middle,in,5250,305
E_middle,in,5400,309
E_middle,in,5550,293
E_middle,in,5700,274
E_middle,in,5850,283
E_middle,in,6000,294
E_middle,in,6150,298
E_middle,in,6300,287
E_middle,in,6450,301
E_middle,in,6600,301
E_middle,in,6750,303
E_middle,in,6900,297
E_middle,in,7050,258
E_middle,in,7200,230
E_middle,in,7350,223
E_middle,in,7500,221
E_middle,in,7650,223
E_middle,in,7800,202
E_middle,in,7950,207
E_middle,in,8100,206
E_middle,in,8250,192
E_middle,in,8400,219
E_middle,in,8550,205
E_middle,in,8700,184
E_middle,in,8850,194
E_middle,out,150,91
E_middle,out,300,238
E_middle,out,450,242
E_middle,out,600,277
E_middle,out,750,263
E_middle,out,900,260
E_middle,out,1050,279
E_middle,out,1200,275
E_middle,out,1350,309
E_middle,out,1500,273
E_middle,out,1650,269
E_middle,out,1800,301
E_middle,out,1950,311
E_middle,out,2100,272
E_middle,out,2250,309
E_middle,out,2400,282
E_middle,out,2550,281
E_middle,out,2700,316
E_middle,out,2850,298
E_middle,out,3000,305
E_middle,out,3150,312
E_middle,out,3300,306
E_middle,out,3450,275
E_middle,out,3600,321
E_middle,out,3750,299
E_middle,out,3900,318
E_middle,out,4050,277
E_middle,out,4200,287
E_middle,out,4350,271
E_middle,out,4500,325
E_middle,out,4650,303
E_middle,out,4800,301
E_middle,out,4950,302
E_middle,out,5100,274
E_middle,out,5250,301
E_middle,out,5400,298
E_middle,out,5550,295
E_middle,out,5700,302
E_middle,out,5850,273
E_middle,out,6000,270
E_middle,out,6150,312
E_middle,out,6300,290
E_middle,out,6450,291
E_middle,out,6600,318
E_middle,out,6750,293
E_middle,out,6900,296
E_middle,out,7050,297
E_middle,out,7200,226
E_middle,out,7350,217
E_middle,out,7500,232
E_middle,out,7650,214
E_middle,out,7800,211
E_middle,out,7950,215
E_middle,out,8100,199
E_middle,out,8250,200
E_middle,out,8400,206
E_middle,out,8550,198
E_middle,out,8700,201
E_middle,out,8850,190
E_rear,in,150,79
E_rear,in,300,229
E_rear,in,450,240
E_rear,in,600,259
E_rear,in,750,246
E_rear,in,900,247
E_rear,in,1050,273
E_rear,in,1200,258
E_rear,in,1350,287
E_rear,in,1500,256
E_rear,in,1650,260
E_rear,in,1800,287
E_rear,in,1950,290
E_rear,in,2100,267
E_rear,in,2250,286
E_rear,in,2400,278
E_rear,in,2550,258
E_rear,in,2700,308
E_rear,in,2850,287
E_rear,in,3000,297
E_rear,in,3150,298
E_rear,in,3300,287
E_rear,in,3450,268
E_rear,in,3600,307
E_rear,in,3750,281
E_rear,in,3900,303
E_rear,in,4050,281
E_rear,in,4200,268
E_rear,in,4350,263
E_rear,in,4500,305
E_rear,in,4650,291
E_rear,in,4800,299
E_rear,in,4950,283
E_rear,in,5100,272
E_rear,in,5250,278
E_rear,in,5400,297
E_rear,in,5550,285
E_rear,in,5700,293
E_rear,in,5850,262
E_rear,in,6000,262
E_rear,in,6150,289
E_rear,in,6300,286
E_rear,in,6450,279
E_rear,in,6600,307
E_rear,in,6750,278
E_rear,in,6900,285
E_rear,in,7050,282
E_rear,in,7200,217
E_rear,in,7350,211
E_rear,in,7500,231
E_rear,in,7650,204
E_rear,in,7800,200
E_rear,in,7950,195
E_rear,in,8100,210
E_rear,in,8250,183
E_rear,in,8400,197
E_rear,in,8550,204
E_rear,in,8700,178
E_rear,in,8850,185
E_rear,out,0,1
E_rear,out,150,67
E_rear,out,300,221
E_rear,out,450,235
E_rear,out,600,237
E_rear,out,750,243
E_rear,out,900,247
E_rear,out,1050,275
E_rear,out,1200,265
E_rear,out,1350,299
E_rear,out,1500,257
E_rear,out,1650,284
E_rear,out,1800,252
E_rear,out,1950,285
E_rear,out,2100,284
E_rear,out,2250,278
E_rear,out,2400,288
E_rear,out,2550,279
E_rear,out,2700,306
E_rear,out,2850,297
E_rear,out,3000,290
E_rear,out,3150,286
E_rear,out,3300,291
E_rear,out,3450,286
E_rear,out,3600,301
E_rear,out,3750,276
E_rear,out,3900,301
E_rear,out,4050,295
E_rear,out,4200,272
E_rear,out,4350,298
E_rear,out,4500,297
E_rear,out,4650,299
E_rear,out,4800,256
E_rear,out,4950,290
E_rear,out,5100,250
E_rear,out,5250,266
E_rear,out,5400,274
E_rear,out,5550,265
E_rear,out,5700,280
E_rear,out,5850,266
E_rear,out,6000,239
E_rear,out,6150,269
E_rear,out,6300,268
E_rear,out,6450,260
E_rear,out,6600,283
E_rear,out,6750,268
E_rear,out,6900,288
E_rear,out,7050,260
E_rear,out,7200,196
E_rear,out,7350,182
E_rear,out,7500,199
E_rear,out,7650,220
E_rear,out,7800,195
E_rear,out,7950,201
E_rear,out,8100,194
E_rear,out,8250,201
E_rear,out,8400,171
E_rear,out,8550,210
E_rear,out,8700,194
E_rear,out,8850,164
W_entry,in,0,199
W_entry,in,150,233
W_entry,in,300,223
W_entry,in,450,190
W_entry,in,600,192
W_entry,in,750,186
W_entry,in,900,180
W_entry,in,1050,196
W_entry,in,1200,196
W_entry,in,1350,224
W_entry,in,1500,178
W_entry,in,1650,208
W_entry,in,1800,182
W_entry,in,1950,170
W_entry,in,2100,177
W_entry,in,2250,195
W_entry,in,2400,176
W_entry,in,2550,184
W_entry,in,2700,186
W_entry,in,2850,164
W_entry,in,3000,162
W_entry,in,3150,167
W_entry,in,3300,177
W_entry,in,3450,180
W_entry,in,3600,182
W_entry,in,3750,178
W_entry,in,3900,189
W_entry,in,4050,162
W_entry,in,4200,168
W_entry,in,4350,170
W_entry,in,4500,172
W_entry,in,4650,159
W_entry,in,4800,195
W_entry,in,4950,169
W_entry,in,5100,174
W_entry,in,5250,180
W_entry,in,5400,208
W_entry,in,5550,185
W_entry,in,5700,193
W_entry,in,5850,203
W_entry,in,6000,164
W_entry,in,6150,198
W_entry,in,6300,179
W_entry,in,6450,195
W_entry,in,6600,176
W_entry,in,6750,185
W_entry,in,6900,188
W_entry,in,7050,174
W_entry,in,7200,176
W_entry,in,7350,160
W_entry,in,7500,170
W_entry,in,7650,168
W_entry,in,7800,183
W_entry,in,7950,167
W_entry,in,8100,175
W_entry,in,8250,185
W_entry,in,8400,171
W_entry,in,8550,172
W_entry,in,8700,179
W_entry,in,8850,193
W_entry,out,0,64
W_entry,out,150,180
W_entry,out,300,193
W_entry,out,450,192
W_entry,out,600,189
W_entry,out,750,185
W_entry,out,900,178
W_entry,out,1050,194
W_entry,out,1200,200
W_entry,out,1350,193
W_entry,out,1500,205
W_entry,out,1650,175
W_entry,out,1800,184
W_entry,out,1950,171
W_entry,out,2100,181
W_entry,out,2250,165
W_entry,out,2400,197
W_entry,out,2550,193
W_entry,out,2700,165
W_entry,out,2850,179
W_entry,out,3000,161
W_entry,out,3150,178
W_entry,out,3300,179
W_entry,out,3450,155
W_entry,out,3600,186
W_entry,out,3750,197
W_entry,out,3900,167
W_entry,out,4050,197
W_entry,out,4200,150
W_entry,out,4350,159
W_entry,out,4500,176
W_entry,out,4650,166
W_entry,out,4800,182
W_entry,out,4950,167
W_entry,out,5100,194
W_entry,out,5250,193
W_entry,out,5400,182
W_entry,out,5550,181
W_entry,out,5700,183
W_entry,out,5850,211
W_entry,out,6000,174
W_entry,out,6150,191
W_entry,out,6300,179
W_entry,out,6450,192
W_entry,out,6600,188
W_entry,out,6750,172
W_entry,out,6900,189
W_entry,out,7050,168
W_entry,out,7200,184
W_entry,out,7350,163
W_entry,out,7500,187
W_entry,out,7650,166
W_entry,out,7800,173
W_entry,out,7950,174
W_entry,out,8100,168
W_entry,out,8250,182
W_entry,out,8400,161
W_entry,out,8550,189
W_entry,out,8700,202
W_entry,out,8850,165
