section,kind,start_s,crossings
E_entry,in,0,223
E_entry,in,150,301
E_entry,in,300,294
E_entry,in,450,272
E_entry,in,600,298
E_entry,in,750,292
E_entry,in,900,300
E_entry,in,1050,320
E_entry,in,1200,312
E_entry,in,1350,322
E_entry,in,1500,323
E_entry,in,1650,330
E_entry,in,1800,314
E_entry,in,1950,330
E_entry,in,2100,318
E_entry,in,2250,334
E_entry,in,2400,315
E_entry,in,2550,310
E_entry,in,2700,334
E_entry,in,2850,324
E_entry,in,3000,306
E_entry,in,3150,310
E_entry,in,3300,308
E_entry,in,3450,308
E_entry,in,3600,307
E_entry,in,3750,320
E_entry,in,3900,303
E_entry,in,4050,332
E_entry,in,4200,323
E_entry,in,4350,312
E_entry,in,4500,318
E_entry,in,4650,307
E_entry,in,4800,311
E_entry,in,4950,316
E_entry,in,5100,315
E_entry,in,5250,301
E_entry,in,5400,305
E_entry,in,5550,304
E_entry,in,5700,319
E_entry,in,5850,316
E_entry,in,6000,321
E_entry,in,6150,327
E_entry,in,6300,304
E_entry,in,6450,322
E_entry,in,6600,307
E_entry,in,6750,299
E_entry,in,6900,242
E_entry,in,7050,188
E_entry,in,7200,207
E_entry,in,7350,206
E_entry,in,7500,230
E_entry,in,7650,209
E_entry,in,7800,199
E_entry,in,7950,207
E_entry,in,8100,184
E_entry,in,8250,211
E_entry,in,8400,217
E_entry,in,8550,194
E_entry,in,8700,202
E_entry,in,8850,188
E_entry,out,0,91
E_entry,out,150,282
E_entry,out,300,282
E_entry,out,450,297
E_entry,out,600,283
E_entry,out,750,295
E_entry,out,900,175
E_entry,out,1050,304
E_entry,out,1200,325
E_entry,out,1350,309
E_entry,out,1500,323
E_entry,out,1650,322
E_entry,out,1800,333
E_entry,out,1950,311
E_entry,out,2100,329
E_entry,out,2250,323
E_entry,out,2400,329
E_entry,out,2550,321
E_entry,out,2700,307
E_entry,out,2850,334
E_entry,out,3000,325
E_entry,out,3150,301
E_entry,out,3300,312
E_entry,out,3450,304
E_entry,out,3600,311
E_entry,out,3750,305
E_entry,out,3900,324
E_entry,out,4050,310
E_entry,out,4200,322
E_entry,out,4350,329
E_entry,out,4500,307
E_entry,out,4650,324
E_entry,out,4800,309
E_entry,out,4950,304
E_entry,out,5100,310
E_entry,out,5250,323
E_entry,out,5400,307
E_entry,out,5550,301
E_entry,out,5700,298
E_entry,out,5850,325
E_entry,out,6000,316
E_entry,out,6150,316
E_entry,out,6300,334
E_entry,out,6450,306
E_entry,out,6600,310
E_entry,out,6750,308
E_entry,out,6900,306
E_entry,out,7050,313
E_entry,out,7200,184
E_entry,out,7350,207
E_entry,out,7500,199
E_entry,out,7650,241
E_entry,out,7800,212
E_entry,out,7950,192
E_entry,out,8100,211
E_entry,out,8250,184
E_entry,out,8400,215
E_entry,out,8550,216
E_entry,out,8700,186
E_entry,out,8850,193
E_middle,in,0,1
E_middle,in,150,169
E_middle,in,300,225
E_middle,in,450,254
E_middle,in,600,267
E_middle,in,750,282
E_middle,in,900,267
E_middle,in,1050,155
E_middle,in,1200,252
E_middle,in,1350,294
E_middle,in,1500,293
E_middle,in,1650,293
E_middle,in,1800,293
E_middle,in,1950,301
E_middle,in,2100,309
E_middle,in,2250,310
E_middle,in,2400,291
E_middle,in,2550,309
E_middle,in,2700,323
E_middle,in,2850,303
E_middle,in,3000,306
E_middle,in,3150,298
E_middle,in,3300,311
E_middle,in,3450,305
E_middle,in,3600,296
E_middle,in,3750,290
E_middle,in,3900,305
E_middle,in,4050,284
E_middle,in,4200,282
E_middle,in,4350,326
E_middle,in,4500,311
E_middle,in,4650,269
E_middle,in,4800,289
E_middle,in,4950,282
E_middle,in,5100,304
E_middle,in,5250,290
E_middle,in,5400,288
E_middle,in,5550,289
E_middle,in,5700,267
E_middle,in,5850,285
E_middle,in,6000,284
E_middle,in,6150,291
E_middle,in,6300,287
E_middle,in,6450,296
E_middle,in,6600,295
E_middle,in,6750,298
E_middle,in,6900,286
E_middle,in,7050,285
E_middle,in,7200,306
E_middle,in,7350,223
E_middle,in,7500,247
E_middle,in,7650,233
E_middle,in,7800,215
E_middle,in,7950,225
E_middle,in,8100,197
E_middle,in,8250,177
E_middle,in,8400,207
E_middle,in,8550,221
E_middle,in,8700,185
E_middle,in,8850,199
E_middle,out,150,91
E_middle,out,300,238
E_middle,out,450,242
E_middle,out,600,277
E_middle,out,750,263
E_middle,out,900,260
E_middle,out,1050,197
E_middle,out,1200,226
E_middle,out,1350,288
E_middle,out,1500,289
E_middle,out,1650,281
E_middle,out,1800,297
E_middle,out,1950,314
E_middle,out,2100,291
E_middle,out,2250,323
E_middle,out,2400,298
E_middle,out,2550,284
E_middle,out,2700,331
E_middle,out,2850,293
E_middle,out,3000,306
E_middle,out,3150,277
E_middle,out,3300,339
E_middle,out,3450,275
E_middle,out,3600,295
E_middle,out,3750,268
E_middle,out,3900,277
E_middle,out,4050,326
E_middle,out,4200,305
E_middle,out,4350,333
E_middle,out,4500,312
E_middle,out,4650,268
E_middle,out,4800,284
E_middle,out,4950,320
E_middle,out,5100,282
E_middle,out,5250,298
E_middle,out,5400,289
E_middle,out,5550,290
E_middle,out,5700,264
E_middle,out,5850,279
E_middle,out,6000,269
E_middle,out,6150,310
E_middle,out,6300,277
E_middle,out,6450,301
E_middle,out,6600,299
E_middle,out,6750,281
E_middle,out,6900,283
E_middle,out,7050,300
E_middle,out,7200,289
E_middle,out,7350,270
E_middle,out,7500,256
E_middle,out,7650,215
E_middle,out,7800,236
E_middle,out,7950,220
E_middle,out,8100,193
E_middle,out,8250,209
E_middle,out,8400,170
E_middle,out,8550,235
E_middle,out,8700,202
E_middle,out,8850,163
E_rear,in,150,79
E_rear,in,300,229
E_rear,in,450,240
E_rear,in,600,259
E_rear,in,750,246
E_rear,in,900,247
E_rear,in,1050,191
E_rear,in,1200,205
E_rear,in,1350,277
E_rear,in,1500,277
E_rear,in,1650,276
E_rear,in,1800,267
E_rear,in,1950,306
E_rear,in,2100,270
E_rear,in,2250,310
E_rear,in,2400,293
E_rear,in,2550,270
E_rear,in,2700,310
E_rear,in,2850,282
E_rear,in,3000,288
E_rear,in,3150,272
E_rear,in,3300,317
E_rear,in,3450,249
E_rear,in,3600,292
E_rear,in,3750,249
E_rear,in,3900,273
E_rear,in,4050,309
E_rear,in,4200,300
E_rear,in,4350,330
E_rear,in,4500,270
E_rear,in,4650,286
E_rear,in,4800,282
E_rear,in,4950,304
E_rear,in,5100,275
E_rear,in,5250,292
E_rear,in,5400,274
E_rear,in,5550,276
E_rear,in,5700,250
E_rear,in,5850,278
E_rear,in,6000,256
E_rear,in,6150,305
E_rear,in,6300,249
E_rear,in,6450,297
E_rear,in,6600,293
E_rear,in,6750,264
E_rear,in,6900,257
E_rear,in,7050,311
E_rear,in,7200,254
E_rear,in,7350,277
E_rear,in,7500,238
E_rear,in,7650,209
E_rear,in,7800,229
E_rear,in,7950,215
E_rear,in,8100,188
E_rear,in,8250,204
E_rear,in,8400,157
E_rear,in,8550,223
E_rear,in,8700,196
E_rear,in,8850,162
E_rear,out,0,1
E_rear,out,150,67
E_rear,out,300,221
E_rear,out,450,235
E_rear,out,600,237
E_rear,out,750,243
E_rear,out,900,247
E_rear,out,1050,234
E_rear,out,1200,212
E_rear,out,1350,257
E_rear,out,1500,292
E_rear,out,1650,254
E_rear,out,1800,298
E_rear,out,1950,298
E_rear,out,2100,274
E_rear,out,2250,309
E_rear,out,2400,299
E_rear,out,2550,289
E_rear,out,2700,303
E_rear,out,2850,289
E_rear,out,3000,286
E_rear,out,3150,272
E_rear,out,3300,301
E_rear,out,3450,287
E_rear,out,3600,279
E_rear,out,3750,290
E_rear,out,3900,292
E_rear,out,4050,301
E_rear,out,4200,292
E_rear,out,4350,266
E_rear,out,4500,296
E_rear,out,4650,291
E_rear,out,4800,265
E_rear,out,4950,291
E_rear,out,5100,248
E_rear,out,5250,276
E_rear,out,5400,296
E_rear,out,5550,255
E_rear,out,5700,256
E_rear,out,5850,245
E_rear,out,6000,226
E_rear,out,6150,286
E_rear,out,6300,232
E_rear,out,6450,281
E_rear,out,6600,288
E_rear,out,6750,272
E_rear,out,6900,235
E_rear,out,7050,277
E_rear,out,7200,253
E_rear,out,7350,292
E_rear,out,7500,208
E_rear,out,7650,176
E_rear,out,7800,217
E_rear,out,7950,198
E_rear,out,8100,213
E_rear,out,8250,187
E_rear,out,8400,179
E_rear,out,8550,188
E_rear,out,8700,211
E_rear,out,8850,168
W_entry,in,0,199
W_entry,in,150,233
W_entry,in,300,223
W_entry,in,450,190
W_entry,in,600,192
W_entry,in,750,186
W_entry,in,900,192
W_entry,in,1050,175
W_entry,in,1200,190
W_entry,in,1350,191
W_entry,in,1500,183
W_entry,in,1650,178
W_entry,in,1800,176
W_entry,in,1950,177
W_entry,in,2100,175
W_entry,in,2250,190
W_entry,in,2400,178
W_entry,in,2550,188
W_entry,in,2700,178
W_entry,in,2850,179
W_entry,in,3000,178
W_entry,in,3150,173
W_entry,in,3300,169
W_entry,in,3450,162
W_entry,in,3600,183
W_entry,in,3750,168
W_entry,in,3900,177
W_entry,in,4050,181
W_entry,in,4200,167
W_entry,in,4350,155
W_entry,in,4500,168
W_entry,in,4650,178
W_entry,in,4800,169
W_entry,in,4950,178
W_entry,in,5100,181
W_entry,in,5250,186
W_entry,in,5400,172
W_entry,in,5550,180
W_entry,in,5700,165
W_entry,in,5850,186
W_entry,in,6000,170
W_entry,in,6150,191
W_entry,in,6300,171
W_entry,in,6450,179
W_entry,in,6600,164
W_entry,in,6750,160
W_entry,in,6900,185
W_entry,in,7050,173
W_entry,in,7200,146
W_entry,in,7350,173
W_entry,in,7500,177
W_entry,in,7650,167
W_entry,in,7800,175
W_entry,in,7950,161
W_entry,in,8100,181
W_entry,in,8250,160
W_entry,in,8400,177
W_entry,in,8550,180
W_entry,in,8700,181
W_entry,in,8850,183
W_entry,out,0,64
W_entry,out,150,180
W_entry,out,300,193
W_entry,out,450,192
W_entry,out,600,189
W_entry,out,750,185
W_entry,out,900,165
W_entry,out,1050,176
W_entry,out,1200,191
W_entry,out,1350,185
W_entry,out,1500,174
W_entry,out,1650,180
W_entry,out,1800,171
W_entry,out,1950,161
W_entry,out,2100,185
W_entry,out,2250,173
W_entry,out,2400,182
W_entry,out,2550,181
W_entry,out,2700,187
W_entry,out,2850,181
W_entry,out,3000,164
W_entry,out,3150,174
W_entry,out,3300,161
W_entry,out,3450,181
W_entry,out,3600,167
W_entry,out,3750,175
W_entry,out,3900,186
W_entry,out,4050,174
W_entry,out,4200,165
W_entry,out,4350,181
W_entry,out,4500,156
W_entry,out,4650,180
W_entry,out,4800,173
W_entry,out,4950,170
W_entry,out,5100,176
W_entry,out,5250,196
W_entry,out,5400,173
W_entry,out,5550,170
W_entry,out,5700,172
W_entry,out,5850,188
W_entry,out,6000,174
W_entry,out,6150,190
W_entry,out,6300,175
W_entry,out,6450,167
W_entry,out,6600,182
W_entry,out,6750,160
W_entry,out,6900,166
W_entry,out,7050,175
W_entry,out,7200,167
W_entry,out,7350,163
W_entry,out,7500,167
W_entry,out,7650,172
W_entry,out,7800,169
W_entry,out,7950,177
W_entry,out,8100,163
W_entry,out,8250,176
W_entry,out,8400,176
W_entry,out,8550,156
W_entry,out,8700,163
W_entry,out,8850,189
