sec,link_or_cell,n,stop_le1_kph,slow_lt30_kph,mean_speed_kph
2400,100,4,0,0,39.92
2400,10023,2,0,0,44.19
2400,10117,1,0,0,37.83
2400,10189,1,0,0,30.15
2400,10200,2,0,0,38.51
2400,10247,1,0,0,42.41
2400,10293,1,0,0,42.04
2400,10380,1,0,0,42.12
2400,10385,1,0,0,39.68
2400,10401,1,0,0,41.7
2400,10403,1,0,0,43.2
2400,10481,46,38,44,5.939347826086958
2400,10482,1,0,0,41.42
2400,10484,5,0,0,43.308
2400,10491,4,0,2,38.285
2400,10498,1,0,0,100.32
2400,10501,5,0,0,73.00399999999999
2400,10514,5,3,4,7.56
2400,10517,4,4,4,0.0
2400,10520,5,5,5,0.0
2400,10523,1,0,1,12.01
2400,10544,1,0,0,42.99
2400,10566,2,0,0,42.875
2400,10595,2,0,0,35.665
2400,10619,2,0,0,69.535
2400,10621,10,0,0,60.913
2400,10635,1,0,0,48.83
2400,10638,11,0,0,47.42181818181818
2400,10639,3,1,1,28.69333333333334
2400,10640,1,0,0,46.18
2400,10644,14,0,3,29.255
2400,10646,7,0,0,49.434285714285714
2400,10651,1,0,0,39.68
2400,10654,1,0,0,41.71
2400,10655,1,0,1,20.2
2400,10657,1,0,0,72.54
2400,10660,1,1,1,0.0
2400,10661,1,0,0,66.66
2400,10674,1,0,0,38.65
2400,10675,2,0,0,38.295
2400,10682,21,6,20,9.856666666666667
2400,10686,2,0,0,45.235
2400,10693,2,0,0,41.29
2400,10699,1,0,0,117.4
2400,10701,1,0,0,41.08
2400,10771,1,0,0,101.49
2400,119,17,0,0,96.65352941176471
2400,120,226,0,1,98.59986725663717
2400,121,12,0,7,28.367500000000003
2400,1210006903,7,0,0,40.25857142857143
2400,1210008401,19,17,18,2.156842105263158
2400,1210008501,1,0,0,46.25
2400,1210008703,2,2,2,0.0
2400,1210009403,1,0,0,42.57
2400,1210009503,2,0,1,35.0
2400,1210009700,1,0,1,11.76
2400,1210012101,3,0,0,40.22666666666667
2400,1210012103,1,0,0,41.6
2400,1210012600,6,0,1,39.67
2400,1210012700,1,0,0,42.07
2400,1210014303,12,3,8,26.536666666666665
2400,1210018302,14,10,13,4.8307142857142855
2400,1210018504,6,0,0,42.885
2400,122,1,0,0,36.21
2400,1220000102,3,0,0,64.6
2400,1220000201,6,1,6,13.371666666666668
2400,1220000402,10,0,0,50.094
2400,1220000502,4,0,0,71.58250000000001
2400,1220006403,5,0,1,43.848
2400,1220006503,1,1,1,0.0
2400,1220006803,7,0,0,66.3457142857143
2400,1220006903,11,8,9,8.973636363636365
2400,1220007001,6,6,6,0.0
2400,1220007004,2,0,0,39.790000000000006
2400,1220007104,5,0,0,55.220000000000006
2400,1220007200,12,12,12,0.0
2400,1220007300,1,0,0,117.69
2400,1220007402,2,1,2,3.925
2400,1220007501,17,17,17,0.0
2400,1220007502,4,4,4,0.0
2400,1220008201,4,0,0,42.165
2400,1220008301,4,0,0,37.6525
2400,1220008302,1,0,0,113.14
2400,1220008303,1,0,0,40.92
2400,1220008401,1,0,0,64.38
2400,1220008501,4,0,0,43.905
2400,1220008502,9,0,0,41.044444444444444
2400,1220009402,1,0,0,38.84
2400,1220011001,9,2,3,29.967777777777776
2400,1220011101,1,0,0,40.78
2400,1220011103,4,0,0,42.4425
2400,1220011503,22,18,21,3.784090909090909
2400,1220012001,1,1,1,0.0
2400,1220012102,3,3,3,0.0
2400,1220012103,1,1,1,0.0
2400,1220012502,2,2,2,0.0
2400,1220012700,3,0,0,41.193333333333335
2400,1220014100,2,0,0,44.525
2400,1220014201,3,3,3,0.0
2400,1220014203,5,5,5,0.0
2400,1220014303,3,3,3,0.0
2400,1220015000,4,3,4,2.4275
2400,1220018302,2,0,0,54.004999999999995
2400,1220018403,4,0,0,43.485
2400,1220018404,10,0,0,42.284000000000006
2400,1220018501,1,0,0,42.68
2400,1220018502,3,0,0,53.89000000000001
2400,1220018504,1,1,1,0.0
2400,124,4,0,0,35.207499999999996
