input_no,time_int,start_sec,before_vph,volume_vph
114,1-1,0,109.76,32.928
114,1-2,900,156.8,47.04
114,1-3,1800,164.64,49.391999999999996
114,1-4,2700,141.12,42.336
114,1-5,3600,109.76,32.928
114,1-6,4500,78.4,23.52
194,1-1,0,54.32,16.296
194,1-2,900,77.6,23.279999999999998
194,1-3,1800,81.48,24.444
194,1-4,2700,69.84,20.952
194,1-5,3600,54.32,16.296
194,1-6,4500,38.8,11.639999999999999
282,1-1,0,87.92,26.376
282,1-2,900,125.6,37.68
282,1-3,1800,131.88,39.564
282,1-4,2700,113.04,33.912
282,1-5,3600,87.92,26.376
282,1-6,4500,62.8,18.84
1013,1-1,0,585.76,175.72799999999998
1013,1-2,900,836.8,251.03999999999996
1013,1-3,1800,878.64,263.592
1013,1-4,2700,753.12,225.936
1013,1-5,3600,585.76,175.72799999999998
1013,1-6,4500,418.4,125.51999999999998
1023,1-1,0,416.08,124.82399999999998
1023,1-2,900,594.4,178.32
1023,1-3,1800,624.12,187.236
1023,1-4,2700,534.96,160.488
1023,1-5,3600,416.08,124.82399999999998
1023,1-6,4500,297.2,89.16
1032,1-1,0,1250.48,375.144
1032,1-2,900,1786.4,535.92
1032,1-3,1800,1875.72,562.716
1032,1-4,2700,1607.76,482.328
1032,1-5,3600,1250.48,375.144
1032,1-6,4500,893.2,267.96
1033,1-1,0,535.92,160.77599999999998
1033,1-2,900,765.6,229.68
1033,1-3,1800,803.88,241.164
1033,1-4,2700,689.04,206.712
1033,1-5,3600,535.92,160.77599999999998
1033,1-6,4500,382.8,114.84
1052,1-1,0,207.2,62.16
1052,1-2,900,296.0,88.8
1052,1-3,1800,310.8,93.24
1052,1-4,2700,266.4,79.91999999999999
1052,1-5,3600,207.2,62.16
1052,1-6,4500,148.0,44.4
1053,1-1,0,506.8,152.04
1053,1-2,900,724.0,217.2
1053,1-3,1800,760.2,228.06
1053,1-4,2700,651.6,195.48
1053,1-5,3600,506.8,152.04
1053,1-6,4500,362.0,108.6
1054,1-1,0,499.52,149.856
1054,1-2,900,713.6,214.08
1054,1-3,1800,749.28,224.784
1054,1-4,2700,642.24,192.672
1054,1-5,3600,499.52,149.856
1054,1-6,4500,356.8,107.04
1064,1-1,0,269.36,80.808
1064,1-2,900,384.8,115.44
1064,1-3,1800,404.04,121.212
1064,1-4,2700,346.32,103.896
1064,1-5,3600,269.36,80.808
1064,1-6,4500,192.4,57.72
1065,1-1,0,890.4,267.12
1065,1-2,900,1272.0,381.59999999999997
1065,1-3,1800,1335.6,400.67999999999995
1065,1-4,2700,1144.8,343.44
1065,1-5,3600,890.4,267.12
1065,1-6,4500,636.0,190.79999999999998
1074,1-1,0,596.96,179.088
1074,1-2,900,852.8,255.83999999999997
1074,1-3,1800,895.44,268.632
1074,1-4,2700,767.52,230.256
1074,1-5,3600,596.96,179.088
1074,1-6,4500,426.4,127.91999999999999
1082,1-1,0,897.12,269.13599999999997
1082,1-2,900,1281.6,384.47999999999996
1082,1-3,1800,1345.68,403.704
1082,1-4,2700,1153.44,346.032
1082,1-5,3600,897.12,269.13599999999997
1082,1-6,4500,640.8,192.23999999999998
1083,1-1,0,280.0,84.0
1083,1-2,900,400.0,120.0
1083,1-3,1800,420.0,126.0
1083,1-4,2700,360.0,108.0
1083,1-5,3600,280.0,84.0
1083,1-6,4500,200.0,60.0
1085,1-1,0,280.0,84.0
1085,1-2,900,400.0,120.0
1085,1-3,1800,420.0,126.0
1085,1-4,2700,360.0,108.0
1085,1-5,3600,280.0,84.0
1085,1-6,4500,200.0,60.0
1086,1-1,0,196.0,58.8
1086,1-2,900,280.0,84.0
1086,1-3,1800,294.0,88.2
1086,1-4,2700,252.0,75.6
1086,1-5,3600,196.0,58.8
1086,1-6,4500,140.0,42.0
1087,1-1,0,196.0,58.8
1087,1-2,900,280.0,84.0
1087,1-3,1800,294.0,88.2
1087,1-4,2700,252.0,75.6
1087,1-5,3600,196.0,58.8
1087,1-6,4500,140.0,42.0
1091,1-1,0,112.0,33.6
1091,1-2,900,160.0,48.0
1091,1-3,1800,168.0,50.4
1091,1-4,2700,144.0,43.199999999999996
1091,1-5,3600,112.0,33.6
1091,1-6,4500,80.0,24.0
1092,1-1,0,42.0,12.6
1092,1-2,900,60.0,18.0
1092,1-3,1800,63.0,18.9
1092,1-4,2700,54.0,16.2
1092,1-5,3600,42.0,12.6
1092,1-6,4500,30.0,9.0
1093,1-1,0,42.0,12.6
1093,1-2,900,60.0,18.0
1093,1-3,1800,63.0,18.9
1093,1-4,2700,54.0,16.2
1093,1-5,3600,42.0,12.6
