line_number,byte_offset,raw_line_sha256,message,kind,time_sec,wait_sec,vehicle_id,route_decision,route_index,link,position_m,omega,terminal_inside,physical_input_source_link
14,2277,8850238424cd529c9c3f3bac9bb785c50c16222430fc1b0107078c587d0e0b80,Warning	Simulation second 467.0: After 45.0 seconds of waiting for lane change the vehicle 590 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 590,lane_change_removal,467.0,45.0,590,1159,1,310,93.3,outside,False,False
37,6503,a8f6b8e55c9ee95cae4ff5ddc9228409a29f31fcbc5d2f2f49a1b4042997f3df,Warning	Simulation second 756.0: After 45.0 seconds of waiting for lane change the vehicle 1937 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 1937,lane_change_removal,756.0,45.0,1937,1159,1,310,93.3,outside,False,False
58,10402,e2ddafa5b2dd2aab23498960b3dad7917a7f634d6cc23ede66ce3e7d38879944,Warning	Simulation second 909.0: After 45.0 seconds of waiting for lane change the vehicle 2667 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 2667,lane_change_removal,909.0,45.0,2667,1159,1,310,93.3,outside,False,False
62,11173,7b8465dacbb53aa2d8d31e2c8f95efbe47ce9aa22a47a3047f5b431314e737f6,Warning	Simulation second 932.0: After 45.0 seconds of waiting for lane change the vehicle 1389 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 1389,lane_change_removal,932.0,45.0,1389,1113,3,329,113.0,inside,False,False
65,11793,0f56c543a5ce7202eacc1554f94f90e3b07f84ae6950ac901274a9ed857ce114,Warning	Simulation second 954.0: After 45.0 seconds of waiting for lane change the vehicle 3916 (on Static Vehicle Route 1156 - 1) was removed from link 107 at position 476.1.	Network object type: Vehicle	Network object keys: 3916,lane_change_removal,954.0,45.0,3916,1156,1,107,476.1,outside,False,False
67,12240,5567a80643a6b037356150c9e4a56989c5edbb1707e412e054d89de6efaa21bd,Warning	Simulation second 958.0: After 45.0 seconds of waiting for lane change the vehicle 2955 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 2955,lane_change_removal,958.0,45.0,2955,1159,1,310,93.3,outside,False,False
70,12885,60b166e650b8e2bed81b0981e80b3ee0e3675fcf87952698c64b7f475d63bf41,Warning	Simulation second 960.0: After 45.0 seconds of waiting for lane change the vehicle 4966 (on Static Vehicle Route 1024 - 3: 우) was removed from link 1220014100 at position 113.2.	Network object type: Vehicle	Network object keys: 4966,lane_change_removal,960.0,45.0,4966,1024,3,1220014100,113.2,inside,False,False
73,13538,2a943c6054ddd0af4d5af36593e59592845b5d8e0358df0c7566f3f418429ef4,Warning	Simulation second 981.0: After 45.0 seconds of waiting for lane change the vehicle 1883 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 1883,lane_change_removal,981.0,45.0,1883,1113,3,329,113.0,inside,False,False
80,14913,f85a83b0cff75998b929e2e6fe6d68edeb663b1a8ab8cddf91928ec0e10eecde,Warning	Simulation second 1008.0: After 45.0 seconds of waiting for lane change the vehicle 4133 (on Static Vehicle Route 1024 - 3: 우) was removed from link 1220014100 at position 113.2.	Network object type: Vehicle	Network object keys: 4133,lane_change_removal,1008.0,45.0,4133,1024,3,1220014100,113.2,inside,False,False
81,15175,b66920727b5e3f3a7d56a8a0ce56f4a6db12ac29baae455ece85a9a0680374eb,Warning	Simulation second 1030.0: After 45.0 seconds of waiting for lane change the vehicle 1574 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 1574,lane_change_removal,1030.0,45.0,1574,1113,3,329,113.0,inside,False,False
