start_sec,end_sec,nc_ttt_veh_h,nc_ttd_veh,nc_end_n,nc_absences,nc_entries,nc_appeared,cl_ttt_veh_h,cl_ttd_veh,cl_end_n,cl_absences,cl_entries,cl_appeared,control_minus_nc_ttt_veh_h
0,150,7.6497222222222225,15.0,378,0.0,26.0,367.0,7.6497222222222225,15.0,378,0.0,26.0,367.0,0.0
150,300,23.201388888888893,163.0,676,0.0,96.0,365.0,23.201388888888893,163.0,676,0.0,96.0,365.0,0.0
300,450,33.687777777777804,332.0,860,0.0,134.0,382.0,33.687777777777804,332.0,860,0.0,134.0,382.0,0.0
450,600,39.43208333333335,422.0,971,0.0,130.0,403.0,39.43208333333335,422.0,971,0.0,130.0,403.0,0.0
600,750,42.51569444444455,457.0,1036,0.0,129.0,393.0,42.51569444444455,457.0,1036,0.0,129.0,393.0,0.0
750,900,43.7755555555556,498.0,1034,5.0,119.0,382.0,43.7755555555556,498.0,1034,5.0,119.0,382.0,0.0
900,1050,47.952777777777754,464.0,1240,6.0,154.0,522.0,47.81416666666661,462.0,1244,5.0,155.0,522.0,-0.1386111111111461
1050,1200,55.36583333333331,549.0,1422,5.0,194.0,542.0,55.308888888889044,552.0,1432,3.0,201.0,542.0,-0.05694444444426949
1200,1350,63.2466666666665,545.0,1630,1.0,196.0,558.0,63.11638888888871,535.0,1652,3.0,200.0,558.0,-0.13027777777779193
1350,1500,71.91819444444417,650.0,1775,3.0,230.0,568.0,71.89000000000004,653.0,1794,3.0,230.0,568.0,-0.02819444444412511
1500,1650,76.89444444444473,660.0,1881,5.0,214.0,557.0,76.32888888888903,692.0,1870,4.0,215.0,557.0,-0.5655555555557044
1650,1800,79.76097222222216,692.0,1926,6.0,196.0,547.0,79.21569444444481,688.0,1915,8.0,194.0,547.0,-0.5452777777773576
1800,1950,83.65361111111088,622.0,2070,7.0,191.0,582.0,83.22847222222265,614.0,2060,6.0,183.0,582.0,-0.4251388888882275
1950,2100,87.77472222222275,722.0,2114,6.0,205.0,567.0,87.14805555555597,707.0,2112,7.0,199.0,567.0,-0.6266666666667788
2100,2250,90.32152777777742,689.0,2165,13.0,221.0,532.0,89.73249999999985,679.0,2182,5.0,222.0,532.0,-0.5890277777775736
2250,2400,92.59097222222238,652.0,2252,7.0,213.0,533.0,92.67569444444507,645.0,2289,4.0,223.0,533.0,0.08472222222269465
2400,2550,96.95513888888877,685.0,2327,6.0,213.0,553.0,98.88277777777762,652.0,2409,3.0,222.0,553.0,1.9276388888888505
2550,2700,101.94513888889037,654.0,2462,6.0,235.0,560.0,103.81166666666695,670.0,2531,4.0,236.0,560.0,1.8665277777765823
2700,2850,105.27638888888805,680.0,2508,9.0,219.0,516.0,107.79194444444397,697.0,2551,7.0,208.0,516.0,2.5155555555559204
2850,3000,107.71500000000037,616.0,2614,9.0,215.0,516.0,108.56736111111059,636.0,2648,6.0,223.0,516.0,0.8523611111102127
