sim_sec,horizon_end_sec,beta_seconds,held_predicted_omega_ttt_veh_h,selected_predicted_omega_ttt_veh_h,predicted_omega_ttt_gain_veh_h,predicted_gain_status,domain_count,selected_np_cap_veh,selected_nuf_target_veh_h,selected_meter_bank_index,unknown_candidates,selection_status,selection_stop_reason,search_status,final_gap_complete_owner_count,final_gap_owner_count,final_audit_evaluations,maximum_finite_candidate_gap,whole_wall_sec,selected_candidate_wall_sec,accepted_owner,accepted_own_payoff_gaps_not_omega,attempted_indices,ranking_candidate_count,held_np_actual_veh,selected_np_actual_veh,selected_nuf_residual_veh_h,changed_green_controllers,changed_offset_controllers
900,1350,0.0,,187.1825620010331,,missing_held_omega_objective_in_retained_records,405,2400.0,2000.740567454909,0,404,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,24,,255.19791990000522,120.23426810000092,SC1004,0.7934566797900944,1|200|100,1,318.5729359404018,308.29028751351694,12.872666911713395,,
1050,1500,0.0,,208.48003648365432,,missing_held_omega_objective_in_retained_records,486,2400.0,2197.3197421921122,0,485,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,23,,260.2506768999883,120.19241230000625,SC1001,0.37595189744086355,1|240|120,1,322.73880273367337,310.044396439232,-3.8374769550359815,SC1001,SC1001
1200,1650,0.0,,228.68025554439336,,missing_held_omega_objective_in_retained_records,486,2400.0,2553.851648801565,0,485,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,16,,261.2240121000068,121.00551180000184,SC5,0.39978449145440065,1|240|120,1,327.1750457129857,327.1832246197097,0.0,SC5,SC5
1350,1800,0.0,,243.822841682611,,missing_held_omega_objective_in_retained_records,648,2400.0,2578.0155737661685,0,647,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,16,,263.84087539999746,120.65166040000622,SC108,0.6063447570552407,1|320|160,1,320.3623315871044,311.7499245586523,0.0,SC108,SC108
1500,1950,0.0,,256.9516226487099,,missing_held_omega_objective_in_retained_records,648,2400.0,2800.8943777309983,0,647,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,20,,273.7569187999907,120.34649910000735,SC109,0.4163828162274963,1|320|160,1,292.9059161837702,286.31421489026957,0.0,SC109,
1650,2100,0.0,,268.96879143902896,,missing_held_omega_objective_in_retained_records,486,2400.0,2800.7388364573208,0,485,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,24,,255.06469519999519,122.83242910000263,SC1002,0.27351826817588076,1|240|120,1,276.2410044896366,276.2878686966543,-0.010016242309575318,SC1002,SC1002
1800,2250,0.0,,283.747049822232,,missing_held_omega_objective_in_retained_records,486,2400.0,2790.078455839766,0,485,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,24,,261.73487410000234,120.18616579999798,SC6,0.2518543449710964,1|240|120,1,284.8954951563581,284.88902822458465,0.0,SC6,SC6
1950,2400,0.0,,294.0048280046386,,missing_held_omega_objective_in_retained_records,648,2400.0,3058.7653928352515,0,647,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,16,,256.94047390000196,120.47063540000818,SC1,0.12605356779441745,1|320|160,1,302.24001350729816,295.53182955347546,0.07245005348750055,SC1,SC1
2100,2550,0.0,,301.3115272896736,,missing_held_omega_objective_in_retained_records,405,2400.0,3037.2409286455213,0,404,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,24,,254.1742328000255,120.2415676000237,SC1004,0.10757144607390501,1|200|100,1,311.53037836890087,310.53139165722644,-0.04031555420033328,SC1004,
2250,2700,0.0,,312.3147076453796,,missing_held_omega_objective_in_retained_records,567,2400.0,3053.159189030731,0,566,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,24,,263.3951117999968,124.6363674000022,SC1004,0.09952454339304495,1|280|140,1,303.9546313071411,302.90477235526953,-0.06201153573056217,SC1004,
2400,2850,0.0,,325.82973831746375,,missing_held_omega_objective_in_retained_records,405,2400.0,2996.9313872526645,0,404,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,22,,266.5866209999949,120.26893689998542,SC6,0.24860831261574567,1|200|100,1,316.1265184070456,316.1474616670009,0.0,SC6,SC6
2550,3000,0.0,,333.96459620687796,,missing_held_omega_objective_in_retained_records,648,2400.0,2885.2300354612503,0,647,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,18,,258.7500383000006,120.1962346000073,SC1004,0.11544333110407479,1|320|160,1,308.698186656142,307.6925460212557,-0.06099476129929826,SC1004,
2700,3150,0.0,,339.1934670571593,,missing_held_omega_objective_in_retained_records,648,2400.0,2844.1122762909363,0,647,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,24,,258.27233750000596,120.1908218000026,SC1002,0.09064517780740289,1|320|160,1,319.6034508989214,319.6034508989214,0.0,SC1002,
2850,3300,0.0,,345.4144693834696,,missing_held_omega_objective_in_retained_records,486,2400.0,2890.478980009103,0,485,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,16,,267.8837465000106,121.314657800016,SC105,0.030914760394388008,1|240|120,1,293.7995051376472,295.9292869617022,-5.699046607120181,SC105,SC105
3000,3450,0.0,,356.0649755814322,,missing_held_omega_objective_in_retained_records,648,2400.0,2888.5356184513,0,647,selected_best_observed,leader_candidate_budget,interrupted_search_time_budget,0,19,16,,271.1735880000051,122.75051230000099,SC5,0.04422300461033046,1|320|160,1,318.2214821043936,318.2214821043936,0.0,SC5,
