policy,direction,cell_zero_based,low_speed_samples,first_low_sec,last_low_sec,max_stopped
nc,E,0,0,,,1
nc,E,1,0,,,0
nc,E,2,0,,,0
nc,E,3,21,3870,4710,47
nc,E,4,69,3240,5340,90
nc,E,5,93,3030,5820,81
nc,E,6,116,2580,6030,88
nc,E,7,129,2220,6240,81
nc,E,8,94,2370,5700,82
nc,E,9,12,3120,4440,34
nc,E,10,0,,,0
nc,E,11,0,,,0
nc,E,12,1,4860,4860,16
nc,E,13,8,4500,4980,46
nc,E,14,0,,,2
nc,E,15,0,,,0
nc,E,16,0,,,0
nc,E,17,0,,,0
nc,E,18,0,,,0
nc,E,19,0,,,0
nc,E,20,0,,,0
nc,W,0,0,,,3
nc,W,1,0,,,11
nc,W,2,1,3630,3630,20
nc,W,3,0,,,16
nc,W,4,0,,,20
nc,W,5,0,,,7
nc,W,6,0,,,4
nc,W,7,0,,,1
nc,W,8,0,,,0
nc,W,9,0,,,0
nc,W,10,0,,,0
nc,W,11,0,,,5
nc,W,12,0,,,0
nc,W,13,0,,,1
nc,W,14,0,,,0
nc,W,15,0,,,0
nc,W,16,0,,,0
nc,W,17,0,,,0
nc,W,18,0,,,0
nc,W,19,0,,,0
nc,W,20,0,,,0
cl,E,0,0,,,1
cl,E,1,0,,,0
cl,E,2,0,,,0
cl,E,3,37,3660,4830,55
cl,E,4,69,3150,5250,74
cl,E,5,100,2730,5790,74
cl,E,6,121,2310,6000,76
cl,E,7,134,2040,6210,72
cl,E,8,89,2280,5250,78
cl,E,9,9,2850,5520,37
cl,E,10,0,,,0
cl,E,11,0,,,0
cl,E,12,0,,,13
cl,E,13,6,4560,5070,40
cl,E,14,0,,,2
cl,E,15,0,,,2
cl,E,16,0,,,0
cl,E,17,0,,,0
cl,E,18,0,,,0
cl,E,19,0,,,0
cl,E,20,0,,,0
cl,W,0,0,,,3
cl,W,1,0,,,11
cl,W,2,0,,,14
cl,W,3,0,,,16
cl,W,4,0,,,9
cl,W,5,0,,,5
cl,W,6,0,,,4
cl,W,7,0,,,2
cl,W,8,0,,,0
cl,W,9,0,,,0
cl,W,10,0,,,0
cl,W,11,0,,,2
cl,W,12,0,,,1
cl,W,13,0,,,0
cl,W,14,0,,,1
cl,W,15,0,,,1
cl,W,16,0,,,0
cl,W,17,0,,,0
cl,W,18,0,,,0
cl,W,19,0,,,0
cl,W,20,0,,,0
