sim_sec,kind,id,dsd_no,sc_no,link,lane,speed_kph,p1_green,p2_green,p3_green,p4_green,offset,rate_vph,green_sec,metadata,readback
1,vsl,RW_FW_E_S0,39,,74,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,43,,74,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,38,,74,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,44,,74,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,37,,74,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,45,,74,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,36,,74,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S0,46,,74,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S2,47,,74,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S2,48,,74,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S2,49,,74,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S2,50,,74,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S5,51,,2,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S5,52,,2,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S5,53,,2,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S5,54,,2,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S7,55,,2,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S7,56,,2,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S7,57,,2,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S7,58,,2,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S10,59,,2,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S10,60,,2,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S10,61,,2,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S10,62,,2,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S13,63,,119,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S13,64,,119,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S13,65,,119,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S13,66,,119,4,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S15,67,,24,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S15,68,,24,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S15,69,,24,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S18,71,,24,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S18,72,,24,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_E_S18,73,,24,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_W_S0,40,,26,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_W_S0,75,,26,1,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_W_S0,41,,26,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_W_S0,76,,26,2,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
1,vsl,RW_FW_W_S0,42,,26,3,120.0,,,,,,,,ok;offset_writer=experiment;physical_signal_contract=1;offset_experiment=1,120|120
