vehicle_id,road,lower_sec,upper_sec,to_link,classifications
162,71,186,187,10642,['unresolved_departure_lane']
156,71,190,191,10642,['pre_head_bypass']
37,71,209,210,10642,['unresolved_departure_lane']
5,71,226,227,10634,['already_post_head_departure']
116,71,226,227,10634,['already_post_head_departure']
181,71,226,227,10642,['pre_head_bypass']
229,71,228,229,10634,['already_post_head_departure']
377,71,228,229,10642,['pre_head_bypass']
38,66,229,230,10632,['pre_head_bypass']
279,71,230,231,10634,['already_post_head_departure']
331,71,231,232,10634,['head_crossing']
437,71,235,236,10642,['unresolved_departure_lane']
71,66,243,244,10632,['pre_head_bypass']
301,71,248,249,10634,['head_crossing']
473,71,251,252,10642,['pre_head_bypass']
159,66,255,256,10632,['pre_head_bypass']
585,71,256,257,10642,['unresolved_departure_lane']
555,71,265,266,10642,['unresolved_departure_lane']
293,66,268,269,10632,['pre_head_bypass']
4,71,274,275,10635,['already_post_head_departure']
203,71,274,275,10635,['already_post_head_departure']
230,71,277,278,10635,['already_post_head_departure']
594,71,277,278,10635,['head_crossing']
660,71,277,278,10642,['pre_head_bypass']
193,71,280,281,10635,['head_crossing']
334,66,282,283,10632,['pre_head_bypass']
267,71,284,285,10635,['head_crossing']
445,71,289,290,10635,['unresolved_departure_lane']
520,71,292,293,10642,['pre_head_bypass']
772,71,294,295,10642,['pre_head_bypass']
461,71,296,297,10635,['head_crossing']
6,66,301,302,10631,['unresolved_departure_lane']
364,66,301,302,10631,['already_post_head_departure']
870,71,301,302,10642,['pre_head_bypass']
1021,71,314,315,10642,['pre_head_bypass']
926,71,316,317,10642,['pre_head_bypass']
284,71,326,327,10642,['unresolved_departure_lane']
540,66,326,327,10631,['head_crossing']
635,71,333,334,10642,['unresolved_departure_lane']
744,71,348,349,10642,['pre_head_bypass']
70,66,350,351,10633,['already_post_head_departure']
220,66,352,353,10633,['head_crossing']
200,66,354,355,10633,['head_crossing']
1258,71,355,356,10642,['pre_head_bypass']
268,66,357,358,10633,['already_post_head_departure']
253,66,358,359,10633,['head_crossing']
237,66,360,361,10633,['head_crossing']
11,66,363,364,10633,['head_crossing']
88,66,365,366,10633,['head_crossing']
365,66,368,369,10633,['already_post_head_departure']
444,66,370,371,10633,['already_post_head_departure']
673,66,371,372,10633,['head_crossing']
662,66,373,374,10633,['head_crossing']
672,66,375,376,10633,['head_crossing']
433,71,376,377,10634,['already_post_head_departure']
699,71,376,377,10634,['already_post_head_departure']
1052,71,378,379,10634,['head_crossing']
683,71,379,380,10634,['already_post_head_departure']
974,71,381,382,10634,['already_post_head_departure']
1070,71,383,384,10634,['head_crossing']
1216,71,385,386,10634,['head_crossing']
258,71,387,388,10634,['head_crossing']
1123,71,389,390,10634,['head_crossing']
1336,71,391,392,10634,['already_post_head_departure']
1144,71,395,396,10634,['head_crossing']
1459,71,400,401,10642,['unresolved_departure_lane']
1475,71,404,405,10642,['pre_head_bypass']
996,71,409,410,10634,['head_crossing']
1485,71,419,420,10634,['already_post_head_departure']
1173,71,420,421,10634,['head_crossing']
29,71,424,425,10635,['already_post_head_departure']
511,71,424,425,10635,['already_post_head_departure']
450,71,426,427,10635,['head_crossing']
1022,71,426,427,10635,['head_crossing']
1072,71,428,429,10635,['head_crossing']
1545,71,430,431,10635,['unresolved_departure_lane']
1411,71,432,433,10642,['pre_head_bypass']
175,46,439,440,10625,['pre_head_bypass']
1306,71,441,442,10635,['head_crossing']
1405,71,444,445,10635,['head_crossing']
1363,71,447,448,10642,['unresolved_departure_lane']
410,66,451,452,10631,['already_post_head_departure']
1718,71,451,452,10642,['pre_head_bypass']
965,66,454,455,10632,['pre_head_bypass']
1372,71,455,456,10642,['pre_head_bypass']
1294,66,456,457,10632,['pre_head_bypass']
1748,71,461,462,10642,['pre_head_bypass']
1737,71,465,466,10642,['pre_head_bypass']
755,46,477,478,10625,['pre_head_bypass']
1824,71,480,481,10642,['pre_head_bypass']
1920,71,482,483,10642,['pre_head_bypass']
2014,71,490,491,10642,['unresolved_departure_lane']
856,66,500,501,10633,['already_post_head_departure']
701,66,502,503,10633,['head_crossing']
911,66,505,506,10633,['head_crossing']
471,71,506,507,10642,['pre_head_bypass']
945,66,507,508,10633,['already_post_head_departure']
1009,66,508,509,10633,['head_crossing']
1016,66,510,511,10633,['head_crossing']
1609,71,510,511,10642,['unresolved_departure_lane']
579,46,511,512,10625,['pre_head_bypass']
951,66,512,513,10633,['head_crossing']
618,46,513,514,10625,['pre_head_bypass']
1047,66,513,514,10633,['head_crossing']
1054,66,515,516,10633,['head_crossing']
1134,66,517,518,10633,['head_crossing']
1083,66,519,520,10633,['head_crossing']
1129,66,521,522,10633,['head_crossing']
1300,66,523,524,10633,['already_post_head_departure']
2202,71,525,526,10642,['pre_head_bypass']
1394,71,526,527,10634,['already_post_head_departure']
1569,71,526,527,10634,['already_post_head_departure']
2000,71,526,527,10634,['already_post_head_departure']
2224,71,526,527,10642,['pre_head_bypass']
444,71,528,529,10634,['already_post_head_departure']
1643,71,528,529,10634,['head_crossing']
1717,71,528,529,10634,['already_post_head_departure']
960,71,529,530,10634,['head_crossing']
70,71,530,531,10634,['head_crossing']
365,71,530,531,10634,['head_crossing']
2020,71,532,533,10634,['head_crossing']
1869,71,533,534,10634,['already_post_head_departure']
1700,71,534,535,10634,['head_crossing']
798,46,536,537,10625,['pre_head_bypass']
1662,71,536,537,10634,['head_crossing']
726,46,537,538,10625,['pre_head_bypass']
1178,46,539,540,10625,['pre_head_bypass']
1739,71,541,542,10634,['head_crossing']
11,71,545,546,10634,['already_post_head_departure']
2322,71,548,549,10634,['already_post_head_departure']
2382,71,553,554,10634,['head_crossing']
755,71,555,556,10642,['unresolved_departure_lane']
