input_no,head,road,sg,lane,green_start_sec,green_end_sec,departure_ordinal,previous_vehicle_id,vehicle_id,linear_estimate_headway_sec,lower_headway_sec,upper_headway_sec,all_prehead_queued,near20_queued,downstream_stopped_witness,ambiguous_crossing_count,both_departures_previously_stopped_same_lane,minimum_nearest_stopped_distance_m,maximum_nearest_stopped_distance_m,queued_after_third_departure,qualified_broad_only
90030888,90030888,46,7,4,949,972,2,1908,2618,2.534479075896229,2,4,False,False,False,0,True,6.82074628571911,6.82074628571911,False,False
90030888,90030888,46,7,4,1249,1272,2,4917,5290,3.1982515986285307,2,4,False,False,False,0,True,6.860746285719074,12.420746285719133,False,False
90030888,90030888,46,7,4,1249,1272,3,5290,2674,2.26623422249304,2,4,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,1849,1872,2,9404,4173,2.603609284576123,2,4,False,False,False,0,True,6.700746285719106,13.00074628571906,False,False
90030888,90030888,46,7,4,1849,1872,3,4173,6752,2.216998438903829,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,2149,2172,2,9037,9643,2.5370994150716797,2,4,False,False,False,0,True,6.6307462857191695,6.6307462857191695,False,False
90030888,90030888,46,7,4,2299,2322,2,12934,14471,14.98371864334058,14,16,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,2449,2472,2,9029,7545,2.901307771111533,2,4,False,False,False,0,True,7.340746285719092,7.340746285719092,False,False
90030888,90030888,46,7,4,2749,2772,2,9009,13509,3.487574676838449,3,5,False,False,False,0,True,12.440746285719115,24.180746285719124,False,False
90030888,90030888,46,7,4,2749,2772,3,13509,13226,1.8610957485930157,1,3,False,False,False,0,True,30.48074628571908,30.48074628571908,False,False
90030888,90030888,46,7,4,2749,2772,4,13226,16641,2.5113487755525057,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,2749,2772,5,16641,16895,1.9773986306481675,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,2749,2772,6,16895,10841,5.84062359820291,5,7,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,3349,3372,2,18225,16901,9.250597073504196,8,10,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,3349,3372,3,16901,21196,3.936634521963242,3,5,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,3349,3372,4,21196,20041,1.3499031375863524,1,3,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,3499,3522,2,22826,16092,2.8549331431636347,2,4,False,False,False,0,True,7.110746285719074,13.25074628571906,False,False
90030888,90030888,46,7,4,3499,3522,3,16092,15764,2.6049694093821927,2,4,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,3649,3672,2,23405,23742,3.029262770560763,2,4,False,False,False,0,True,7.340746285719092,13.290746285719138,False,False
90030888,90030888,46,7,4,3649,3672,3,23742,16183,2.5172287151549426,2,4,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,4099,4122,2,7324,11631,3.2125111476934762,2,4,False,False,False,0,True,7.060746285719119,12.99074628571907,False,False
90030888,90030888,46,7,4,4099,4122,3,11631,26276,2.3441441726836274,2,4,False,False,False,0,True,18.220746285719088,30.82074628571911,False,False
90030888,90030888,46,7,4,4099,4122,4,26276,23874,1.9107052101635418,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,4099,4122,5,23874,26884,1.984030549293493,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,4099,4122,6,26884,25816,2.186710358550954,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,4249,4272,2,20317,10102,2.7659593846783537,2,4,False,False,False,0,True,7.520746285719156,19.180746285719124,False,False
90030888,90030888,46,7,4,4249,4272,3,10102,27293,1.8765444563869096,1,3,False,False,False,0,True,24.3307462857191,24.3307462857191,False,False
90030888,90030888,46,7,4,4249,4272,4,27293,27818,2.199226924171853,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,4249,4272,5,27818,24186,1.8438924823012712,1,3,False,False,False,0,True,,,False,False
90030888,90030888,46,7,4,4249,4272,6,24186,25577,1.419943485746444,0.0,2,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,4249,4272,7,25577,23059,3.3996799279584593,3,5,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,4249,4272,8,23059,25725,1.0671915358716433,0.0,2,False,False,False,0,False,,,False,False
90030888,90030888,46,7,4,4549,4572,2,28541,27228,2.794825813346506,2,4,False,False,False,0,True,7.010746285719165,7.010746285719165,False,False
90030888,90030888,46,7,4,4849,4872,2,22028,15977,3.540540200599935,3,5,False,False,False,0,True,12.220746285719088,12.75074628571906,False,False
90030889,90030889,46,4,3,1200,1246,2,1112,4879,35.530177110611476,35,37,False,False,False,0,False,,,False,False
90030889,90030889,46,4,3,1500,1546,2,5799,7174,24.611897304328068,24,26,False,False,False,0,False,,,False,False
90030890,90030890,46,4,2,5250,5296,2,28835,14336,40.14641730138737,39,41,False,False,False,0,False,,,False,False
90030875,90030875,66,3,4,349,372,2,70,220,2.523574275357703,2,4,False,False,False,0,True,6.457367307855748,18.517367307855693,False,False
90030875,90030875,66,3,4,349,372,3,220,200,2.559605649102707,1,3,False,False,False,0,True,24.34736730785562,30.507367307855475,False,False
90030875,90030875,66,3,4,349,372,4,200,268,2.1561379940463894,1,3,True,False,False,0,True,36.44736730785553,37.05736730785566,False,True
90030875,90030875,66,3,4,349,372,5,268,253,1.7454114953625322,1,3,True,False,False,0,True,35.44736730785553,48.23736730785549,False,True
90030875,90030875,66,3,4,349,372,6,253,237,1.7975432255864234,1,3,True,False,False,0,True,60.667367307855784,66.7373673078555,False,True
90030875,90030875,66,3,4,349,372,7,237,11,2.9656004520171564,2,4,True,False,False,0,True,73.00736730785547,84.17736730785555,False,True
90030875,90030875,66,3,4,349,372,8,11,88,2.317306939835703,1,3,False,False,False,0,True,90.8373673078554,90.8373673078554,False,False
90030875,90030875,66,3,4,349,372,9,88,365,2.2703287570987527,1,3,False,False,False,0,True,,,False,False
