time_s,vehicle,connector,kind,other_link,lane,position_m,speed_kmh,residence_s,lower_time_s,upper_time_s,inferred_unique_connector_passage
95.1,63,10482,arrival,,1,5.38,43.34,,90.1,95.1,
95.1,31,10482,arrival,,2,44.85,42.83,,90.1,95.1,
105.1,68,10482,arrival,,1,38.56,40.73,,100.1,105.1,
110.1,106,10482,arrival,,1,10.32,45.72,,105.1,110.1,
110.1,11,10490,arrival,,1,20.87,44.58,,105.1,110.1,
115.1,5,10479,arrival,,1,162.93,117.05,,110.1,115.1,
115.1,15,10490,arrival,,1,2.09,39.76,,110.1,115.1,
115.1,17,10479,arrival,,1,128.54,119.89,,110.1,115.1,
115.1,160,10482,arrival,,1,6.88,43.84,,110.1,115.1,
120.1,5,10479,departure,125,1,162.93,117.05,5.0,115.1,120.1,
120.1,36,10490,arrival,,1,34.87,43.2,,115.1,120.1,
120.1,17,10479,departure,125,1,128.54,119.89,5.0,115.1,120.1,
120.1,179,10482,arrival,,1,42.57,43.01,,115.1,120.1,
120.1,26,10479,arrival,,1,117.34,122.47,,115.1,120.1,
125.1,10,10491,arrival,,1,75.59,114.35,,120.1,125.1,
125.1,144,10482,arrival,,1,54.89,42.12,,120.1,125.1,
125.1,29,10479,arrival,,1,93.31,110.0,,120.1,125.1,
125.1,26,10479,departure,125,1,117.34,122.47,5.0,120.1,125.1,
130.1,198,10482,arrival,,1,41.14,41.93,,125.1,130.1,
130.1,245,10482,arrival,,1,20.2,43.25,,125.1,130.1,
135.1,10,10491,departure,127,1,223.3,76.13,10.0,130.1,135.1,
135.1,29,10479,departure,125,1,244.35,106.88,10.0,130.1,135.1,
135.1,31,10482,departure,120,2,513.79,92.02,40.0,130.1,135.1,
135.1,32,10491,arrival,,1,151.86,97.22,,130.1,135.1,
135.1,44,10491,arrival,,1,119.05,104.81,,130.1,135.1,
135.1,52,10482,arrival,,2,37.28,30.12,,130.1,135.1,
135.1,63,10482,departure,120,1,445.16,71.59,40.0,130.1,135.1,
135.1,90,10482,arrival,,2,12.95,34.25,,130.1,135.1,
135.1,94,10490,arrival,,1,28.23,40.09,,130.1,135.1,
135.1,102,10490,arrival,,1,8.36,42.1,,130.1,135.1,
135.1,239,10482,arrival,,1,30.71,41.52,,130.1,135.1,
135.1,249,10482,arrival,,1,55.79,44.51,,130.1,135.1,
140.1,71,10479,arrival,,1,60.22,107.83,,135.1,140.1,
140.1,137,10490,arrival,,1,40.62,44.55,,135.1,140.1,
140.1,11,10490,departure,119,1,348.59,71.52,30.0,135.1,140.1,
140.1,153,10490,arrival,,1,15.86,43.11,,135.1,140.1,
140.1,32,10491,departure,129,1,151.86,97.22,5.0,135.1,140.1,
140.1,44,10491,departure,129,1,119.05,104.81,5.0,135.1,140.1,
140.1,117,10479,arrival,,1,24.34,101.42,,135.1,140.1,
140.1,60,10479,arrival,,1,136.2,118.96,,135.1,140.1,
145.1,131,10479,arrival,,1,107.01,106.14,,140.1,145.1,
145.1,68,10482,departure,120,2,456.22,68.68,40.0,140.1,145.1,
145.1,15,10490,departure,119,1,287.67,47.77,30.0,140.1,145.1,
145.1,60,10479,departure,125,1,136.2,118.96,5.0,140.1,145.1,
150.1,71,10479,departure,125,1,212.35,111.24,10.0,145.1,150.1,
150.1,199,10490,arrival,,1,17.65,41.49,,145.1,150.1,
150.1,262,10482,arrival,,2,37.71,33.91,,145.1,150.1,
150.1,269,10482,arrival,,1,5.31,41.89,,145.1,150.1,
150.1,20,10643,arrival,,1,126.01,115.09,,145.1,150.1,
150.1,214,10482,arrival,,1,52.46,43.43,,145.1,150.1,
150.1,284,10482,arrival,,2,12.74,38.14,,145.1,150.1,
150.1,36,10490,departure,119,1,355.31,76.68,30.0,145.1,150.1,
150.1,106,10482,departure,120,1,476.03,80.35,40.0,145.1,150.1,
150.1,45,10643,arrival,,2,89.51,116.64,,145.1,150.1,
150.1,117,10479,departure,125,1,170.02,108.08,10.0,145.1,150.1,
150.1,250,10482,arrival,,1,26.61,40.26,,145.1,150.1,
155.1,131,10479,departure,125,1,256.13,108.87,10.0,150.1,155.1,
155.1,266,10482,arrival,,1,43.51,40.19,,150.1,155.1,
155.1,329,10482,arrival,,2,28.95,41.18,,150.1,155.1,
155.1,152,10491,arrival,,1,140.67,115.14,,150.1,155.1,
155.1,160,10482,departure,120,1,457.16,73.07,40.0,150.1,155.1,
155.1,226,10490,arrival,,1,43.6,41.77,,150.1,155.1,
155.1,293,10482,arrival,,2,46.65,37.88,,150.1,155.1,
155.1,297,10482,arrival,,1,22.23,41.51,,150.1,155.1,
155.1,43,10644,arrival,,1,11.34,39.97,,150.1,155.1,
155.1,363,10482,arrival,,2,8.12,40.61,,150.1,155.1,
155.1,177,10491,arrival,,1,104.39,117.3,,150.1,155.1,
160.1,325,10482,arrival,,2,40.4,40.71,,155.1,160.1,
160.1,20,10643,departure,71,1,278.81,94.06,10.0,155.1,160.1,
160.1,341,10482,arrival,,1,37.01,41.07,,155.1,160.1,
160.1,152,10491,departure,127,1,140.67,115.14,5.0,155.1,160.1,
160.1,98,10643,arrival,,1,46.38,112.6,,155.1,160.1,
160.1,298,10482,arrival,,1,57.09,42.32,,155.1,160.1,
160.1,45,10643,departure,71,2,252.39,114.92,10.0,155.1,160.1,
160.1,177,10491,departure,129,1,104.39,117.3,5.0,155.1,160.1,
160.1,179,10482,departure,120,1,499.24,80.32,40.0,155.1,160.1,
160.1,55,10644,arrival,,1,47.58,38.58,,155.1,160.1,
165.1,133,10479,arrival,,1,16.52,109.58,,160.1,165.1,
165.1,392,10482,arrival,,1,2.06,37.58,,160.1,165.1,
165.1,144,10482,departure,120,2,514.0,84.87,40.0,160.1,165.1,
165.1,94,10490,departure,119,1,314.65,60.56,30.0,160.1,165.1,
165.1,102,10490,departure,119,1,293.97,51.26,30.0,160.1,165.1,
165.1,104,10479,arrival,,1,54.67,106.86,,160.1,165.1,
165.1,315,10482,arrival,,1,46.74,33.68,,160.1,165.1,
170.1,198,10482,departure,120,2,485.15,81.67,40.0,165.1,170.1,
170.1,137,10490,departure,119,1,365.06,76.08,30.0,165.1,170.1,
170.1,400,10482,arrival,,1,15.66,42.47,,165.1,170.1,
170.1,153,10490,departure,119,1,323.48,58.57,30.0,165.1,170.1,
170.1,157,10479,arrival,,1,99.61,113.71,,165.1,170.1,
170.1,98,10643,departure,10641,1,202.28,110.44,10.0,165.1,170.1,
170.1,169,10644,arrival,,1,43.48,41.47,,165.1,170.1,
170.1,245,10482,departure,120,2,451.14,66.84,40.0,165.1,170.1,
170.1,249,10482,departure,120,1,430.52,68.46,35.0,165.1,170.1,
175.1,387,10482,arrival,,1,35.96,43.24,,170.1,175.1,
175.1,133,10479,departure,125,1,168.25,108.79,10.0,170.1,175.1,
175.1,141,10643,arrival,,2,145.89,107.55,,170.1,175.1,
175.1,461,10482,arrival,,1,2.37,44.59,,170.1,175.1,
175.1,220,10479,arrival,,1,128.75,102.54,,170.1,175.1,
175.1,159,10643,arrival,,2,79.52,112.75,,170.1,175.1,
175.1,162,10491,arrival,,1,91.84,119.1,,170.1,175.1,
175.1,166,10643,arrival,,1,43.78,114.04,,170.1,175.1,
175.1,229,10644,arrival,,1,51.13,43.27,,170.1,175.1,
175.1,104,10479,departure,125,1,203.38,107.28,10.0,170.1,175.1,
175.1,239,10482,departure,120,2,455.18,68.88,40.0,170.1,175.1,
175.1,442,10482,arrival,,2,16.79,44.72,,170.1,175.1,
180.1,157,10479,departure,125,1,256.19,112.82,10.0,175.1,180.1,
180.1,162,10491,departure,129,1,91.84,119.1,5.0,175.1,180.1,
180.1,181,10643,arrival,,2,149.73,116.07,,175.1,180.1,
180.1,199,10490,departure,119,1,310.8,59.24,30.0,175.1,180.1,
180.1,206,10643,arrival,,2,85.13,119.35,,175.1,180.1,
180.1,90,10482,departure,120,2,489.8,83.45,45.0,175.1,180.1,
180.1,220,10479,departure,125,1,128.75,102.54,5.0,175.1,180.1,
180.1,231,10643,arrival,,2,41.56,123.23,,175.1,180.1,
180.1,234,10479,arrival,,1,137.32,104.43,,175.1,180.1,
180.1,375,10482,arrival,,2,17.4,30.17,,175.1,180.1,
185.1,258,10491,arrival,,1,119.25,106.46,,180.1,185.1,
185.1,514,10482,arrival,,2,28.4,38.07,,180.1,185.1,
185.1,7,10639,arrival,,1,10.05,40.64,,180.1,185.1,
185.1,518,10482,arrival,,2,5.84,36.45,,180.1,185.1,
185.1,141,10643,departure,71,2,293.62,100.97,10.0,180.1,185.1,
185.1,283,10644,arrival,,1,38.84,42.33,,180.1,185.1,
185.1,159,10643,departure,10641,2,235.54,111.44,10.0,180.1,185.1,
185.1,166,10643,departure,10641,2,202.05,113.82,10.0,180.1,185.1,
185.1,306,10479,arrival,,1,69.18,111.47,,180.1,185.1,
185.1,582,10482,arrival,,1,28.86,40.28,,180.1,185.1,
185.1,462,10482,arrival,,1,51.09,43.04,,180.1,185.1,
185.1,336,10479,arrival,,1,34.56,109.92,,180.1,185.1,
185.1,607,10482,arrival,,1,0.92,39.13,,180.1,185.1,
185.1,226,10490,departure,119,1,352.45,67.89,30.0,180.1,185.1,
185.1,234,10479,departure,125,1,137.32,104.43,5.0,180.1,185.1,
185.1,118,10682,arrival,,1,87.73,119.41,,180.1,185.1,
185.1,252,10491,arrival,,1,152.52,103.31,,180.1,185.1,
190.1,258,10491,departure,129,1,119.25,106.46,5.0,185.1,190.1,
190.1,278,10491,arrival,,1,59.93,105.1,,185.1,190.1,
190.1,300,10491,arrival,,1,29.65,109.36,,185.1,190.1,
190.1,554,10482,arrival,,2,15.5,41.47,,185.1,190.1,
190.1,682,10482,arrival,,1,6.38,43.21,,185.1,190.1,
190.1,52,10482,departure,120,2,495.74,56.29,55.0,185.1,190.1,
190.1,181,10643,departure,71,2,303.44,91.93,10.0,185.1,190.1,
190.1,180,10682,arrival,,1,52.23,109.67,,185.1,190.1,
190.1,309,10643,arrival,,1,20.2,116.65,,185.1,190.1,
190.1,566,10482,arrival,,2,36.96,41.52,,185.1,190.1,
190.1,585,10482,arrival,,1,34.3,41.11,,185.1,190.1,
190.1,206,10643,departure,10641,2,248.23,108.97,10.0,185.1,190.1,
190.1,214,10482,departure,120,1,524.32,84.59,40.0,185.1,190.1,
190.1,355,10479,arrival,,1,23.75,107.78,,185.1,190.1,
190.1,231,10643,departure,10641,2,210.54,118.58,10.0,185.1,190.1,
190.1,364,10490,arrival,,1,33.92,44.11,,185.1,190.1,
190.1,118,10682,departure,121,1,87.73,119.41,5.0,185.1,190.1,
190.1,250,10482,departure,120,1,431.62,66.1,40.0,185.1,190.1,
190.1,252,10491,departure,129,1,152.52,103.31,5.0,185.1,190.1,
195.1,266,10482,departure,120,1,482.1,84.99,40.0,190.1,195.1,
195.1,395,10490,arrival,,1,45.67,44.48,,190.1,195.1,
195.1,269,10482,departure,120,2,515.04,82.6,45.0,190.1,195.1,
195.1,653,10482,arrival,,2,45.33,40.42,,190.1,195.1,
195.1,399,10479,arrival,,1,78.47,113.21,,190.1,195.1,
195.1,411,10490,arrival,,1,4.69,43.44,,190.1,195.1,
195.1,297,10482,departure,120,1,433.17,61.17,40.0,190.1,195.1,
195.1,170,10682,arrival,,1,45.33,111.16,,190.1,195.1,
195.1,306,10479,departure,125,1,226.32,114.82,10.0,190.1,195.1,
195.1,714,10482,arrival,,2,7.27,40.19,,190.1,195.1,
195.1,336,10479,departure,125,1,188.45,111.68,10.0,190.1,195.1,
195.1,344,10491,arrival,,1,73.49,105.94,,190.1,195.1,
200.1,262,10482,departure,120,2,485.01,50.49,50.0,195.1,200.1,
200.1,278,10491,departure,129,1,194.37,88.12,10.0,195.1,200.1,
200.1,284,10482,departure,120,2,462.54,51.24,50.0,195.1,200.1,
