input_no,time_int,start_sec,before_vph,selected_vph,profile_vph,abs_error_vph
114,1-1,0.0,109.76,54.88,54.88,0.0
114,1-2,900.0,156.8,78.4,78.4,0.0
114,1-3,1800.0,164.64,82.32,82.32,0.0
114,1-4,2700.0,141.12,70.56,70.56,0.0
114,1-5,3600.0,109.76,54.88,54.88,0.0
114,1-6,4500.0,78.4,39.2,39.2,0.0
194,1-1,0.0,54.32,27.16,27.16,0.0
194,1-2,900.0,77.6,38.8,38.8,0.0
194,1-3,1800.0,81.48,40.74,40.74,0.0
194,1-4,2700.0,69.84,34.92,34.92,0.0
194,1-5,3600.0,54.32,27.16,27.16,0.0
194,1-6,4500.0,38.8,19.4,19.4,0.0
282,1-1,0.0,87.92,43.96,43.96,0.0
282,1-2,900.0,125.6,62.8,62.8,0.0
282,1-3,1800.0,131.88,65.94,65.94,0.0
282,1-4,2700.0,113.04,56.52,56.52,0.0
282,1-5,3600.0,87.92,43.96,43.96,0.0
282,1-6,4500.0,62.8,31.4,31.4,0.0
1013,1-1,0.0,585.76,292.88,292.88,0.0
1013,1-2,900.0,836.8,418.4,418.4,0.0
1013,1-3,1800.0,878.64,439.32,439.32,0.0
1013,1-4,2700.0,753.12,376.56,376.56,0.0
1013,1-5,3600.0,585.76,292.88,292.88,0.0
1013,1-6,4500.0,418.4,209.2,209.2,0.0
1023,1-1,0.0,416.08,208.04,208.04,0.0
1023,1-2,900.0,594.4,297.2,297.2,0.0
1023,1-3,1800.0,624.12,312.06,312.06,0.0
1023,1-4,2700.0,534.96,267.48,267.48,0.0
1023,1-5,3600.0,416.08,208.04,208.04,0.0
1023,1-6,4500.0,297.2,148.6,148.6,0.0
1032,1-1,0.0,1250.48,625.24,625.24,0.0
1032,1-2,900.0,1786.4,893.2,893.2,0.0
1032,1-3,1800.0,1875.72,937.86,937.86,0.0
1032,1-4,2700.0,1607.76,803.88,803.88,0.0
1032,1-5,3600.0,1250.48,625.24,625.24,0.0
1032,1-6,4500.0,893.2,446.6,446.6,0.0
1033,1-1,0.0,535.92,267.96,267.96,0.0
1033,1-2,900.0,765.6,382.8,382.8,0.0
1033,1-3,1800.0,803.88,401.94,401.94,0.0
1033,1-4,2700.0,689.04,344.52,344.52,0.0
1033,1-5,3600.0,535.92,267.96,267.96,0.0
1033,1-6,4500.0,382.8,191.4,191.4,0.0
1052,1-1,0.0,207.2,103.6,103.6,0.0
1052,1-2,900.0,296.0,148.0,148.0,0.0
