run,link,sim_sec,count,stopped_count,mean_speed_kph
NC_1s,10481,900,5.0,0.0,119.029284
NC_1s,10481,930,2.0,0.0,123.625326
NC_1s,10481,960,10.0,0.0,116.78911
NC_1s,10481,990,0,0,0
NC_1s,10481,1020,5.0,0.0,113.15801
NC_1s,10481,1050,1.0,0.0,122.459122
NC_1s,10481,1080,2.0,0.0,101.539381
NC_1s,10481,1110,3.0,0.0,124.513507
NC_1s,10481,1140,1.0,0.0,90.247818
NC_1s,10481,1170,1.0,0.0,78.24452
NC_1s,10481,1200,4.0,0.0,104.713896
NC_1s,10481,1230,3.0,1.0,37.409506
NC_1s,10481,1260,2.0,0.0,122.901801
NC_1s,10481,1290,5.0,0.0,109.605635
NC_1s,10481,1320,5.0,0.0,109.969264
NC_1s,10481,1350,14.0,3.0,52.288713
NC_1s,10481,1380,22.0,17.0,20.372926
NC_1s,10481,1410,28.0,11.0,11.008205
NC_1s,10481,1440,21.0,7.0,20.866847
NC_1s,10481,1470,19.0,13.0,12.321298
NC_1s,10481,1500,27.0,21.0,20.334814
NC_1s,10481,1530,32.0,27.0,6.2072
NC_1s,10481,1560,32.0,22.0,7.861436
NC_1s,10481,1590,32.0,15.0,7.400818
NC_1s,10481,1620,42.0,29.0,10.713939
NC_1s,10481,1650,43.0,38.0,6.082221
NC_1s,10481,1680,46.0,45.0,1.311329
NC_1s,10481,1710,43.0,33.0,5.731232
NC_1s,10481,1740,41.0,18.0,8.52688
NC_1s,10481,1770,51.0,36.0,7.677636
NC_1s,10481,1800,56.0,50.0,3.816715
NC_1s,10481,1830,59.0,57.0,1.677142
NC_1s,10481,1860,60.0,43.0,4.527695
NC_1s,10481,1890,60.0,33.0,7.601911
NC_1s,10481,1920,63.0,38.0,3.692542
NC_1s,10481,1950,70.0,60.0,2.199327
NC_1s,10481,1980,77.0,73.0,0.970617
NC_1s,10481,2010,73.0,61.0,2.783018
NC_1s,10481,2040,67.0,45.0,5.380999
NC_1s,10481,2070,69.0,44.0,3.60815
NC_1s,10481,2100,75.0,60.0,2.301695
NC_1s,10481,2130,79.0,76.0,1.041464
NC_1s,10481,2160,78.0,67.0,2.675009
NC_1s,10481,2190,80.0,55.0,3.292647
NC_1s,10481,2220,75.0,46.0,3.461532
NC_1s,10481,2250,78.0,59.0,2.546373
NC_1s,10481,2280,79.0,77.0,0.171957
NC_1s,10481,2310,83.0,68.0,2.862771
NC_1s,10481,2340,85.0,63.0,2.72364
NC_1s,10481,2370,83.0,54.0,3.339494
NC_1s,10481,2400,86.0,63.0,3.096064
NC_1s,10481,2430,92.0,78.0,1.719661
NC_1s,10481,2460,92.0,79.0,2.53628
NC_1s,10481,2490,92.0,72.0,2.853068
NC_1s,10481,2520,94.0,64.0,3.711176
NC_1s,10481,2550,97.0,71.0,2.572724
NC_1s,10481,2580,105.0,86.0,2.351298
NC_1s,10481,2610,100.0,87.0,0.814503
NC_1s,10481,2640,101.0,78.0,2.797209
NC_1s,10481,2670,103.0,84.0,2.112368
NC_1s,10481,2700,107.0,86.0,2.167189
NC_1s,10481,2730,109.0,95.0,1.650115
NC_1s,10481,2760,112.0,99.0,1.479401
NC_1s,10481,2790,110.0,86.0,2.417258
NC_1s,10481,2820,113.0,84.0,2.947135
NC_1s,10481,2850,119.0,95.0,1.707154
NC_1s,10481,2880,125.0,99.0,1.750832
NC_1s,10481,2910,128.0,102.0,1.840679
NC_1s,10481,2940,127.0,100.0,2.056856
NC_1s,10481,2970,127.0,113.0,1.681955
NC_1s,10481,3000,127.0,111.0,1.646319
NC_1s,10481,3030,129.0,115.0,1.175922
NC_1s,10481,3060,130.0,111.0,1.388619
NC_1s,10481,3090,128.0,106.0,1.579966
NC_1s,10481,3120,125.0,100.0,1.861287
NC_1s,10481,3150,125.0,104.0,1.721112
NC_1s,10481,3180,126.0,108.0,1.388203
NC_1s,10481,3210,131.0,114.0,0.961186
NC_1s,10481,3240,128.0,106.0,1.572285
NC_1s,10481,3270,125.0,103.0,1.948782
NC_1s,10481,3300,125.0,106.0,1.757571
NC_1s,10481,3330,125.0,103.0,1.739345
NC_1s,10481,3360,128.0,105.0,1.820179
NC_1s,10481,3390,130.0,108.0,1.474527
NC_1s,10481,3420,129.0,103.0,1.435306
NC_1s,10481,3450,129.0,105.0,1.407761
NC_1s,10481,3480,129.0,107.0,1.484597
NC_1s,10481,3510,130.0,106.0,1.322559
NC_1s,10481,3540,127.0,110.0,1.109712
NC_1s,10481,3570,126.0,102.0,1.51083
NC_1s,10481,3600,126.0,107.0,1.487677
NC_1s,10481,3630,126.0,107.0,1.536259
NC_1s,10481,3660,126.0,103.0,1.789391
NC_1s,10481,3690,125.0,101.0,1.492332
NC_1s,10481,3720,127.0,103.0,1.739897
NC_1s,10481,3750,126.0,105.0,1.542239
NC_1s,10481,3780,127.0,108.0,1.594321
NC_1s,10481,3810,125.0,108.0,1.176058
NC_1s,10481,3840,121.0,93.0,2.042002
NC_1s,10481,3870,122.0,95.0,1.866151
NC_1s,10481,3900,122.0,98.0,1.918368
NC_1s,10481,3930,122.0,99.0,1.962538
NC_1s,10481,3960,126.0,110.0,0.974882
NC_1s,10481,3990,126.0,107.0,1.242004
NC_1s,10481,4020,123.0,101.0,1.587199
NC_1s,10481,4050,123.0,101.0,1.577586
NC_1s,10481,4080,127.0,109.0,1.26377
NC_1s,10481,4110,128.0,110.0,1.115297
NC_1s,10481,4140,127.0,103.0,1.363291
NC_1s,10481,4170,125.0,97.0,1.471905
NC_1s,10481,4200,126.0,102.0,1.281656
NC_1s,10481,4230,129.0,111.0,0.886097
NC_1s,10481,4260,123.0,103.0,1.408462
NC_1s,10481,4290,124.0,108.0,1.073316
NC_1s,10481,4320,122.0,101.0,1.402466
NC_1s,10481,4350,122.0,100.0,1.431456
NC_1s,10481,4380,124.0,106.0,1.372702
NC_1s,10481,4410,127.0,107.0,1.043086
NC_1s,10481,4440,126.0,104.0,1.169174
NC_1s,10481,4470,126.0,106.0,1.10405
NC_1s,10481,4500,126.0,107.0,1.089066
NC_1s,10481,4530,126.0,105.0,1.218632
NC_1s,10481,4560,127.0,106.0,1.231244
NC_1s,10481,4590,123.0,101.0,1.594963
NC_1s,10481,4620,124.0,102.0,1.507879
NC_1s,10481,4650,124.0,103.0,1.457047
NC_1s,10481,4680,128.0,109.0,1.340716
NC_1s,10481,4710,128.0,109.0,0.905305
