panel,category,series,value,unit
Residence over the interval,freeway,Model,42.467164358777,Vehicle-hours
Residence over the interval,urban_and_ramps,Model,42.55810642707851,Vehicle-hours
Residence over the interval,omega,Model,85.02527078585551,Vehicle-hours
Residence over the interval,freeway,Physical,35.8726388888889,Vehicle-hours
Residence over the interval,urban_and_ramps,Physical,44.045416666666654,Vehicle-hours
Residence over the interval,omega,Physical,79.91805555555555,Vehicle-hours
Stock at the interval end,freeway,Model,1176.0872074529486,Vehicles
Stock at the interval end,urban_and_ramps,Model,1130.6557982747893,Vehicles
Stock at the interval end,omega,Model,2306.743005727738,Vehicles
Stock at the interval end,freeway,Physical,918,Vehicles
Stock at the interval end,urban_and_ramps,Physical,1163,Vehicles
Stock at the interval end,omega,Physical,2081,Vehicles
Outward crossings,modeled,Model,442.7562573298049,Vehicle events
Outward crossings,observed,Physical,483,Vehicle events
Outward crossings,terminal inferred,Physical,227,Vehicle events
