run,link,sim_sec,count,stopped_count,mean_speed_kph
reference,10481,900.0,5.0,0.0,119.029284
reference,10481,930.0,2.0,0.0,123.625326
reference,10481,960.0,10.0,0.0,116.78911
reference,10481,990.0,0.0,0.0,0.0
reference,10481,1020.0,5.0,0.0,113.15801
reference,10481,1050.0,1.0,0.0,122.459122
reference,10481,1080.0,2.0,0.0,101.539381
reference,10481,1110.0,3.0,0.0,124.513507
reference,10481,1140.0,1.0,0.0,90.247818
reference,10481,1170.0,1.0,0.0,78.24452
reference,10481,1200.0,4.0,0.0,104.713896
reference,10481,1230.0,3.0,1.0,37.409506
reference,10481,1260.0,2.0,0.0,122.901801
reference,10481,1290.0,5.0,0.0,109.605635
reference,10481,1320.0,5.0,0.0,109.969264
reference,10481,1350.0,14.0,3.0,52.288713
reference,10481,1380.0,22.0,17.0,20.372926
reference,10481,1410.0,28.0,11.0,11.008205
reference,10481,1440.0,21.0,7.0,20.866847
reference,10481,1470.0,19.0,13.0,12.321298
reference,10481,1500.0,27.0,21.0,20.334814
reference,10481,1530.0,32.0,27.0,6.2072
reference,10481,1560.0,32.0,22.0,7.861436
reference,10481,1590.0,32.0,15.0,7.400818
reference,10481,1620.0,42.0,29.0,10.713939
reference,10481,1650.0,43.0,38.0,6.082221
reference,10481,1680.0,46.0,45.0,1.311329
reference,10481,1710.0,43.0,33.0,5.731232
reference,10481,1740.0,41.0,18.0,8.52688
reference,10481,1770.0,51.0,36.0,7.677636
reference,10481,1800.0,56.0,50.0,3.816715
reference,10481,1830.0,59.0,57.0,1.677142
reference,10481,1860.0,60.0,43.0,4.527695
reference,10481,1890.0,60.0,33.0,7.601911
reference,10481,1920.0,63.0,38.0,3.692542
reference,10481,1950.0,70.0,60.0,2.199327
reference,10481,1980.0,77.0,73.0,0.970617
reference,10481,2010.0,73.0,61.0,2.783018
reference,10481,2040.0,67.0,45.0,5.380999
reference,10481,2070.0,69.0,44.0,3.60815
reference,10481,2100.0,75.0,60.0,2.301695
reference,10481,2130.0,79.0,76.0,1.041464
reference,10481,2160.0,78.0,67.0,2.675009
reference,10481,2190.0,80.0,55.0,3.292647
reference,10481,2220.0,75.0,46.0,3.461532
reference,10481,2250.0,78.0,59.0,2.546373
reference,10481,2280.0,79.0,77.0,0.171957
reference,10481,2310.0,83.0,68.0,2.862771
reference,10481,2340.0,85.0,63.0,2.72364
reference,10481,2370.0,83.0,54.0,3.339494
reference,10481,2400.0,86.0,63.0,3.096064
reference,10481,2430.0,92.0,78.0,1.719661
reference,10481,2460.0,92.0,79.0,2.53628
reference,10481,2490.0,92.0,72.0,2.853068
reference,10481,2520.0,94.0,64.0,3.711176
reference,10481,2550.0,97.0,71.0,2.572724
reference,127,900.0,82.0,34.0,21.248102
reference,127,930.0,98.0,72.0,7.124107
reference,127,960.0,103.0,96.0,1.722453
reference,127,990.0,114.0,94.0,6.792545
reference,127,1020.0,102.0,66.0,8.670613
reference,127,1050.0,100.0,51.0,8.202827
reference,127,1080.0,114.0,74.0,6.606535
reference,127,1110.0,127.0,107.0,2.630543
reference,127,1140.0,132.0,109.0,5.798547
reference,127,1170.0,125.0,82.0,7.416229
reference,127,1200.0,119.0,75.0,7.540038
reference,127,1230.0,138.0,77.0,7.208607
reference,127,1260.0,153.0,117.0,4.591494
reference,127,1290.0,154.0,126.0,5.182947
reference,127,1320.0,141.0,109.0,4.794452
reference,127,1350.0,144.0,90.0,8.981312
reference,127,1380.0,149.0,105.0,5.813502
reference,127,1410.0,165.0,126.0,5.511746
reference,127,1440.0,177.0,138.0,5.4861
reference,127,1470.0,161.0,119.0,6.668144
reference,127,1500.0,152.0,114.0,5.246276
reference,127,1530.0,163.0,120.0,4.9793
reference,127,1560.0,176.0,132.0,4.78498
reference,127,1590.0,181.0,150.0,3.89216
reference,127,1620.0,159.0,132.0,4.718902
reference,127,1650.0,155.0,96.0,6.549423
reference,127,1680.0,163.0,109.0,5.795171
reference,127,1710.0,182.0,138.0,3.269434
reference,127,1740.0,187.0,148.0,4.258084
reference,127,1770.0,170.0,131.0,4.929949
reference,127,1800.0,164.0,115.0,6.570872
reference,127,1830.0,174.0,131.0,4.858139
reference,127,1860.0,190.0,141.0,4.465067
reference,127,1890.0,196.0,150.0,3.939663
reference,127,1920.0,174.0,136.0,4.22865
reference,127,1950.0,170.0,132.0,4.614555
reference,127,1980.0,176.0,131.0,4.669317
reference,127,2010.0,194.0,145.0,4.218483
reference,127,2040.0,196.0,154.0,3.445512
reference,127,2070.0,176.0,141.0,4.225279
reference,127,2100.0,172.0,122.0,5.27907
reference,127,2130.0,183.0,133.0,4.259339
reference,127,2160.0,196.0,145.0,4.036272
reference,127,2190.0,195.0,151.0,3.929084
reference,127,2220.0,178.0,134.0,5.664285
reference,127,2250.0,179.0,132.0,6.187231
reference,127,2280.0,185.0,146.0,4.400036
reference,127,2310.0,200.0,150.0,4.031488
reference,127,2340.0,203.0,150.0,4.466268
reference,127,2370.0,187.0,146.0,4.766984
reference,127,2400.0,184.0,136.0,5.056226
reference,127,2430.0,197.0,146.0,4.370234
reference,127,2460.0,214.0,172.0,3.858107
reference,127,2490.0,216.0,158.0,4.087889
reference,127,2520.0,201.0,148.0,5.275267
reference,127,2550.0,197.0,151.0,3.986788
reference,10682,900.0,9.0,0.0,31.748926
reference,10682,930.0,15.0,2.0,17.625892
reference,10682,960.0,17.0,4.0,14.059458
reference,10682,990.0,9.0,0.0,29.991244
reference,10682,1020.0,16.0,1.0,18.192356
reference,10682,1050.0,21.0,3.0,9.46949
reference,10682,1080.0,23.0,6.0,5.886561
reference,10682,1110.0,21.0,2.0,9.851322
reference,10682,1140.0,16.0,3.0,15.184098
reference,10682,1170.0,16.0,1.0,16.174311
reference,10682,1200.0,18.0,4.0,10.537637
reference,10682,1230.0,25.0,8.0,6.558209
reference,10682,1260.0,25.0,5.0,6.53327
reference,10682,1290.0,21.0,3.0,8.194792
reference,10682,1320.0,23.0,8.0,5.974346
reference,10682,1350.0,20.0,5.0,8.014297
reference,10682,1380.0,16.0,0.0,15.691061
reference,10682,1410.0,8.0,0.0,49.692277
reference,10682,1440.0,7.0,0.0,60.368172
reference,10682,1470.0,16.0,0.0,17.502678
reference,10682,1500.0,23.0,4.0,7.17089
reference,10682,1530.0,21.0,7.0,8.794378
reference,10682,1560.0,22.0,8.0,6.493885
reference,10682,1590.0,15.0,2.0,13.944549
reference,10682,1620.0,16.0,2.0,13.462885
reference,10682,1650.0,22.0,4.0,8.145202
reference,10682,1680.0,21.0,4.0,8.29665
reference,10682,1710.0,21.0,3.0,10.096515
reference,10682,1740.0,19.0,7.0,13.128951
reference,10682,1770.0,20.0,2.0,11.017299
reference,10682,1800.0,23.0,5.0,8.685098
reference,10682,1830.0,22.0,8.0,6.475143
reference,10682,1860.0,22.0,7.0,7.710453
reference,10682,1890.0,20.0,6.0,10.782044
reference,10682,1920.0,18.0,3.0,11.17798
reference,10682,1950.0,21.0,4.0,9.685796
reference,10682,1980.0,22.0,7.0,7.72877
reference,10682,2010.0,21.0,9.0,6.044525
reference,10682,2040.0,18.0,1.0,10.013589
reference,10682,2070.0,20.0,3.0,9.755546
reference,10682,2100.0,21.0,4.0,9.508751
reference,10682,2130.0,22.0,3.0,9.892057
reference,10682,2160.0,22.0,3.0,9.889696
reference,10682,2190.0,23.0,4.0,8.670791
reference,10682,2220.0,22.0,7.0,7.655435
reference,10682,2250.0,24.0,7.0,5.960419
reference,10682,2280.0,22.0,4.0,7.054158
reference,10682,2310.0,21.0,5.0,8.085716
reference,10682,2340.0,22.0,9.0,7.241974
