start_sec,end_sec,connector,source_link,target_link,departures_observed,departures_inferred,departures_total,discharge_vph,arrival_events,mean_vehicles,mean_stopped,mean_speed_kph
0,150,10479,26,125,5,0,5,120.0,6,0.3087248322147651,0.0,101.83391304347825
0,150,10480,124,26,0,0,0,0.0,0,0.0,0.0,
0,150,10481,2,127,0,0,0,0.0,0,0.0,0.0,
0,150,10482,32,120,3,0,3,72.0,8,0.9664429530201343,0.0,42.04590277777777
0,150,10483,119,124,0,0,0,0.0,0,0.0,0.0,
0,150,10484,31,24,2,0,2,48.0,4,0.5570469798657718,0.0,41.24542168674698
0,150,10490,129,119,0,0,0,0.0,4,0.436241610738255,0.0,41.89646153846152
0,150,10491,26,129,6,0,6,144.0,7,0.3422818791946309,0.0,115.38392156862743
0,150,10638,120,70,0,0,0,0.0,0,0.0,0.0,
0,150,10639,70,2,0,0,0,0.0,0,0.0,0.0,
0,150,10643,2,126,1,0,1,24.0,1,0.06040268456375839,0.0,120.08333333333333
0,150,10644,69,120,0,0,0,0.0,0,0.0,0.0,
0,150,10645,120,123,0,0,0,0.0,0,0.0,0.0,
0,150,10646,121,120,0,0,0,0.0,0,0.0,0.0,
0,150,10681,68,2,0,0,0,0.0,0,0.0,0.0,
0,150,10682,2,121,1,0,1,24.0,1,0.03355704697986577,0.0,137.636
0,150,10772,68,121,0,0,0,0.0,0,0.0,0.0,
0,150,10773,121,123,0,0,0,0.0,0,0.0,0.0,
150,300,10479,26,125,38,0,38,912.0,39,2.1066666666666665,0.0,113.37164556962024
150,300,10480,124,26,2,0,2,48.0,2,0.16666666666666666,0.0,43.492000000000004
150,300,10481,2,127,11,0,11,264.0,13,1.1133333333333333,0.0,124.09359281437129
150,300,10482,32,120,31,0,31,744.0,31,7.46,0.0,39.281483467381626
150,300,10483,119,124,1,0,1,24.0,8,0.66,0.0,55.14636363636361
150,300,10484,31,24,13,0,13,312.0,13,3.1666666666666665,0.0,40.26433684210518
150,300,10490,129,119,17,0,17,408.0,14,2.9,0.0,35.06954022988499
150,300,10491,26,129,33,0,33,792.0,34,2.84,0.04666666666666667,63.422159624413126
150,300,10638,120,70,8,0,8,192.0,9,0.5133333333333333,0.0,111.38142857142859
150,300,10639,70,2,6,0,6,144.0,6,1.0933333333333333,0.0,42.198231707317085
