object_type,category,name,sc_no,link,lane,pos,length,port_no,purpose
"signalController","placeholder","EVAL_SC_A","1","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_B","2","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_C","3","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_D","4","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_F","5","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_RM_D","6","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_RM_F","7","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_VSL_EB","8","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"signalController","placeholder","EVAL_SC_VSL_WB","9","","","","","","Placeholder SC required by Vissim Detector objects; signal heads/control logic are added later"
"detector","approach_stopline","EVAL_DET_A_L1_STOP_L1","1","1","1","470.000","8","1000","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_A_L1_STOP_L2","1","1","2","470.000","8","1001","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_A_L1_ADV_L1","1","1","1","368.000","8","1002","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_A_L1_ADV_L2","1","1","2","368.000","8","1003","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_A_L3_STOP_L1","1","3","1","430.000","8","1004","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_A_L3_STOP_L2","1","3","2","430.000","8","1005","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_A_L3_ADV_L1","1","3","1","328.000","8","1006","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_A_L3_ADV_L2","1","3","2","328.000","8","1007","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_A_L6_STOP_L1","1","6","1","518.011","8","1008","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_A_L6_STOP_L2","1","6","2","518.011","8","1009","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_A_L6_ADV_L1","1","6","1","416.011","8","1010","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_A_L6_ADV_L2","1","6","2","416.011","8","1011","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_A_L8_STOP_L1","1","8","1","418.014","8","1012","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_A_L8_STOP_L2","1","8","2","418.014","8","1013","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_A_L8_ADV_L1","1","8","1","316.014","8","1014","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_A_L8_ADV_L2","1","8","2","316.014","8","1015","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_B_L5_STOP_L1","2","5","1","518.011","8","1016","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_B_L5_STOP_L2","2","5","2","518.011","8","1017","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_B_L5_ADV_L1","2","5","1","416.011","8","1018","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_B_L5_ADV_L2","2","5","2","416.011","8","1019","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_B_L9_STOP_L1","2","9","1","430.000","8","1020","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_B_L9_STOP_L2","2","9","2","430.000","8","1021","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_B_L9_ADV_L1","2","9","1","328.000","8","1022","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_B_L9_ADV_L2","2","9","2","328.000","8","1023","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_B_L12_STOP_L1","2","12","1","518.011","8","1024","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_B_L12_STOP_L2","2","12","2","518.011","8","1025","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_B_L12_ADV_L1","2","12","1","416.011","8","1026","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_B_L12_ADV_L2","2","12","2","416.011","8","1027","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_B_L14_STOP_L1","2","14","1","418.014","8","1028","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_B_L14_STOP_L2","2","14","2","418.014","8","1029","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_B_L14_ADV_L1","2","14","1","316.014","8","1030","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_B_L14_ADV_L2","2","14","2","316.014","8","1031","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_C_L11_STOP_L1","3","11","1","518.011","8","1032","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_C_L11_STOP_L2","3","11","2","518.011","8","1033","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_C_L11_ADV_L1","3","11","1","416.011","8","1034","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_C_L11_ADV_L2","3","11","2","416.011","8","1035","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_C_L15_STOP_L1","3","15","1","430.000","8","1036","Stop-line presence detector for future signal actuation"
"detector","approach_stopline","EVAL_DET_C_L15_STOP_L2","3","15","2","430.000","8","1037","Stop-line presence detector for future signal actuation"
"detector","approach_advance","EVAL_DET_C_L15_ADV_L1","3","15","1","328.000","8","1038","Advance detector for arrivals/actuated signal logic"
"detector","approach_advance","EVAL_DET_C_L15_ADV_L2","3","15","2","328.000","8","1039","Advance detector for arrivals/actuated signal logic"
"detector","approach_stopline","EVAL_DET_C_L18_STOP_L1","3","18","1","470.000","8","1040","Stop-line presence detector for future signal actuation"
