reservoir,role,link,from_link,to_link,length_m,note
urban,outflow,10121,37,31,61.7,SC1001 37->31 class=external
urban,outflow,10142,1220021201,96,9.8,SC6 1220021201->96 class=external
urban,outflow,10203,1220021801,1220021301,43.7,SC6 1220021801->1220021301 class=external
urban,outflow,10230,1220013100,1220015700,15.7,SC12 1220013100->1220015700 class=external
urban,outflow,10482,32,26,380.8,SC1001 32->26 class=external
urban,outflow,10490,32,2,277.3,SC1001 32->2 class=external
urban,outflow,10633,66,68,59.1,SC1004 66->68 class=external
urban,outflow,10639,70,2,320.5,SC1004 70->2 class=external
urban,outflow,10642,71,67,68.0,SC1004 71->67 class=external
urban,outflow,10695,32,38,65.1,SC1001 32->38 class=external
urban,outflow,10119,29,31,130.6,SC1001 29->31 class=outflow
urban,outflow,10122,29,38,101.5,SC1001 29->38 class=outflow
urban,outflow,10197,1220018504,1220021301,48.5,SC6 1220018504->1220021301 class=outflow
urban,outflow,10198,1220018504,1220021902,36.0,SC6 1220018504->1220021902 class=outflow
urban,outflow,10205,1210018302,1220021902,47.9,SC6 1210018302->1220021902 class=outflow
urban,outflow,10207,1210018302,1220021301,26.4,SC6 1210018302->1220021301 class=outflow
urban,outflow,10237,1220015000,1220013700,38.4,SC12 1220015000->1220013700 class=outflow
urban,outflow,10241,1220012103,1220013700,58.2,SC12 1220012103->1220013700 class=outflow
urban,outflow,10246,1210012700,1220013700,27.8,SC12 1210012700->1220013700 class=outflow
urban,outflow,10250,1210012600,1220011300,30.2,SC16 1210012600->1220011300 class=outflow
urban,outflow,10253,1210009503,1220011300,22.5,SC16 1210009503->1220011300 class=outflow
urban,outflow,10254,1210009700,1220011300,36.5,SC16 1210009700->1220011300 class=outflow
urban,outflow,10283,1210009402,1220000803,26.5,SC109 1210009402->1220000803 class=outflow
urban,outflow,10285,173,1220000803,17.9,SC109 173->1220000803 class=outflow
urban,outflow,10295,178,1220044400,19.3,SC108 178->1220044400 class=outflow
urban,outflow,10297,176,1220044400,43.3,SC108 176->1220044400 class=outflow
urban,outflow,10298,1220007401,1220044400,51.1,SC108 1220007401->1220044400 class=outflow
urban,outflow,10371,40,38,61.6,SC1001 40->38 class=outflow
urban,outflow,10418,1220014100,1220019301,46.2,SC5 1220014100->1220019301 class=outflow
urban,outflow,10425,1220014303,1220019301,50.9,SC5 1220014303->1220019301 class=outflow
urban,outflow,10428,1220018401,1220019301,17.2,SC5 1220018401->1220019301 class=outflow
urban,outflow,10510,1220014201,319,11.7,SC101 1220014201->319 class=outflow
urban,outflow,10533,1220012502,1220016101,35.5,SC101 1220012502->1220016101 class=outflow
urban,outflow,10538,1220011503,1220016101,29.4,SC101 1220011503->1220016101 class=outflow
urban,outflow,10616,1220000201,381,13.8,SC107 1220000201->381 class=outflow
urban,outflow,10620,183,1,36.3,SC107 183->1 class=outflow
urban,outflow,10625,46,68,38.9,SC1004 46->68 class=outflow
urban,outflow,10626,46,67,65.5,SC1004 46->67 class=outflow
urban,outflow,10629,52,68,70.8,SC1004 52->68 class=outflow
urban,outflow,10630,52,67,58.4,SC1004 52->67 class=outflow
urban,outflow,10689,427,73,63.1,SC1002 427->73 class=outflow
urban,outflow,10692,329,73,36.5,SC1002 329->73 class=outflow
urban,outflow,10694,30,73,56.8,SC1002 30->73 class=outflow
urban,outflow,10698,40,31,87.3,SC1001 40->31 class=outflow
freeway,drain_departures,24,,,3346.0,FW_E 체인 하류 끝. 링크평가 아님 — 이탈 계수(link_departures_window)
freeway,drain_departures,26,,,10777.7,FW_W 체인 하류 끝. 링크평가 아님 — 이탈 계수(link_departures_window)
freeway_offramp,exit,10479,26,31,257.6,"FW_W tail=26 -> 31 (참고용, freeway 이탈에 이미 포함)"
freeway_offramp,exit,10491,26,32,231.1,"FW_W tail=26 -> 32 (참고용, freeway 이탈에 이미 포함)"
freeway_offramp,exit,10638,26,70,288.2,"FW_W tail=26 -> 70 (참고용, freeway 이탈에 이미 포함)"
freeway_offramp,exit,10645,26,68,350.4,"FW_W tail=26 -> 68 (참고용, freeway 이탈에 이미 포함)"
ramp_R_D_W,merge,10480,31,26,149.3,ramp meter connector
ramp_R_D_W,merge,10482,32,26,380.8,ramp meter connector
ramp_R_F_W,merge,10646,68,26,307.3,ramp meter connector
ramp_R_F_W,merge,10644,69,26,730.5,ramp meter connector
ramp_R_F_E,merge,10639,70,2,320.5,ramp meter connector
ramp_R_F_E,merge,10681,68,2,296.4,ramp meter connector
ramp_R_D_E,merge,10490,32,2,277.3,ramp meter connector
ramp_R_D_E,merge,10484,31,24,384.2,ramp meter connector
