object_type,status,origin,decision_name,decision_no,start_link,start_pos,route_name,route_no,dest_label,dest_link,dest_pos,rel_flow,link_seq,error
"vehicleRoutingDecisionStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","","","","","","","",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_AN","1","AN","4","400","1","10000",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_BN","2","BN","10","400","1","10001,5,10012",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_CN","3","CN","16","400","1","10001,5,10013,11,10024",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_CE","4","CE","17","450","1.2","10001,5,10013,11,10025",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_DW","5","DW","22","450","0.8","10002,7,10036",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_FE","6","FE","29","450","1.2","10001,5,10014,13,10049,27,10058",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_FW_EB","7","FW_EB","33","2600","0.8","10001,5,10014,13,10049,27,10059,31,10073",""
"vehicleRouteStatic","OK","AW","EVAL_RD_AW_IN","1","1","30","EVAL_ROUTE_AW_TO_FW_WB","8","FW_WB","34","2600","0.8","10002,7,10038,25,10066",""
"vehicleRoutingDecisionStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","","","","","","","",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_AW","1","AW","2","450","1","10003",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_BN","2","BN","10","400","1","10004,5,10012",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_CN","3","CN","16","400","1","10004,5,10013,11,10024",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_CE","4","CE","17","450","1.2","10004,5,10013,11,10025",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_DW","5","DW","22","450","0.8","10005,7,10036",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_FE","6","FE","29","450","1","10004,5,10014,13,10049,27,10058",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_FW_EB","7","FW_EB","33","2600","0.7","10004,5,10014,13,10049,27,10059,31,10073",""
"vehicleRouteStatic","OK","AN","EVAL_RD_AN_IN","2","3","30","EVAL_ROUTE_AN_TO_FW_WB","8","FW_WB","34","2600","0.7","10005,7,10038,25,10066",""
"vehicleRoutingDecisionStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","","","","","","","",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_AW","1","AW","2","450","1","10015,6,10006",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_AN","2","AN","4","400","1","10015,6,10007",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_CN","3","CN","16","400","1","10016,11,10024",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_CE","4","CE","17","450","1.1","10016,11,10025",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_DW","5","DW","22","450","0.9","10015,6,10008,7,10036",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_FE","6","FE","29","450","1.1","10016,11,10026,19,10055",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_FW_EB","7","FW_EB","33","2600","0.8","10017,13,10049,27,10059,31,10073",""
"vehicleRouteStatic","OK","BN","EVAL_RD_BN_IN","3","9","30","EVAL_ROUTE_BN_TO_FW_WB","8","FW_WB","34","2600","0.8","10017,13,10048,24,10044,25,10066",""
"vehicleRoutingDecisionStatic","OK","CN","EVAL_RD_CN_IN","4","15","30","","","","","","","",""
"vehicleRouteStatic","OK","CN","EVAL_RD_CN_IN","4","15","30","EVAL_ROUTE_CN_TO_AW","1","AW","2","450","1.1","10027,12,10018,6,10006",""
