sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,3,0,1,0,2,0,55.312849,53.604319,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
5,16,0,6,0,10,0,57.880405,61.863646,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
10,30,0,13,0,17,0,61.730894,72.051378,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
15,42,0,16,0,26,0,67.220493,89.796793,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
20,63,0,25,0,38,0,67.982121,90.740096,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
25,75,0,29,0,46,0,70.353587,98.411010,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
30,93,0,38,0,55,0,70.052274,98.098378,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
35,112,0,47,0,64,1,69.778634,99.149993,2,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
40,134,2,56,0,70,6,69.524113,100.606085,5,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
45,145,8,64,1,70,2,69.678460,103.113411,11,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
50,155,8,69,2,70,6,69.190626,105.477089,19,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
55,177,12,77,3,80,5,68.152782,104.797583,27,VISSIM_ADAPTER_NO-CONTROL,ok,0.368897
60,191,14,81,3,85,8,67.627002,106.646166,30,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
65,212,17,92,2,90,11,66.949751,105.111368,22,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
70,228,20,94,0,87,27,69.851587,104.967886,14,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
75,237,34,95,3,81,24,72.972912,106.952383,15,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
80,254,44,101,7,82,20,74.204998,106.143715,17,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
85,267,56,105,3,82,21,75.003610,107.464869,18,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
90,280,67,108,6,80,19,74.303495,107.315549,23,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
95,298,76,116,6,84,16,73.716665,106.575194,28,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
100,311,75,117,3,96,20,72.134326,107.614831,33,VISSIM_ADAPTER_NO-CONTROL,ok,0.325143
