scenario,metric,baseline,detector_only,model_only,both_aligned
low_u1000,urban_movement_queue_total_veh,32.0508,32.6560,31.0344,30.8821
low_u1000,urban_link_occupancy_total_veh,79.6244,84.0213,86.1931,90.8249
low_u1000,urban_queue_plus_link_occupancy_total_veh,95.7617,100.9297,104.9374,109.9238
low_u1000,total_model_vehicles,74.8115,79.3389,83.4441,87.9024
ramp_d_bias,urban_movement_queue_total_veh,109.5311,102.0714,84.2571,68.1777
ramp_d_bias,urban_link_occupancy_total_veh,81.4544,86.3767,88.0737,86.8198
ramp_d_bias,urban_queue_plus_link_occupancy_total_veh,25.1150,28.0446,24.2805,31.8308
ramp_d_bias,total_model_vehicles,26.8690,30.4834,25.0603,37.6768
urban_d_heavy,urban_movement_queue_total_veh,72.7050,74.2086,76.8975,77.9487
urban_d_heavy,urban_link_occupancy_total_veh,58.8794,62.0629,64.9795,67.7772
urban_d_heavy,urban_queue_plus_link_occupancy_total_veh,99.9013,105.4249,116.1605,124.0634
urban_d_heavy,total_model_vehicles,88.4250,94.0480,105.0273,110.5988
