sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,60.000000,2000.000000,10.000000,10.000000,120.000000,1,0,1,0,0,0,55.611930,55.611930,0
10,60.000000,2000.000000,10.000000,10.000000,120.000000,13,0,12,0,1,0,71.896116,73.473104,0
20,60.000000,2000.000000,10.000000,10.000000,120.000000,22,0,18,0,4,0,93.625988,102.177736,0
30,60.000000,2000.000000,10.000000,10.000000,120.000000,31,0,25,0,4,2,99.141411,104.931388,0
40,60.000000,2000.000000,10.000000,10.000000,120.000000,43,0,33,2,6,2,97.886291,107.006194,1
50,60.000000,2000.000000,10.000000,10.000000,120.000000,50,0,37,3,5,5,96.222868,108.803555,3
60,60.000000,2000.000000,10.000000,10.000000,120.000000,60,2,43,6,6,3,92.966445,106.406887,5
70,60.000000,2000.000000,10.000000,10.000000,120.000000,70,4,48,3,7,8,99.013966,109.041439,1
80,60.000000,2000.000000,10.000000,10.000000,120.000000,82,6,55,3,11,7,105.218570,112.125837,1
90,60.000000,2000.000000,10.000000,10.000000,120.000000,84,7,58,2,8,9,106.221939,112.908637,1
100,60.000000,2000.000000,10.000000,10.000000,120.000000,97,4,66,2,13,12,104.604789,110.024943,2
110,60.000000,2000.000000,10.000000,10.000000,120.000000,105,5,70,7,15,8,102.700924,109.299539,4
120,60.000000,2000.000000,10.000000,10.000000,120.000000,108,8,71,3,17,9,100.799959,110.642983,4
130,60.000000,2000.000000,10.000000,10.000000,120.000000,113,8,74,7,9,15,99.878263,110.711881,2
140,60.000000,2000.000000,10.000000,10.000000,120.000000,110,13,70,11,5,11,94.025779,113.816219,7
150,60.000000,2000.000000,10.000000,10.000000,120.000000,116,12,72,16,4,12,87.259033,111.185610,17
160,60.000000,2000.000000,10.000000,10.000000,120.000000,131,14,80,24,3,10,82.460516,107.743182,22
170,60.000000,2000.000000,10.000000,10.000000,120.000000,141,11,84,25,4,17,79.230482,107.264398,29
180,60.000000,2000.000000,10.000000,10.000000,120.000000,149,12,85,32,7,13,78.174227,109.803206,35
190,60.000000,2000.000000,10.000000,10.000000,120.000000,150,6,75,26,8,35,80.378156,110.086765,7
200,60.000000,2000.000000,10.000000,10.000000,120.000000,158,25,79,15,21,18,91.519910,108.895531,1
210,60.000000,2000.000000,10.000000,10.000000,120.000000,160,32,82,6,27,13,99.244864,109.247036,2
220,60.000000,2000.000000,10.000000,10.000000,120.000000,152,24,82,4,30,12,101.035131,108.525245,5
230,60.000000,2000.000000,10.000000,10.000000,120.000000,135,25,78,3,16,13,100.737575,110.435138,5
240,60.000000,2000.000000,10.000000,10.000000,120.000000,131,24,76,3,13,15,98.540590,111.519991,9
