sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
10,D,25,10.000000,10,9.000000,0,0.000000,0,0,0,0.000000
10,F,31,10.000000,10,9.000000,0,0.000000,0,0,0,0.000000
20,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
20,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
30,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
30,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
40,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
40,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
50,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
50,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
60,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
60,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
70,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
70,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
80,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
80,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
90,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
90,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
100,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
100,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
110,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
110,F,31,10.000000,10,10.000000,0,0.000000,1,0,0,54.231600
120,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
120,F,31,10.000000,10,10.000000,0,0.000000,1,0,0,52.324386
130,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
130,F,31,10.000000,10,10.000000,1,360.000000,0,0,0,0.000000
140,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
140,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
150,D,25,10.000000,10,10.000000,0,0.000000,1,0,0,47.323493
150,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
160,D,25,10.000000,10,10.000000,1,360.000000,0,0,1,51.984540
160,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
170,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
170,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
180,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
180,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
190,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
190,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
200,D,25,10.000000,10,10.000000,0,0.000000,1,0,0,47.258264
200,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
210,D,25,10.000000,10,10.000000,1,360.000000,0,0,0,0.000000
210,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
220,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
220,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
230,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
230,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
240,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
240,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
250,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
250,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
260,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
260,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
270,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
270,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
280,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
280,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
290,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
290,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
300,D,25,10.000000,10,10.000000,0,0.000000,1,0,0,54.281305
300,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
310,D,25,10.000000,10,10.000000,1,360.000000,0,0,0,0.000000
310,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
320,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
320,F,31,10.000000,10,10.000000,0,0.000000,1,0,0,52.048116
330,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
330,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,53.942974
340,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
340,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
350,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
350,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
360,D,25,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
360,F,31,10.000000,10,10.000000,0,0.000000,0,0,0,0.000000
