sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,4,0,55.123474
10,10.000000,0,0.000000,0,26,0,55.695323
20,10.000000,0,0.000000,0,58,0,56.197906
30,10.000000,3,1080.000000,0,82,0,56.672608
40,10.000000,12,4320.000000,2,97,3,50.753113
50,10.000000,14,5040.000000,10,112,8,45.006374
60,10.000000,13,4680.000000,22,126,8,40.092446
70,10.000000,24,8640.000000,30,136,2,44.553937
80,10.000000,36,12960.000000,56,142,4,48.359965
90,10.000000,26,9360.000000,82,156,8,46.243538
100,10.000000,24,8640.000000,98,173,4,42.537696
110,10.000000,26,9360.000000,102,192,10,38.239024
120,10.000000,32,11520.000000,99,216,20,34.313133
130,10.000000,33,11880.000000,102,234,20,33.086104
140,10.000000,42,15120.000000,127,237,24,33.779017
150,10.000000,44,15840.000000,148,233,34,32.968857
160,10.000000,40,14400.000000,172,237,43,31.724847
170,10.000000,39,14040.000000,183,236,52,29.435249
180,10.000000,35,12600.000000,200,242,51,28.384440
