sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,900.000000,600.000000,6.000000,6.000000,120.000000,3,0,1,0,2,0,55.982052,55.611930,0
10,900.000000,600.000000,6.000000,6.000000,120.000000,21,0,4,0,17,0,57.343218,71.961766,0
20,900.000000,600.000000,6.000000,6.000000,120.000000,42,0,5,0,37,0,58.713944,99.135487,0
30,900.000000,600.000000,6.000000,6.000000,120.000000,64,0,11,0,52,1,59.022023,92.066680,0
40,900.000000,600.000000,6.000000,6.000000,120.000000,86,2,13,1,65,5,57.498326,111.763743,5
50,900.000000,600.000000,6.000000,6.000000,120.000000,98,8,14,2,71,3,49.488591,116.394589,18
60,900.000000,600.000000,6.000000,6.000000,120.000000,114,14,13,2,80,5,46.158061,120.866763,31
70,900.000000,600.000000,6.000000,6.000000,120.000000,135,20,13,2,85,15,48.463239,117.027812,10
80,900.000000,600.000000,6.000000,6.000000,120.000000,149,41,16,0,75,17,54.152504,111.731736,16
90,900.000000,600.000000,6.000000,6.000000,120.000000,163,62,17,2,72,10,53.383993,116.801277,19
100,900.000000,600.000000,6.000000,6.000000,120.000000,179,72,19,1,80,7,51.195334,114.957033,30
110,900.000000,600.000000,6.000000,6.000000,120.000000,194,67,19,5,95,8,44.590108,111.758685,45
120,900.000000,600.000000,6.000000,6.000000,120.000000,213,68,18,5,113,9,37.494911,110.251547,74
130,900.000000,600.000000,6.000000,6.000000,120.000000,230,50,19,5,109,47,44.926078,110.133580,27
140,900.000000,600.000000,6.000000,6.000000,120.000000,249,79,18,9,115,28,51.296705,114.460513,19
150,900.000000,600.000000,6.000000,6.000000,120.000000,266,97,17,12,122,18,50.654726,113.196701,27
160,900.000000,600.000000,6.000000,6.000000,120.000000,277,107,17,11,121,21,48.281212,113.654289,34
170,900.000000,600.000000,6.000000,6.000000,120.000000,284,101,19,12,116,36,43.385215,105.102893,57
180,900.000000,600.000000,6.000000,6.000000,120.000000,292,107,21,9,126,29,40.459015,104.141326,79
190,900.000000,600.000000,6.000000,6.000000,120.000000,318,98,27,5,136,52,44.540125,105.340558,44
200,900.000000,600.000000,6.000000,6.000000,120.000000,333,120,27,7,151,28,48.959462,107.222178,40
210,900.000000,600.000000,6.000000,6.000000,120.000000,339,141,25,3,145,25,46.601562,111.607889,50
220,900.000000,600.000000,6.000000,6.000000,120.000000,347,154,25,0,148,20,42.693455,102.093779,81
230,900.000000,600.000000,6.000000,6.000000,120.000000,353,162,26,1,145,19,38.438121,110.807967,113
240,900.000000,600.000000,6.000000,6.000000,120.000000,362,164,24,3,157,14,31.799440,116.463653,152
