case_id,returncode,elapsed_sec,state_csv,segment_csv,ramp_csv,signal_csv,urban_csv,stdout,stderr
fd_fw800_seed13,0,389.497,evaluation\runs\calibration_fd\fd_fw800_seed13\state.csv,evaluation\runs\calibration_fd\fd_fw800_seed13\segments.csv,evaluation\runs\calibration_fd\fd_fw800_seed13\ramps.csv,evaluation\runs\calibration_fd\fd_fw800_seed13\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw800_seed13\urban_production.csv,evaluation\runs\calibration_fd\fd_fw800_seed13\stdout.txt,evaluation\runs\calibration_fd\fd_fw800_seed13\stderr.txt
fd_fw1200_seed13,0,545.99,evaluation\runs\calibration_fd\fd_fw1200_seed13\state.csv,evaluation\runs\calibration_fd\fd_fw1200_seed13\segments.csv,evaluation\runs\calibration_fd\fd_fw1200_seed13\ramps.csv,evaluation\runs\calibration_fd\fd_fw1200_seed13\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw1200_seed13\urban_production.csv,evaluation\runs\calibration_fd\fd_fw1200_seed13\stdout.txt,evaluation\runs\calibration_fd\fd_fw1200_seed13\stderr.txt
fd_fw1600_seed13,0,590.381,evaluation\runs\calibration_fd\fd_fw1600_seed13\state.csv,evaluation\runs\calibration_fd\fd_fw1600_seed13\segments.csv,evaluation\runs\calibration_fd\fd_fw1600_seed13\ramps.csv,evaluation\runs\calibration_fd\fd_fw1600_seed13\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw1600_seed13\urban_production.csv,evaluation\runs\calibration_fd\fd_fw1600_seed13\stdout.txt,evaluation\runs\calibration_fd\fd_fw1600_seed13\stderr.txt
fd_fw2000_seed13,0,800.87,evaluation\runs\calibration_fd\fd_fw2000_seed13\state.csv,evaluation\runs\calibration_fd\fd_fw2000_seed13\segments.csv,evaluation\runs\calibration_fd\fd_fw2000_seed13\ramps.csv,evaluation\runs\calibration_fd\fd_fw2000_seed13\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw2000_seed13\urban_production.csv,evaluation\runs\calibration_fd\fd_fw2000_seed13\stdout.txt,evaluation\runs\calibration_fd\fd_fw2000_seed13\stderr.txt
fd_fw2400_seed13,0,841.885,evaluation\runs\calibration_fd\fd_fw2400_seed13\state.csv,evaluation\runs\calibration_fd\fd_fw2400_seed13\segments.csv,evaluation\runs\calibration_fd\fd_fw2400_seed13\ramps.csv,evaluation\runs\calibration_fd\fd_fw2400_seed13\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw2400_seed13\urban_production.csv,evaluation\runs\calibration_fd\fd_fw2400_seed13\stdout.txt,evaluation\runs\calibration_fd\fd_fw2400_seed13\stderr.txt
fd_fw800_seed29,0,414.481,evaluation\runs\calibration_fd\fd_fw800_seed29\state.csv,evaluation\runs\calibration_fd\fd_fw800_seed29\segments.csv,evaluation\runs\calibration_fd\fd_fw800_seed29\ramps.csv,evaluation\runs\calibration_fd\fd_fw800_seed29\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw800_seed29\urban_production.csv,evaluation\runs\calibration_fd\fd_fw800_seed29\stdout.txt,evaluation\runs\calibration_fd\fd_fw800_seed29\stderr.txt
fd_fw2800_seed13,0,946.561,evaluation\runs\calibration_fd\fd_fw2800_seed13\state.csv,evaluation\runs\calibration_fd\fd_fw2800_seed13\segments.csv,evaluation\runs\calibration_fd\fd_fw2800_seed13\ramps.csv,evaluation\runs\calibration_fd\fd_fw2800_seed13\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw2800_seed13\urban_production.csv,evaluation\runs\calibration_fd\fd_fw2800_seed13\stdout.txt,evaluation\runs\calibration_fd\fd_fw2800_seed13\stderr.txt
fd_fw1200_seed29,0,521.103,evaluation\runs\calibration_fd\fd_fw1200_seed29\state.csv,evaluation\runs\calibration_fd\fd_fw1200_seed29\segments.csv,evaluation\runs\calibration_fd\fd_fw1200_seed29\ramps.csv,evaluation\runs\calibration_fd\fd_fw1200_seed29\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw1200_seed29\urban_production.csv,evaluation\runs\calibration_fd\fd_fw1200_seed29\stdout.txt,evaluation\runs\calibration_fd\fd_fw1200_seed29\stderr.txt
fd_fw1600_seed29,0,587.9,evaluation\runs\calibration_fd\fd_fw1600_seed29\state.csv,evaluation\runs\calibration_fd\fd_fw1600_seed29\segments.csv,evaluation\runs\calibration_fd\fd_fw1600_seed29\ramps.csv,evaluation\runs\calibration_fd\fd_fw1600_seed29\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw1600_seed29\urban_production.csv,evaluation\runs\calibration_fd\fd_fw1600_seed29\stdout.txt,evaluation\runs\calibration_fd\fd_fw1600_seed29\stderr.txt
fd_fw2400_seed29,0,570.523,evaluation\runs\calibration_fd\fd_fw2400_seed29\state.csv,evaluation\runs\calibration_fd\fd_fw2400_seed29\segments.csv,evaluation\runs\calibration_fd\fd_fw2400_seed29\ramps.csv,evaluation\runs\calibration_fd\fd_fw2400_seed29\signal_discharge.csv,evaluation\runs\calibration_fd\fd_fw2400_seed29\urban_production.csv,evaluation\runs\calibration_fd\fd_fw2400_seed29\stdout.txt,evaluation\runs\calibration_fd\fd_fw2400_seed29\stderr.txt
