sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,0,0,55.611930
15,15.000000,0,0.000000,0,2,0,85.117114
30,15.000000,0,0.000000,0,4,0,99.141411
45,15.000000,2,480.000000,0,6,3,98.435762
60,15.000000,5,1200.000000,2,6,6,92.966445
75,15.000000,5,1200.000000,6,10,1,101.906299
90,15.000000,4,960.000000,7,8,2,106.221939
105,15.000000,6,1440.000000,4,13,5,103.287866
120,15.000000,2,480.000000,8,17,3,100.799959
135,15.000000,6,1440.000000,11,5,9,96.847826
150,15.000000,9,2160.000000,12,4,16,87.259033
165,15.000000,7,1680.000000,12,3,25,80.004735
180,15.000000,7,1680.000000,12,7,32,78.174227
195,15.000000,16,3840.000000,19,16,22,84.848597
210,15.000000,14,3360.000000,32,27,6,99.244864
225,15.000000,3,720.000000,24,26,3,102.031024
240,15.000000,6,1440.000000,24,13,3,98.540590
255,15.000000,10,2400.000000,14,13,12,92.410061
270,15.000000,16,3840.000000,9,22,20,80.420575
285,15.000000,8,1920.000000,9,13,28,72.523238
300,15.000000,5,1200.000000,10,12,41,66.913929
315,15.000000,12,2880.000000,12,17,27,75.922130
330,15.000000,18,4320.000000,22,26,12,88.539223
345,15.000000,12,2880.000000,21,41,6,92.639663
360,15.000000,3,720.000000,26,17,2,97.761141
375,15.000000,6,1440.000000,20,13,13,88.379958
390,15.000000,8,1920.000000,22,13,28,79.339710
405,15.000000,19,4560.000000,20,5,35,69.624265
420,15.000000,7,1680.000000,18,10,44,65.282186
435,15.000000,14,3360.000000,12,10,44,72.751658
450,15.000000,28,6720.000000,42,21,21,85.947444
465,15.000000,18,4320.000000,29,44,11,87.156650
480,15.000000,4,960.000000,30,25,7,88.823442
495,15.000000,3,720.000000,19,11,9,86.226748
510,15.000000,12,2880.000000,21,17,18,80.803199
525,15.000000,10,2400.000000,21,15,23,70.453920
540,15.000000,11,2640.000000,19,9,29,69.186814
555,15.000000,9,2160.000000,8,8,27,77.395806
570,15.000000,16,3840.000000,30,28,13,92.863287
585,15.000000,12,2880.000000,30,31,6,96.743056
600,15.000000,2,480.000000,26,26,5,94.421885
615,15.000000,5,1200.000000,20,11,10,85.482694
630,15.000000,12,2880.000000,16,24,20,74.727806
645,15.000000,1,240.000000,16,20,24,71.123300
660,15.000000,5,1200.000000,15,8,31,69.212560
675,15.000000,5,1200.000000,12,7,32,70.091697
690,15.000000,25,6000.000000,37,18,13,92.742537
705,15.000000,9,2160.000000,32,27,2,100.867799
720,15.000000,7,1680.000000,29,15,4,95.582211
735,15.000000,6,1440.000000,24,8,6,91.389739
750,15.000000,12,2880.000000,16,16,17,87.032006
765,15.000000,4,960.000000,13,15,29,80.284391
780,15.000000,16,3840.000000,11,4,38,67.505019
795,15.000000,6,1440.000000,12,4,49,63.854660
810,15.000000,25,6000.000000,21,18,35,79.355095
825,15.000000,21,5040.000000,24,37,14,95.248848
840,15.000000,9,2160.000000,24,39,4,98.069060
855,15.000000,3,720.000000,23,20,2,94.165621
870,15.000000,10,2400.000000,19,13,11,85.983816
885,15.000000,8,1920.000000,19,14,22,75.609208
900,15.000000,4,960.000000,17,8,27,69.271238
