sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,60.000000,2400.000000,10.000000,10.000000,120.000000,1,0,1,0,0,0,55.611930,55.611930,0
15,60.000000,2400.000000,10.000000,10.000000,120.000000,19,0,17,0,2,0,87.291670,90.948052,0
30,60.000000,2400.000000,10.000000,10.000000,120.000000,38,0,31,0,4,3,97.414991,101.228197,0
45,60.000000,2400.000000,10.000000,10.000000,120.000000,52,0,39,3,6,4,97.924682,108.426782,2
60,60.000000,2400.000000,10.000000,10.000000,120.000000,71,2,52,6,6,5,95.092920,108.376159,5
75,60.000000,2400.000000,10.000000,10.000000,120.000000,89,7,63,1,10,8,105.299512,112.239178,1
90,60.000000,2400.000000,10.000000,10.000000,120.000000,112,7,79,2,10,14,104.993493,108.333957,1
105,60.000000,2400.000000,10.000000,10.000000,120.000000,125,5,87,4,17,12,104.632994,109.371115,2
120,60.000000,2400.000000,10.000000,10.000000,120.000000,127,7,90,8,14,8,98.467948,106.052501,7
135,60.000000,2400.000000,10.000000,10.000000,120.000000,135,10,93,12,9,11,87.658693,98.021941,5
150,60.000000,2400.000000,10.000000,10.000000,120.000000,147,10,97,21,4,15,83.133438,102.941666,18
165,60.000000,2400.000000,10.000000,10.000000,120.000000,162,10,98,30,3,21,83.201701,106.175534,27
180,60.000000,2400.000000,10.000000,10.000000,120.000000,175,10,105,42,7,11,77.333643,107.143133,40
195,60.000000,2400.000000,10.000000,10.000000,120.000000,187,19,105,37,14,12,81.199213,108.634867,6
210,60.000000,2400.000000,10.000000,10.000000,120.000000,183,32,89,10,26,26,96.098603,111.360503,4
225,60.000000,2400.000000,10.000000,10.000000,120.000000,167,30,78,10,27,22,101.195146,108.010202,5
240,60.000000,2400.000000,10.000000,10.000000,120.000000,158,30,82,6,25,15,97.464034,106.104628,9
255,60.000000,2400.000000,10.000000,10.000000,120.000000,145,20,84,14,15,12,85.950937,107.505950,10
270,60.000000,2400.000000,10.000000,10.000000,120.000000,152,15,81,22,21,13,80.722184,110.250738,27
285,60.000000,2400.000000,10.000000,10.000000,120.000000,156,15,85,31,13,12,73.098631,106.328588,37
300,60.000000,2400.000000,10.000000,10.000000,120.000000,174,16,94,42,12,10,68.629942,103.654724,49
315,60.000000,2400.000000,10.000000,10.000000,120.000000,189,11,95,35,19,29,78.312139,103.498517,10
330,60.000000,2400.000000,10.000000,10.000000,120.000000,200,33,92,16,33,26,92.050736,102.609995,6
345,60.000000,2400.000000,10.000000,10.000000,120.000000,192,32,87,10,43,20,93.512721,101.722712,10
360,60.000000,2400.000000,10.000000,10.000000,120.000000,171,32,89,6,29,15,90.847376,99.230639,16
375,60.000000,2400.000000,10.000000,10.000000,120.000000,163,27,88,12,11,25,81.461467,96.815262,4
