sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
15,D,25,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
15,F,31,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
30,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
30,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,50.003893
45,F,31,10.000000,10,15.000000,0,0.000000,3,0,0,51.631256
60,D,25,10.000000,10,15.000000,1,240.000000,1,0,0,56.821342
60,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,50.474689
75,D,25,10.000000,10,15.000000,2,480.000000,0,0,1,47.892152
75,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,56.145894
90,D,25,10.000000,10,15.000000,1,240.000000,0,0,1,56.167486
90,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,56.818687
105,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,56.844394
105,F,31,10.000000,10,15.000000,0,0.000000,1,1,0,54.309235
120,D,25,10.000000,10,15.000000,2,480.000000,2,0,0,48.054982
120,F,31,10.000000,10,15.000000,1,240.000000,4,0,0,55.349252
135,D,25,10.000000,10,15.000000,1,240.000000,2,0,0,57.727045
135,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,53.198004
150,D,25,10.000000,10,15.000000,2,480.000000,3,1,0,51.786478
150,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,53.231030
165,D,25,10.000000,10,15.000000,3,720.000000,2,0,0,52.000496
165,F,31,10.000000,10,15.000000,0,0.000000,3,0,0,50.215789
180,D,25,10.000000,10,15.000000,1,240.000000,3,0,0,52.643781
180,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,52.712698
195,D,25,10.000000,10,15.000000,1,240.000000,2,0,1,52.897989
195,F,31,10.000000,10,15.000000,0,0.000000,3,0,0,51.317325
210,D,25,10.000000,10,15.000000,0,0.000000,1,1,0,51.149365
210,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,47.584470
225,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,51.490849
225,F,31,10.000000,10,15.000000,0,0.000000,2,0,0,49.853100
240,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,46.448845
240,F,31,10.000000,10,15.000000,0,0.000000,3,0,0,54.868099
255,D,25,10.000000,10,15.000000,0,0.000000,3,0,0,51.426959
255,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,53.997649
270,D,25,10.000000,10,15.000000,2,480.000000,6,0,0,50.915692
270,F,31,10.000000,10,15.000000,0,0.000000,7,0,0,51.668368
285,D,25,10.000000,10,15.000000,5,1200.000000,7,0,1,50.442340
285,F,31,10.000000,10,15.000000,1,240.000000,7,1,0,45.181371
300,D,25,10.000000,10,15.000000,0,0.000000,6,1,0,50.122464
300,F,31,10.000000,10,15.000000,0,0.000000,10,0,0,51.077944
315,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,52.544027
315,F,31,10.000000,10,15.000000,0,0.000000,3,1,0,51.687057
330,D,25,10.000000,10,15.000000,0,0.000000,2,0,0,50.755634
330,F,31,10.000000,10,15.000000,0,0.000000,6,0,0,50.981597
345,D,25,10.000000,10,15.000000,1,240.000000,2,0,0,53.436693
345,F,31,10.000000,10,15.000000,0,0.000000,0,1,0,50.438413
