sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,3000.000000,1000.000000,10.000000,10.000000,120.000000,5,0,1,0,4,0,53.253911,58.153997,0
15,3000.000000,1000.000000,10.000000,10.000000,120.000000,104,0,7,0,97,0,54.113347,86.412791,0
30,3000.000000,1000.000000,10.000000,10.000000,120.000000,218,0,19,0,196,3,55.144767,88.370185,0
45,3000.000000,1000.000000,10.000000,10.000000,120.000000,314,19,22,6,250,17,48.844106,108.589633,21
60,3000.000000,1000.000000,10.000000,10.000000,120.000000,383,62,28,12,268,13,40.589338,113.985329,78
75,3000.000000,1000.000000,10.000000,10.000000,120.000000,479,83,39,1,332,24,36.992606,105.672041,117
90,3000.000000,1000.000000,10.000000,10.000000,120.000000,555,101,42,3,376,33,34.807416,108.806018,166
105,3000.000000,1000.000000,10.000000,10.000000,120.000000,620,135,48,7,401,29,32.690139,111.746781,232
120,3000.000000,1000.000000,10.000000,10.000000,120.000000,685,165,48,5,443,24,29.095902,105.615317,300
135,3000.000000,1000.000000,10.000000,10.000000,120.000000,761,159,45,16,496,45,29.738293,113.593473,268
150,3000.000000,1000.000000,10.000000,10.000000,120.000000,849,181,41,22,562,43,30.055294,112.179121,308
165,3000.000000,1000.000000,10.000000,10.000000,120.000000,926,217,39,21,605,44,27.914752,111.715981,368
180,3000.000000,1000.000000,10.000000,10.000000,120.000000,986,240,37,32,632,45,26.218263,110.410994,443
195,3000.000000,1000.000000,10.000000,10.000000,120.000000,1040,243,42,14,682,59,24.291425,105.118713,464
210,3000.000000,1000.000000,10.000000,10.000000,120.000000,1070,242,43,8,730,47,22.884456,114.934611,532
225,3000.000000,1000.000000,10.000000,10.000000,120.000000,1071,262,42,3,724,40,20.944743,112.234464,569
240,3000.000000,1000.000000,10.000000,10.000000,120.000000,1056,301,42,4,681,28,18.456925,110.235907,611
255,3000.000000,1000.000000,10.000000,10.000000,120.000000,1052,289,39,7,655,62,19.123004,109.332789,542
270,3000.000000,1000.000000,10.000000,10.000000,120.000000,1095,294,40,27,683,51,24.132952,114.320739,504
285,3000.000000,1000.000000,10.000000,10.000000,120.000000,1156,310,42,21,729,54,25.147477,110.708720,483
300,3000.000000,1000.000000,10.000000,10.000000,120.000000,1166,320,43,23,715,65,23.240193,109.041500,532
315,3000.000000,1000.000000,10.000000,10.000000,120.000000,1178,319,46,14,719,80,22.556233,106.489260,533
330,3000.000000,1000.000000,10.000000,10.000000,120.000000,1182,331,46,11,741,53,22.350004,101.079463,568
345,3000.000000,1000.000000,10.000000,10.000000,120.000000,1187,328,57,5,749,48,21.175618,104.107002,621
