sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,4,0,53.253911
15,15.000000,0,0.000000,0,97,0,54.113347
30,15.000000,0,0.000000,0,196,0,55.144767
45,15.000000,55,13200.000000,19,250,6,48.844106
60,15.000000,56,13440.000000,62,268,12,40.589338
75,15.000000,37,8880.000000,83,332,1,36.992606
90,15.000000,48,11520.000000,101,376,3,34.807416
105,15.000000,46,11040.000000,135,401,7,32.690139
120,15.000000,35,8400.000000,165,443,5,29.095902
135,15.000000,67,16080.000000,159,496,16,29.738293
150,15.000000,81,19440.000000,181,562,22,30.055294
165,15.000000,42,10080.000000,217,605,21,27.914752
180,15.000000,34,8160.000000,240,632,32,26.218263
195,15.000000,52,12480.000000,243,682,14,24.291425
210,15.000000,47,11280.000000,242,730,8,22.884456
225,15.000000,41,9840.000000,262,724,3,20.944743
240,15.000000,35,8400.000000,301,681,4,18.456925
255,15.000000,50,12000.000000,289,655,7,19.123004
270,15.000000,107,25680.000000,294,683,27,24.132952
285,15.000000,89,21360.000000,310,729,21,25.147477
300,15.000000,18,4320.000000,320,715,23,23.240193
315,15.000000,36,8640.000000,319,719,14,22.556233
330,15.000000,57,13680.000000,331,741,11,22.350004
345,15.000000,53,12720.000000,328,749,5,21.175618
360,15.000000,43,10320.000000,357,702,6,18.900958
375,15.000000,27,6480.000000,339,674,9,19.677613
390,15.000000,63,15120.000000,336,703,29,23.543472
405,15.000000,86,20640.000000,340,740,32,24.800526
420,15.000000,36,8640.000000,345,720,28,23.911543
435,15.000000,27,6480.000000,352,709,21,23.870459
450,15.000000,50,12000.000000,366,728,11,24.507941
465,15.000000,48,11520.000000,374,722,4,21.556666
480,15.000000,49,11760.000000,392,710,3,18.727729
495,15.000000,36,8640.000000,373,690,6,16.688574
510,15.000000,83,19920.000000,362,720,29,19.095915
525,15.000000,99,23760.000000,368,758,31,21.142524
540,15.000000,45,10800.000000,376,747,28,20.975027
555,15.000000,46,11040.000000,387,731,16,19.390339
570,15.000000,35,8400.000000,396,753,5,19.957091
585,15.000000,58,13920.000000,396,766,4,18.682118
600,15.000000,53,12720.000000,403,744,5,17.234756
615,15.000000,47,11280.000000,402,703,5,15.628768
630,15.000000,82,19680.000000,363,728,19,20.037822
645,15.000000,95,22800.000000,364,751,27,23.242889
660,15.000000,42,10080.000000,383,757,29,22.666839
675,15.000000,42,10080.000000,419,739,25,20.588703
690,15.000000,74,17760.000000,423,751,13,21.579886
705,15.000000,68,16320.000000,418,767,6,19.485396
720,15.000000,66,15840.000000,422,767,5,18.197836
735,15.000000,60,14400.000000,432,736,5,16.127905
750,15.000000,89,21360.000000,398,727,24,18.264644
765,15.000000,121,29040.000000,376,769,30,21.025305
780,15.000000,54,12960.000000,388,782,34,20.961497
795,15.000000,41,9840.000000,416,770,37,18.659700
810,15.000000,54,12960.000000,419,766,15,20.059236
825,15.000000,55,13200.000000,421,776,7,19.164780
840,15.000000,45,10800.000000,436,778,2,16.991910
855,15.000000,41,9840.000000,449,738,9,14.463650
870,15.000000,64,15360.000000,419,712,18,16.759398
885,15.000000,92,22080.000000,426,743,25,20.509824
900,15.000000,65,15600.000000,428,776,32,20.837740
