sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,1.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
15,D,25,1.000000,10,14.000000,0,0.000000,0,0,0,0.000000
15,F,31,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
30,D,25,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
30,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,D,25,1.000000,10,15.000000,0,0.000000,6,0,0,46.280131
45,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
60,D,25,1.000000,10,15.000000,1,240.000000,14,3,0,14.001505
60,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
75,D,25,1.000000,10,15.000000,2,480.000000,16,2,1,10.523498
75,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
90,D,25,1.000000,10,15.000000,1,240.000000,22,4,0,6.740070
90,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
105,D,25,1.000000,10,15.000000,3,720.000000,25,2,1,7.331281
105,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
120,D,25,1.000000,10,15.000000,0,0.000000,32,6,0,4.367465
120,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
135,D,25,1.000000,10,15.000000,4,960.000000,31,4,1,4.038449
135,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
150,D,25,1.000000,10,15.000000,2,480.000000,34,6,0,4.589133
150,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
165,D,25,1.000000,10,15.000000,4,960.000000,34,4,1,4.189893
165,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
180,D,25,1.000000,10,15.000000,2,480.000000,39,6,0,2.800580
180,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
195,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.385356
195,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
210,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,3.276632
210,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
225,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.080083
225,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
240,D,25,1.000000,10,15.000000,2,480.000000,41,6,0,2.756469
240,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
255,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.445768
255,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
270,D,25,1.000000,10,15.000000,2,480.000000,42,6,0,2.682787
270,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
285,D,25,1.000000,10,15.000000,4,960.000000,40,4,2,3.581768
285,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
300,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,2.610647
300,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
315,D,25,1.000000,10,15.000000,4,960.000000,40,4,1,3.000104
315,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
330,D,25,1.000000,10,15.000000,2,480.000000,41,6,0,2.669960
330,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
345,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.172166
345,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
360,D,25,1.000000,10,15.000000,2,480.000000,41,6,0,3.541005
360,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
375,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.030488
375,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
390,D,25,1.000000,10,15.000000,3,720.000000,41,6,0,2.200408
390,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
405,D,25,1.000000,10,15.000000,3,720.000000,41,4,1,2.878418
405,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
420,D,25,1.000000,10,15.000000,2,480.000000,41,5,0,2.810492
420,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
435,D,25,1.000000,10,15.000000,3,720.000000,41,3,1,3.681993
435,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
450,D,25,1.000000,10,15.000000,2,480.000000,39,6,0,2.596948
450,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
465,D,25,1.000000,10,15.000000,5,1200.000000,40,4,1,3.421864
465,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
480,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,2.856915
480,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
495,D,25,1.000000,10,15.000000,4,960.000000,40,4,1,3.055254
495,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
510,D,25,1.000000,10,15.000000,1,240.000000,41,6,0,2.532609
510,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
525,D,25,1.000000,10,15.000000,4,960.000000,40,4,1,3.237342
525,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
540,D,25,1.000000,10,15.000000,2,480.000000,42,6,0,2.459240
540,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
555,D,25,1.000000,10,15.000000,4,960.000000,40,4,1,3.168745
555,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
570,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,3.450113
570,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
585,D,25,1.000000,10,15.000000,3,720.000000,40,4,2,3.322612
585,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
600,D,25,1.000000,10,15.000000,2,480.000000,40,5,0,2.477941
600,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
615,D,25,1.000000,10,15.000000,4,960.000000,40,4,1,3.222578
615,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
630,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,2.517539
630,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
