sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,2400.000000,600.000000,6.000000,10.000000,120.000000,7,0,1,0,6,0,54.644834,55.611930,0
15,2400.000000,600.000000,6.000000,10.000000,120.000000,76,0,4,0,72,0,54.447923,93.051274,0
30,2400.000000,600.000000,6.000000,10.000000,120.000000,138,0,11,0,126,1,53.668360,92.598808,0
45,2400.000000,600.000000,6.000000,10.000000,120.000000,211,13,11,5,176,6,43.967361,102.542278,25
60,2400.000000,600.000000,6.000000,10.000000,120.000000,290,29,9,10,231,11,38.792564,116.208044,71
75,2400.000000,600.000000,6.000000,10.000000,120.000000,378,53,11,6,284,24,37.108474,104.671466,70
90,2400.000000,600.000000,6.000000,10.000000,120.000000,462,86,13,10,324,29,35.005869,108.345610,111
105,2400.000000,600.000000,6.000000,10.000000,120.000000,536,110,16,13,366,31,30.872308,99.228688,155
120,2400.000000,600.000000,6.000000,10.000000,120.000000,604,127,20,25,406,26,24.435523,101.694322,226
135,2400.000000,600.000000,6.000000,10.000000,120.000000,661,137,17,28,439,40,21.238822,108.048982,231
150,2400.000000,600.000000,6.000000,10.000000,120.000000,732,160,18,35,474,45,20.356466,105.287812,290
165,2400.000000,600.000000,6.000000,10.000000,120.000000,778,189,19,38,490,42,18.400707,99.490361,360
180,2400.000000,600.000000,6.000000,10.000000,120.000000,840,215,19,44,525,37,16.760661,97.999378,443
195,2400.000000,600.000000,6.000000,10.000000,120.000000,920,219,18,33,587,63,16.219792,94.574262,474
210,2400.000000,600.000000,6.000000,10.000000,120.000000,980,252,16,33,616,63,16.827126,101.533702,494
225,2400.000000,600.000000,6.000000,10.000000,120.000000,1029,286,22,29,635,57,14.174098,89.180565,561
240,2400.000000,600.000000,6.000000,10.000000,120.000000,1072,311,22,29,649,61,13.571790,99.372448,604
255,2400.000000,600.000000,6.000000,10.000000,120.000000,1106,324,26,30,659,67,11.595516,96.362974,646
270,2400.000000,600.000000,6.000000,10.000000,120.000000,1159,352,24,37,685,61,11.296330,103.271433,683
285,2400.000000,600.000000,6.000000,10.000000,120.000000,1202,371,20,42,708,61,10.326970,96.698781,761
300,2400.000000,600.000000,6.000000,10.000000,120.000000,1248,388,20,43,730,67,9.587762,86.401416,790
315,2400.000000,600.000000,6.000000,10.000000,120.000000,1306,407,28,32,764,75,9.915260,93.804437,847
330,2400.000000,600.000000,6.000000,10.000000,120.000000,1333,424,25,26,769,89,10.399045,99.356828,889
345,2400.000000,600.000000,6.000000,10.000000,120.000000,1348,430,25,26,766,101,9.157317,101.234084,924
360,2400.000000,600.000000,6.000000,10.000000,120.000000,1362,442,25,28,772,95,8.431536,101.329598,959
375,2400.000000,600.000000,6.000000,10.000000,120.000000,1381,443,28,34,773,103,8.795927,95.611111,940
390,2400.000000,600.000000,6.000000,10.000000,120.000000,1408,456,28,39,777,108,8.246666,103.101014,970
405,2400.000000,600.000000,6.000000,10.000000,120.000000,1429,476,29,42,776,106,7.495631,100.532141,1017
420,2400.000000,600.000000,6.000000,10.000000,120.000000,1455,504,24,46,787,94,7.013127,101.371364,1046
435,2400.000000,600.000000,6.000000,10.000000,120.000000,1473,512,27,42,787,105,7.358089,93.113624,1061
450,2400.000000,600.000000,6.000000,10.000000,120.000000,1505,525,23,38,815,104,7.942714,109.022809,1102
465,2400.000000,600.000000,6.000000,10.000000,120.000000,1525,535,25,39,825,101,7.095166,102.375464,1142
