sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,4,0,53.253911
15,15.000000,0,0.000000,0,77,0,54.120255
30,15.000000,0,0.000000,0,156,0,54.077702
45,15.000000,45,10800.000000,14,211,7,47.699480
60,15.000000,43,10320.000000,47,231,12,40.273141
75,15.000000,46,11040.000000,66,248,12,35.384656
90,15.000000,65,15600.000000,97,279,13,38.098728
105,15.000000,49,11760.000000,127,315,9,36.449327
120,15.000000,48,11520.000000,144,323,20,30.373907
135,15.000000,49,11760.000000,160,350,25,23.580036
150,15.000000,49,11760.000000,184,374,35,24.551019
165,15.000000,63,15120.000000,211,410,42,24.047879
180,15.000000,60,14400.000000,235,445,55,20.937482
195,15.000000,60,14400.000000,243,505,47,20.473350
210,15.000000,67,16080.000000,277,543,40,20.994708
225,15.000000,49,11760.000000,308,579,42,16.764705
240,15.000000,38,9120.000000,337,600,41,14.106038
255,15.000000,48,11520.000000,348,634,40,12.285926
270,15.000000,57,13680.000000,364,653,42,10.972810
285,15.000000,47,11280.000000,388,665,44,10.682297
300,15.000000,49,11760.000000,405,691,45,10.676510
315,15.000000,57,13680.000000,416,729,47,9.774109
330,15.000000,59,14160.000000,430,739,42,10.184800
345,15.000000,40,9600.000000,445,731,38,9.122184
360,15.000000,26,6240.000000,462,727,38,7.696237
375,15.000000,39,9360.000000,456,740,41,7.790751
390,15.000000,40,9600.000000,476,754,49,7.887335
405,15.000000,30,7200.000000,495,777,55,6.563619
420,15.000000,40,9600.000000,517,782,55,6.311441
435,15.000000,47,11280.000000,532,776,51,6.513935
450,15.000000,49,11760.000000,542,794,41,7.434455
465,15.000000,48,11520.000000,547,821,38,7.028662
480,15.000000,59,14160.000000,560,818,43,5.994390
495,15.000000,51,12240.000000,568,818,45,5.897253
510,15.000000,57,13680.000000,581,808,48,5.511871
525,15.000000,36,8640.000000,588,827,51,5.179014
540,15.000000,30,7200.000000,600,835,54,4.608726
555,15.000000,24,5760.000000,599,836,52,4.961354
570,15.000000,50,12000.000000,604,867,38,5.979964
585,15.000000,37,8880.000000,612,869,38,5.855709
600,15.000000,28,6720.000000,617,863,41,5.744515
615,15.000000,28,6720.000000,625,868,40,5.351041
630,15.000000,37,8880.000000,622,855,45,5.270103
645,15.000000,28,6720.000000,625,861,50,4.757256
660,15.000000,39,9360.000000,630,891,58,4.375135
675,15.000000,29,6960.000000,631,890,61,4.946194
690,15.000000,66,15840.000000,646,906,39,6.561943
705,15.000000,49,11760.000000,652,915,39,6.416295
720,15.000000,28,6720.000000,662,906,46,5.648832
735,15.000000,29,6960.000000,673,900,44,4.880466
750,15.000000,61,14640.000000,668,891,46,4.059420
765,15.000000,42,10080.000000,671,904,51,3.633710
780,15.000000,36,8640.000000,678,906,55,3.521043
795,15.000000,47,11280.000000,691,908,57,3.876024
810,15.000000,45,10800.000000,681,920,50,4.833595
825,15.000000,34,8160.000000,688,926,40,4.861495
840,15.000000,35,8400.000000,699,904,37,4.082025
855,15.000000,30,7200.000000,703,900,38,3.820834
870,15.000000,44,10560.000000,703,895,40,3.840219
885,15.000000,27,6480.000000,705,904,44,3.547023
900,15.000000,21,5040.000000,711,906,50,3.639012
