case_id,returncode,elapsed_sec,timed_out,case_timeout_sec,state_csv,segment_csv,ramp_csv,signal_csv,urban_csv,stdout,stderr
rampF_bias_g1_seed13,0,142.282,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed13\stderr.txt
rampF_bias_g4_seed13,0,143.436,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed13\stderr.txt
rampF_bias_g2_seed13,0,149.8,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed13\stderr.txt
rampF_bias_g6_seed13,0,144.744,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g6_seed13\stderr.txt
rampF_bias_g8_seed13,0,148.7,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed13\stderr.txt
rampF_bias_g10_seed13,0,142.88,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g10_seed13\stderr.txt
rampF_bias_g1_seed29,0,153.144,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g1_seed29\stderr.txt
rampF_bias_g2_seed29,0,160.038,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g2_seed29\stderr.txt
rampF_bias_g4_seed29,0,150.42,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g4_seed29\stderr.txt
rampF_bias_g8_seed29,0,139.807,False,300.0,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\state.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\segments.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\ramps.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\signal_discharge.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\urban_production.csv,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\stdout.txt,evaluation\runs\calibration_rampF_bias_vector_20260626\rampF_bias_g8_seed29\stderr.txt
