sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,2400.000000,600.000000,10.000000,2.000000,120.000000,7,0,1,0,6,0,54.644834,55.611930,0
15,2400.000000,600.000000,10.000000,2.000000,120.000000,76,0,4,0,72,0,54.447923,93.051274,0
30,2400.000000,600.000000,10.000000,2.000000,120.000000,138,0,11,0,126,1,54.042518,92.598808,0
45,2400.000000,600.000000,10.000000,2.000000,120.000000,211,8,11,8,175,9,43.490181,102.542278,34
60,2400.000000,600.000000,10.000000,2.000000,120.000000,290,28,9,12,229,12,38.947913,116.208044,71
75,2400.000000,600.000000,10.000000,2.000000,120.000000,378,54,11,11,283,19,37.423784,104.671466,73
90,2400.000000,600.000000,10.000000,2.000000,120.000000,462,93,11,16,320,22,33.879729,112.010884,129
105,2400.000000,600.000000,10.000000,2.000000,120.000000,537,126,12,14,358,27,28.844124,102.848959,188
120,2400.000000,600.000000,10.000000,2.000000,120.000000,609,146,17,30,394,22,25.192318,106.645523,236
135,2400.000000,600.000000,10.000000,2.000000,120.000000,669,159,15,40,420,35,21.293585,110.000244,259
150,2400.000000,600.000000,10.000000,2.000000,120.000000,740,194,14,55,442,35,20.827676,110.100213,300
165,2400.000000,600.000000,10.000000,2.000000,120.000000,792,230,17,66,449,30,18.445653,102.641891,337
180,2400.000000,600.000000,10.000000,2.000000,120.000000,857,253,13,71,474,46,17.133260,109.104141,404
195,2400.000000,600.000000,10.000000,2.000000,120.000000,943,265,12,64,537,65,15.884943,93.663725,449
210,2400.000000,600.000000,10.000000,2.000000,120.000000,1012,298,12,68,570,64,15.199057,109.224128,524
225,2400.000000,600.000000,10.000000,2.000000,120.000000,1074,329,19,66,597,63,12.961609,101.235429,600
240,2400.000000,600.000000,10.000000,2.000000,120.000000,1128,363,20,68,619,58,11.026763,105.597524,685
255,2400.000000,600.000000,10.000000,2.000000,120.000000,1168,387,20,69,631,61,9.852105,106.264125,724
270,2400.000000,600.000000,10.000000,2.000000,120.000000,1231,422,20,75,660,54,9.861976,108.841195,766
285,2400.000000,600.000000,10.000000,2.000000,120.000000,1291,451,18,77,684,61,9.374903,104.637322,826
300,2400.000000,600.000000,10.000000,2.000000,120.000000,1332,473,17,83,694,65,8.941566,94.323098,891
315,2400.000000,600.000000,10.000000,2.000000,120.000000,1391,489,23,70,729,80,9.242608,104.211338,929
330,2400.000000,600.000000,10.000000,2.000000,120.000000,1434,503,20,65,748,98,8.667608,106.932379,1007
345,2400.000000,600.000000,10.000000,2.000000,120.000000,1460,511,22,69,753,105,7.058710,102.112290,1048
360,2400.000000,600.000000,10.000000,2.000000,120.000000,1482,513,26,70,756,117,6.487675,106.663935,1117
375,2400.000000,600.000000,10.000000,2.000000,120.000000,1501,511,26,72,757,135,7.043466,107.616244,1105
390,2400.000000,600.000000,10.000000,2.000000,120.000000,1528,533,23,76,756,140,6.703732,107.614030,1129
405,2400.000000,600.000000,10.000000,2.000000,120.000000,1582,555,28,80,787,132,6.465950,102.383553,1194
420,2400.000000,600.000000,10.000000,2.000000,120.000000,1606,572,24,81,795,134,6.593959,110.179210,1229
435,2400.000000,600.000000,10.000000,2.000000,120.000000,1623,581,21,78,797,146,6.302666,99.024204,1228
