sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,4.000000,10,1.000000,0,0.000000,0,0,0,0.000000
15,D,25,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
15,F,31,4.000000,10,14.000000,0,0.000000,0,0,0,0.000000
30,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
30,F,31,4.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,F,31,4.000000,10,15.000000,0,0.000000,6,0,0,53.593183
60,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
60,F,31,4.000000,10,15.000000,1,240.000000,6,2,0,36.978576
75,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
75,F,31,4.000000,10,15.000000,0,0.000000,7,1,0,37.831773
90,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
90,F,31,4.000000,10,15.000000,1,240.000000,8,2,0,38.003177
105,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
105,F,31,4.000000,10,15.000000,1,240.000000,5,1,0,29.908068
120,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
120,F,31,4.000000,10,15.000000,0,0.000000,19,2,0,40.139211
135,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
135,F,31,4.000000,10,15.000000,0,0.000000,26,3,0,22.625506
150,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
150,F,31,4.000000,10,15.000000,0,0.000000,34,5,0,12.640962
165,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
165,F,31,4.000000,10,15.000000,0,0.000000,43,2,0,9.793120
180,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
180,F,31,4.000000,10,15.000000,2,480.000000,42,5,0,8.009933
195,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,51.292438
195,F,31,4.000000,10,15.000000,1,240.000000,42,2,0,9.553303
210,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
210,F,31,4.000000,10,15.000000,0,0.000000,43,5,0,10.299198
225,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
225,F,31,4.000000,10,15.000000,1,240.000000,47,2,0,7.482499
240,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
240,F,31,4.000000,10,15.000000,1,240.000000,47,3,0,5.315078
255,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
255,F,31,4.000000,10,15.000000,0,0.000000,48,1,0,8.473421
270,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
270,F,31,4.000000,10,15.000000,1,240.000000,48,5,0,6.636759
285,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
285,F,31,4.000000,10,15.000000,2,480.000000,45,3,0,7.596327
300,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
300,F,31,4.000000,10,15.000000,1,240.000000,47,5,0,6.970237
315,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
315,F,31,4.000000,10,15.000000,1,240.000000,47,2,0,9.224770
330,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
330,F,31,4.000000,10,15.000000,2,480.000000,49,4,0,6.990981
345,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
345,F,31,4.000000,10,15.000000,1,240.000000,46,2,0,9.841074
360,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
360,F,31,4.000000,10,15.000000,1,240.000000,47,5,0,8.900870
375,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
375,F,31,4.000000,10,15.000000,0,0.000000,48,2,0,8.334742
390,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
390,F,31,4.000000,10,15.000000,3,720.000000,51,5,1,7.620953
405,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
405,F,31,4.000000,10,15.000000,1,240.000000,49,3,0,7.794966
420,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
420,F,31,4.000000,10,15.000000,1,240.000000,52,5,1,7.329052
435,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
435,F,31,4.000000,10,15.000000,1,240.000000,49,3,0,8.874375
450,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
450,F,31,4.000000,10,15.000000,1,240.000000,51,5,0,6.736917
465,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
465,F,31,4.000000,10,15.000000,1,240.000000,52,2,1,7.402856
480,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
480,F,31,4.000000,10,15.000000,3,720.000000,51,4,0,6.950019
495,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
495,F,31,4.000000,10,15.000000,1,240.000000,49,3,0,7.687480
510,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
510,F,31,4.000000,10,15.000000,0,0.000000,54,5,0,4.871052
525,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
525,F,31,4.000000,10,15.000000,0,0.000000,53,2,0,7.053815
540,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
540,F,31,4.000000,10,15.000000,2,480.000000,53,4,1,5.696116
555,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
555,F,31,4.000000,10,15.000000,1,240.000000,49,2,1,7.653424
570,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
570,F,31,4.000000,10,15.000000,0,0.000000,48,5,0,8.037735
585,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
585,F,31,4.000000,10,15.000000,1,240.000000,50,2,0,8.026001
600,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
600,F,31,4.000000,10,15.000000,1,240.000000,49,5,0,8.185636
615,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
615,F,31,4.000000,10,15.000000,2,480.000000,51,3,1,6.347350
630,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
630,F,31,4.000000,10,15.000000,0,0.000000,52,5,0,7.197964
645,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
645,F,31,4.000000,10,15.000000,1,240.000000,52,2,0,7.442185
660,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
660,F,31,4.000000,10,15.000000,2,480.000000,52,5,0,7.486920
675,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
675,F,31,4.000000,10,15.000000,1,240.000000,53,2,0,7.473176
690,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
690,F,31,4.000000,10,15.000000,3,720.000000,52,5,0,7.775661
705,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
705,F,31,4.000000,10,15.000000,0,0.000000,51,2,0,7.103157
720,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
720,F,31,4.000000,10,15.000000,2,480.000000,51,5,0,6.186312
735,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
735,F,31,4.000000,10,15.000000,1,240.000000,50,2,0,6.882210
750,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
750,F,31,4.000000,10,15.000000,1,240.000000,51,5,0,5.991542
765,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
765,F,31,4.000000,10,15.000000,1,240.000000,47,3,0,9.405921
780,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
780,F,31,4.000000,10,15.000000,4,960.000000,48,4,1,7.200631
795,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
795,F,31,4.000000,10,15.000000,3,720.000000,48,3,1,7.940077
810,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
810,F,31,4.000000,10,15.000000,2,480.000000,47,5,1,8.424160
825,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
825,F,31,4.000000,10,15.000000,0,0.000000,49,2,0,6.833811
840,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
840,F,31,4.000000,10,15.000000,2,480.000000,49,3,0,6.815482
855,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
855,F,31,4.000000,10,15.000000,1,240.000000,50,2,0,7.302303
870,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
870,F,31,4.000000,10,15.000000,0,0.000000,51,4,0,6.734592
885,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
885,F,31,4.000000,10,15.000000,1,240.000000,49,2,0,8.610653
900,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
900,F,31,4.000000,10,15.000000,1,240.000000,47,5,0,7.851372
