sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,6,0,54.644834
15,15.000000,0,0.000000,0,72,0,54.447923
30,15.000000,3,720.000000,0,126,0,54.042518
45,15.000000,29,6960.000000,8,175,8,43.473005
60,15.000000,26,6240.000000,28,229,10,39.506189
75,15.000000,45,10800.000000,54,283,7,38.136207
90,15.000000,50,12000.000000,93,320,9,34.865676
105,15.000000,51,12240.000000,126,358,5,29.856073
120,15.000000,50,12000.000000,146,394,20,26.633582
135,15.000000,46,11040.000000,159,420,24,23.273173
150,15.000000,48,11520.000000,194,438,39,23.096746
165,15.000000,54,12960.000000,228,443,50,20.498178
180,15.000000,44,10560.000000,250,467,57,19.163190
195,15.000000,46,11040.000000,261,530,48,18.286759
210,15.000000,63,15120.000000,291,563,52,17.617299
225,15.000000,41,9840.000000,321,590,51,15.736775
240,15.000000,44,10560.000000,347,611,53,13.283241
255,15.000000,64,15360.000000,371,626,60,11.886798
270,15.000000,56,13440.000000,404,658,67,11.376555
285,15.000000,55,13200.000000,434,674,63,10.904833
300,15.000000,71,17040.000000,457,688,68,10.567580
315,15.000000,41,9840.000000,470,721,57,10.538967
330,15.000000,36,8640.000000,489,737,51,10.287413
345,15.000000,31,7440.000000,497,743,51,8.454580
360,15.000000,24,5760.000000,496,746,57,8.301359
375,15.000000,39,9360.000000,485,747,54,8.733798
390,15.000000,68,16320.000000,499,741,62,8.756187
405,15.000000,73,17520.000000,521,769,71,8.007286
420,15.000000,36,8640.000000,542,783,71,7.654583
435,15.000000,44,10560.000000,558,787,64,7.973166
450,15.000000,46,11040.000000,567,808,61,8.196088
465,15.000000,28,6720.000000,575,823,57,6.768484
480,15.000000,22,5280.000000,579,836,53,5.925161
495,15.000000,29,6960.000000,574,833,57,5.732438
510,15.000000,36,8640.000000,585,818,65,6.423277
525,15.000000,16,3840.000000,604,835,71,5.872142
540,15.000000,13,3120.000000,621,848,68,5.572978
555,15.000000,17,4080.000000,629,843,66,6.243464
570,15.000000,36,8640.000000,645,860,58,6.574939
585,15.000000,28,6720.000000,643,875,56,6.264816
600,15.000000,17,4080.000000,644,864,57,5.463174
615,15.000000,23,5520.000000,645,863,58,5.126201
630,15.000000,61,14640.000000,650,861,62,5.161678
645,15.000000,34,8160.000000,660,881,68,4.572041
660,15.000000,46,11040.000000,682,896,71,4.450478
675,15.000000,38,9120.000000,685,884,74,4.448562
690,15.000000,45,10800.000000,691,900,58,5.436357
705,15.000000,33,7920.000000,696,898,54,5.361658
720,15.000000,22,5280.000000,700,891,51,4.897036
735,15.000000,23,5520.000000,692,891,55,4.809320
750,15.000000,38,9120.000000,692,871,56,4.655426
765,15.000000,30,7200.000000,695,877,59,4.583802
780,15.000000,54,12960.000000,699,890,71,4.015218
795,15.000000,104,24960.000000,701,905,76,3.517628
810,15.000000,67,16080.000000,698,928,55,4.618274
825,15.000000,40,9600.000000,695,933,58,4.991332
840,15.000000,42,10080.000000,695,923,53,4.267597
855,15.000000,44,10560.000000,699,924,56,3.663321
870,15.000000,49,11760.000000,692,908,55,3.572651
885,15.000000,43,10320.000000,692,919,60,3.677433
900,15.000000,22,5280.000000,698,942,64,3.389560
