sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,1.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,1.000000,10,1.000000,0,0.000000,0,0,0,0.000000
15,D,25,1.000000,10,14.000000,0,0.000000,0,0,0,0.000000
15,F,31,1.000000,10,14.000000,0,0.000000,0,0,0,0.000000
30,D,25,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
30,F,31,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,D,25,1.000000,10,15.000000,0,0.000000,1,0,0,50.120121
45,F,31,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
60,D,25,1.000000,10,15.000000,0,0.000000,0,1,0,0.000000
60,F,31,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
75,D,25,1.000000,10,15.000000,1,240.000000,0,0,0,0.000000
75,F,31,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
90,D,25,1.000000,10,15.000000,0,0.000000,1,0,0,48.973946
90,F,31,1.000000,10,15.000000,0,0.000000,1,0,0,57.617775
105,D,25,1.000000,10,15.000000,1,240.000000,2,0,0,52.749746
105,F,31,1.000000,10,15.000000,0,0.000000,0,0,0,0.000000
120,D,25,1.000000,10,15.000000,1,240.000000,2,1,0,35.747639
120,F,31,1.000000,10,15.000000,0,0.000000,5,0,0,53.163047
135,D,25,1.000000,10,15.000000,2,480.000000,2,1,0,34.370959
135,F,31,1.000000,10,15.000000,0,0.000000,4,1,0,19.500604
150,D,25,1.000000,10,15.000000,1,240.000000,6,3,0,26.980263
150,F,31,1.000000,10,15.000000,0,0.000000,7,3,0,25.658996
165,D,25,1.000000,10,15.000000,1,240.000000,8,2,1,21.397954
165,F,31,1.000000,10,15.000000,0,0.000000,6,2,0,11.683109
180,D,25,1.000000,10,15.000000,0,0.000000,10,4,0,4.641521
180,F,31,1.000000,10,15.000000,0,0.000000,5,3,0,2.348144
195,D,25,1.000000,10,15.000000,3,720.000000,12,2,1,17.320372
195,F,31,1.000000,10,15.000000,1,240.000000,5,2,0,20.651596
210,D,25,1.000000,10,15.000000,1,240.000000,11,3,0,2.421797
210,F,31,1.000000,10,15.000000,0,0.000000,6,3,0,17.947208
225,D,25,1.000000,10,15.000000,1,240.000000,9,2,0,3.279600
225,F,31,1.000000,10,15.000000,0,0.000000,4,2,0,4.306785
240,D,25,1.000000,10,15.000000,1,240.000000,10,3,0,9.204211
240,F,31,1.000000,10,15.000000,0,0.000000,3,3,0,0.300449
255,D,25,1.000000,10,15.000000,1,240.000000,11,2,0,15.377042
255,F,31,1.000000,10,15.000000,0,0.000000,3,2,0,26.027251
270,D,25,1.000000,10,15.000000,1,240.000000,17,3,0,6.692319
270,F,31,1.000000,10,15.000000,0,0.000000,6,2,0,39.139741
285,D,25,1.000000,10,15.000000,1,240.000000,20,3,1,10.387167
285,F,31,1.000000,10,15.000000,0,0.000000,6,2,0,16.425174
300,D,25,1.000000,10,15.000000,1,240.000000,19,6,0,3.270061
300,F,31,1.000000,10,15.000000,0,0.000000,6,3,0,12.835656
315,D,25,1.000000,10,15.000000,2,480.000000,17,4,2,7.926781
315,F,31,1.000000,10,15.000000,0,0.000000,4,2,0,2.499528
330,D,25,1.000000,10,15.000000,3,720.000000,17,5,0,7.256118
330,F,31,1.000000,10,15.000000,0,0.000000,9,2,0,31.613076
345,D,25,1.000000,10,15.000000,2,480.000000,13,3,1,4.651930
345,F,31,1.000000,10,15.000000,0,0.000000,9,2,0,11.783128
360,D,25,1.000000,10,15.000000,2,480.000000,14,3,0,7.391532
360,F,31,1.000000,10,15.000000,0,0.000000,10,3,0,10.258511
375,D,25,1.000000,10,15.000000,2,480.000000,14,2,0,6.258742
375,F,31,1.000000,10,15.000000,0,0.000000,11,2,0,15.119123
390,D,25,1.000000,10,15.000000,0,0.000000,20,3,0,14.250054
390,F,31,1.000000,10,15.000000,0,0.000000,15,3,0,15.137893
405,D,25,1.000000,10,15.000000,2,480.000000,25,4,0,7.318029
405,F,31,1.000000,10,15.000000,0,0.000000,19,2,0,14.149036
420,D,25,1.000000,10,15.000000,3,720.000000,28,5,0,5.289156
420,F,31,1.000000,10,15.000000,0,0.000000,20,2,0,8.645963
435,D,25,1.000000,10,15.000000,1,240.000000,25,4,2,4.253462
435,F,31,1.000000,10,15.000000,0,0.000000,16,4,0,3.836234
450,D,25,1.000000,10,15.000000,1,240.000000,28,6,0,4.372619
450,F,31,1.000000,10,15.000000,0,0.000000,19,5,0,7.394760
465,D,25,1.000000,10,15.000000,3,720.000000,24,4,1,3.172591
465,F,31,1.000000,10,15.000000,0,0.000000,16,3,0,3.078914
480,D,25,1.000000,10,15.000000,0,0.000000,26,5,0,2.246681
480,F,31,1.000000,10,15.000000,0,0.000000,15,3,0,1.654939
495,D,25,1.000000,10,15.000000,2,480.000000,22,4,2,5.488311
495,F,31,1.000000,10,15.000000,1,240.000000,13,2,0,2.258682
510,D,25,1.000000,10,15.000000,1,240.000000,28,6,0,6.577958
510,F,31,1.000000,10,15.000000,0,0.000000,16,3,0,10.792378
525,D,25,1.000000,10,15.000000,4,960.000000,31,4,2,4.013481
525,F,31,1.000000,10,15.000000,0,0.000000,24,2,0,15.145315
540,D,25,1.000000,10,15.000000,0,0.000000,33,6,0,3.728265
540,F,31,1.000000,10,15.000000,0,0.000000,26,4,0,9.112567
555,D,25,1.000000,10,15.000000,3,720.000000,33,4,2,4.869696
555,F,31,1.000000,10,15.000000,0,0.000000,23,4,0,5.738130
570,D,25,1.000000,10,15.000000,1,240.000000,36,5,0,2.728382
570,F,31,1.000000,10,15.000000,0,0.000000,23,5,0,6.750472
585,D,25,1.000000,10,15.000000,2,480.000000,35,3,1,4.029370
585,F,31,1.000000,10,15.000000,1,240.000000,19,4,0,4.598786
600,D,25,1.000000,10,15.000000,2,480.000000,33,5,0,2.585939
600,F,31,1.000000,10,15.000000,2,480.000000,19,6,0,5.391057
615,D,25,1.000000,10,15.000000,0,0.000000,32,4,2,5.334123
615,F,31,1.000000,10,15.000000,0,0.000000,19,4,0,8.012166
630,D,25,1.000000,10,15.000000,2,480.000000,37,6,0,3.797798
630,F,31,1.000000,10,15.000000,1,240.000000,24,5,0,10.599042
645,D,25,1.000000,10,15.000000,4,960.000000,38,4,1,3.259742
645,F,31,1.000000,10,15.000000,0,0.000000,30,2,0,10.952566
660,D,25,1.000000,10,15.000000,2,480.000000,39,5,0,2.477225
660,F,31,1.000000,10,15.000000,1,240.000000,38,5,0,10.774064
675,D,25,1.000000,10,15.000000,4,960.000000,37,3,1,3.562102
675,F,31,1.000000,10,15.000000,1,240.000000,35,4,0,6.016470
690,D,25,1.000000,10,15.000000,2,480.000000,39,6,0,2.815575
690,F,31,1.000000,10,15.000000,0,0.000000,34,6,0,5.907358
705,D,25,1.000000,10,15.000000,3,720.000000,40,4,2,3.926954
705,F,31,1.000000,10,15.000000,0,0.000000,31,4,0,4.348239
720,D,25,1.000000,10,15.000000,1,240.000000,40,6,0,3.249431
720,F,31,1.000000,10,15.000000,0,0.000000,32,6,0,6.355874
735,D,25,1.000000,10,15.000000,1,240.000000,40,4,2,3.917622
735,F,31,1.000000,10,15.000000,0,0.000000,28,4,0,3.387025
750,D,25,1.000000,10,15.000000,0,0.000000,41,6,0,2.636623
750,F,31,1.000000,10,15.000000,1,240.000000,32,6,0,10.365114
765,D,25,1.000000,10,15.000000,3,720.000000,39,4,1,3.287292
765,F,31,1.000000,10,15.000000,0,0.000000,32,4,0,6.686554
780,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,3.401766
780,F,31,1.000000,10,15.000000,1,240.000000,33,6,0,5.293578
795,D,25,1.000000,10,15.000000,1,240.000000,41,4,1,3.002528
795,F,31,1.000000,10,15.000000,1,240.000000,29,4,0,3.549181
810,D,25,1.000000,10,15.000000,2,480.000000,40,6,0,3.238354
810,F,31,1.000000,10,15.000000,2,480.000000,29,6,0,5.917983
825,D,25,1.000000,10,15.000000,2,480.000000,41,4,1,2.818273
825,F,31,1.000000,10,15.000000,0,0.000000,27,4,0,6.466905
840,D,25,1.000000,10,15.000000,1,240.000000,40,6,0,2.668684
840,F,31,1.000000,10,15.000000,0,0.000000,26,6,0,3.417252
855,D,25,1.000000,10,15.000000,2,480.000000,39,4,1,3.454194
855,F,31,1.000000,10,15.000000,0,0.000000,26,4,0,6.136089
870,D,25,1.000000,10,15.000000,2,480.000000,39,5,0,2.925868
870,F,31,1.000000,10,15.000000,0,0.000000,29,6,0,10.305834
885,D,25,1.000000,10,15.000000,4,960.000000,39,4,1,3.606546
885,F,31,1.000000,10,15.000000,0,0.000000,33,4,0,12.072387
900,D,25,1.000000,10,15.000000,1,240.000000,40,6,0,2.879558
900,F,31,1.000000,10,15.000000,1,240.000000,38,5,0,8.998793
