sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,1200.000000,600.000000,1.000000,1.000000,120.000000,3,0,1,0,2,0,53.655251,58.153997,0
15,1200.000000,600.000000,1.000000,1.000000,120.000000,34,0,3,0,31,0,57.074194,103.451284,0
30,1200.000000,600.000000,1.000000,1.000000,120.000000,85,0,5,0,78,2,57.220383,108.811285,0
45,1200.000000,600.000000,1.000000,1.000000,120.000000,134,10,15,3,101,5,55.326558,92.392013,4
60,1200.000000,600.000000,1.000000,1.000000,120.000000,180,26,18,9,118,9,48.883600,113.371778,25
75,1200.000000,600.000000,1.000000,1.000000,120.000000,226,47,21,2,139,17,49.136134,115.956294,23
90,1200.000000,600.000000,1.000000,1.000000,120.000000,270,77,25,1,154,13,46.757025,111.072055,49
105,1200.000000,600.000000,1.000000,1.000000,120.000000,302,88,27,2,171,14,39.380718,105.260779,97
120,1200.000000,600.000000,1.000000,1.000000,120.000000,330,102,32,5,181,10,32.647101,109.866872,147
135,1200.000000,600.000000,1.000000,1.000000,120.000000,348,96,31,7,169,45,41.684379,113.015481,65
150,1200.000000,600.000000,1.000000,1.000000,120.000000,371,136,31,17,150,37,48.831003,111.003310,45
165,1200.000000,600.000000,1.000000,1.000000,120.000000,395,176,31,20,148,20,45.723104,115.129108,75
180,1200.000000,600.000000,1.000000,1.000000,120.000000,398,168,27,23,147,33,39.898819,109.680414,114
195,1200.000000,600.000000,1.000000,1.000000,120.000000,421,155,22,19,167,58,44.175991,111.301935,57
210,1200.000000,600.000000,1.000000,1.000000,120.000000,439,187,23,20,181,28,45.479431,113.964602,79
225,1200.000000,600.000000,1.000000,1.000000,120.000000,435,208,25,19,164,19,37.858003,110.646820,130
240,1200.000000,600.000000,1.000000,1.000000,120.000000,421,215,24,18,151,13,29.166902,117.009056,205
255,1200.000000,600.000000,1.000000,1.000000,120.000000,431,193,27,18,139,54,33.722933,107.759817,110
270,1200.000000,600.000000,1.000000,1.000000,120.000000,449,200,25,33,150,41,45.001239,111.447304,59
285,1200.000000,600.000000,1.000000,1.000000,120.000000,464,198,21,43,174,28,43.317582,113.035990,57
300,1200.000000,600.000000,1.000000,1.000000,120.000000,456,190,22,43,169,32,39.190989,112.114912,108
315,1200.000000,600.000000,1.000000,1.000000,120.000000,458,189,23,31,160,55,40.009744,113.051185,80
330,1200.000000,600.000000,1.000000,1.000000,120.000000,477,210,31,32,175,29,41.669807,104.922745,106
345,1200.000000,600.000000,1.000000,1.000000,120.000000,487,220,31,28,191,17,34.833535,110.176393,176
360,1200.000000,600.000000,1.000000,1.000000,120.000000,482,228,27,30,181,16,26.923350,118.227890,243
375,1200.000000,600.000000,1.000000,1.000000,120.000000,500,197,19,34,187,63,28.600139,106.792921,163
390,1200.000000,600.000000,1.000000,1.000000,120.000000,530,208,20,53,201,48,38.854641,107.801270,77
405,1200.000000,600.000000,1.000000,1.000000,120.000000,557,218,23,65,216,35,42.122660,105.922263,88
420,1200.000000,600.000000,1.000000,1.000000,120.000000,553,221,26,63,206,37,37.353860,113.672824,144
435,1200.000000,600.000000,1.000000,1.000000,120.000000,553,223,29,50,199,52,35.568402,108.379550,107
450,1200.000000,600.000000,1.000000,1.000000,120.000000,565,237,32,51,205,40,38.995939,108.214934,127
465,1200.000000,600.000000,1.000000,1.000000,120.000000,574,255,32,47,203,37,37.177522,112.295581,164
480,1200.000000,600.000000,1.000000,1.000000,120.000000,578,265,30,41,209,33,30.295022,107.261889,244
495,1200.000000,600.000000,1.000000,1.000000,120.000000,575,247,29,42,193,64,27.162295,104.794557,213
510,1200.000000,600.000000,1.000000,1.000000,120.000000,586,242,33,57,198,56,37.004918,104.869524,133
525,1200.000000,600.000000,1.000000,1.000000,120.000000,615,224,31,71,240,49,41.546669,103.771472,84
540,1200.000000,600.000000,1.000000,1.000000,120.000000,584,240,25,72,202,45,38.297220,113.312151,124
555,1200.000000,600.000000,1.000000,1.000000,120.000000,567,229,26,69,187,56,34.453839,98.562713,118
570,1200.000000,600.000000,1.000000,1.000000,120.000000,569,252,30,66,174,47,36.744281,102.983626,147
585,1200.000000,600.000000,1.000000,1.000000,120.000000,580,265,30,62,189,34,33.893096,103.431996,199
600,1200.000000,600.000000,1.000000,1.000000,120.000000,602,271,29,57,213,32,28.080362,106.034598,273
615,1200.000000,600.000000,1.000000,1.000000,120.000000,610,267,37,52,202,52,24.738796,103.782534,269
630,1200.000000,600.000000,1.000000,1.000000,120.000000,624,261,35,64,204,60,34.244508,109.330800,161
645,1200.000000,600.000000,1.000000,1.000000,120.000000,650,257,37,77,224,55,39.449796,103.573382,128
660,1200.000000,600.000000,1.000000,1.000000,120.000000,640,255,37,82,218,48,37.521304,109.954709,154
675,1200.000000,600.000000,1.000000,1.000000,120.000000,633,260,44,77,207,45,34.671252,99.904592,138
690,1200.000000,600.000000,1.000000,1.000000,120.000000,634,267,48,65,205,49,38.144178,104.686043,153
705,1200.000000,600.000000,1.000000,1.000000,120.000000,639,274,44,61,220,40,35.499202,107.424837,211
720,1200.000000,600.000000,1.000000,1.000000,120.000000,641,284,41,61,219,36,30.283092,111.335593,278
735,1200.000000,600.000000,1.000000,1.000000,120.000000,620,296,37,56,193,38,23.636064,105.356718,302
750,1200.000000,600.000000,1.000000,1.000000,120.000000,632,274,35,60,193,70,32.957236,103.453238,165
765,1200.000000,600.000000,1.000000,1.000000,120.000000,654,279,39,72,212,52,38.899462,98.411850,114
780,1200.000000,600.000000,1.000000,1.000000,120.000000,635,283,31,80,195,46,36.999825,99.889504,127
795,1200.000000,600.000000,1.000000,1.000000,120.000000,619,303,29,80,183,24,33.236360,107.320246,138
810,1200.000000,600.000000,1.000000,1.000000,120.000000,626,299,28,69,186,44,34.469982,109.581451,140
825,1200.000000,600.000000,1.000000,1.000000,120.000000,629,296,28,66,203,36,31.794177,108.699601,200
840,1200.000000,600.000000,1.000000,1.000000,120.000000,643,301,29,62,224,27,27.128118,102.056993,291
