sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,2,0,53.655251
15,15.000000,0,0.000000,0,31,0,57.074194
30,15.000000,0,0.000000,0,78,0,57.220383
45,15.000000,22,5280.000000,10,101,3,55.326558
60,15.000000,33,7920.000000,26,118,9,48.883385
75,15.000000,40,9600.000000,47,139,2,49.136060
90,15.000000,27,6480.000000,77,154,1,46.756948
105,15.000000,23,5520.000000,88,171,2,39.380650
120,15.000000,34,8160.000000,102,181,5,32.653800
135,15.000000,73,17520.000000,96,169,6,41.853976
150,15.000000,76,18240.000000,136,150,16,49.035007
165,15.000000,18,4320.000000,176,148,19,45.921327
180,15.000000,17,4080.000000,168,147,23,39.918765
195,15.000000,56,13440.000000,155,167,20,43.950926
210,15.000000,44,10560.000000,187,181,20,45.427247
225,15.000000,19,4560.000000,208,164,19,37.959532
240,15.000000,16,3840.000000,215,151,18,29.146463
255,15.000000,34,8160.000000,193,139,18,33.827373
270,15.000000,90,21600.000000,200,150,33,45.180907
285,15.000000,59,14160.000000,199,174,43,43.552463
300,15.000000,16,3840.000000,188,170,43,39.135741
315,15.000000,22,5280.000000,188,160,31,40.247067
330,15.000000,37,8880.000000,209,174,32,41.232922
345,15.000000,26,6240.000000,220,191,28,34.844073
360,15.000000,24,5760.000000,228,183,30,27.382946
375,15.000000,42,10080.000000,200,186,34,28.230749
390,15.000000,99,23760.000000,204,202,52,39.733140
405,15.000000,75,18000.000000,212,223,64,42.739874
420,15.000000,24,5760.000000,216,210,62,37.169436
435,15.000000,13,3120.000000,220,197,48,35.789506
450,15.000000,49,11760.000000,235,205,49,38.935215
465,15.000000,23,5520.000000,254,205,45,37.068356
480,15.000000,17,4080.000000,262,208,39,30.598060
495,15.000000,23,5520.000000,245,195,39,27.280592
510,15.000000,65,15600.000000,237,201,54,37.617574
525,15.000000,50,12000.000000,222,239,69,41.544429
540,15.000000,19,4560.000000,241,195,70,38.913810
555,15.000000,8,1920.000000,228,189,66,34.691086
570,15.000000,33,7920.000000,250,181,63,37.287547
585,15.000000,33,7920.000000,267,191,60,34.387081
600,15.000000,22,5280.000000,274,207,55,28.512619
615,15.000000,49,11760.000000,267,201,50,24.691713
630,15.000000,64,15360.000000,255,207,64,35.408357
645,15.000000,73,17520.000000,254,227,79,39.039461
660,15.000000,32,7680.000000,265,213,80,36.367488
675,15.000000,24,5760.000000,262,202,75,34.131800
690,15.000000,45,10800.000000,267,208,64,37.346110
705,15.000000,37,8880.000000,274,226,59,35.799025
720,15.000000,33,7920.000000,281,224,58,30.410100
735,15.000000,45,10800.000000,299,191,54,23.428921
750,15.000000,43,10320.000000,280,188,58,31.695727
765,15.000000,72,17280.000000,276,217,72,38.113609
780,15.000000,14,3360.000000,284,200,74,36.758031
795,15.000000,18,4320.000000,297,198,74,32.777694
810,15.000000,73,17520.000000,301,198,63,34.581513
825,15.000000,64,15360.000000,302,202,59,29.721614
840,15.000000,72,17280.000000,306,223,55,27.200019
855,15.000000,58,13920.000000,317,215,52,20.970815
870,15.000000,42,10080.000000,293,195,56,27.014285
885,15.000000,73,17520.000000,311,190,66,36.691691
900,15.000000,47,11280.000000,311,191,78,35.626930
