sim_sec,site,link,green_sec,cycle_sec,interval_sec,passage_count,release_rate_vph,queue_count,presence_count,downstream_count,mean_speed_kph
1,D,25,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
1,F,31,10.000000,10,1.000000,0,0.000000,0,0,0,0.000000
15,D,25,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
15,F,31,10.000000,10,14.000000,0,0.000000,0,0,0,0.000000
30,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
30,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
45,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,47.789598
45,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
60,D,25,10.000000,10,15.000000,1,240.000000,1,1,0,49.481965
60,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
75,D,25,10.000000,10,15.000000,1,240.000000,0,0,0,0.000000
75,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
90,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,50.522489
90,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,46.609771
105,D,25,10.000000,10,15.000000,2,480.000000,4,1,0,51.956911
105,F,31,10.000000,10,15.000000,0,0.000000,1,0,0,53.814026
120,D,25,10.000000,10,15.000000,4,960.000000,3,0,0,49.086877
120,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,52.642556
135,D,25,10.000000,10,15.000000,2,480.000000,5,0,0,51.737943
135,F,31,10.000000,10,15.000000,0,0.000000,2,1,0,50.959024
150,D,25,10.000000,10,15.000000,4,960.000000,3,1,1,49.819973
150,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
165,D,25,10.000000,10,15.000000,1,240.000000,4,0,0,50.069884
165,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,51.658229
180,D,25,10.000000,10,15.000000,2,480.000000,0,0,0,0.000000
180,F,31,10.000000,10,15.000000,1,240.000000,5,0,0,52.750290
195,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
195,F,31,10.000000,10,15.000000,0,0.000000,2,0,0,48.354286
210,D,25,10.000000,10,15.000000,0,0.000000,6,0,0,48.775399
210,F,31,10.000000,10,15.000000,0,0.000000,3,0,0,56.120739
225,D,25,10.000000,10,15.000000,4,960.000000,6,0,0,52.415982
225,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,51.814772
240,D,25,10.000000,10,15.000000,5,1200.000000,3,0,0,54.224568
240,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,45.478758
255,D,25,10.000000,10,15.000000,0,0.000000,2,0,0,53.205570
255,F,31,10.000000,10,15.000000,0,0.000000,3,0,0,52.094360
270,D,25,10.000000,10,15.000000,0,0.000000,1,0,1,28.079916
270,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,49.793235
285,D,25,10.000000,10,15.000000,0,0.000000,1,0,0,50.844344
285,F,31,10.000000,10,15.000000,0,0.000000,2,0,0,50.717603
300,D,25,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
300,F,31,10.000000,10,15.000000,0,0.000000,0,0,0,0.000000
315,D,25,10.000000,10,15.000000,0,0.000000,5,1,0,50.425267
315,F,31,10.000000,10,15.000000,0,0.000000,5,0,0,54.385827
330,D,25,10.000000,10,15.000000,7,1680.000000,5,0,0,53.190205
330,F,31,10.000000,10,15.000000,0,0.000000,6,0,0,49.008831
345,D,25,10.000000,10,15.000000,0,0.000000,4,0,0,53.384345
345,F,31,10.000000,10,15.000000,0,0.000000,4,0,0,55.000297
