sim_sec,interval_sec,total_signal_discharge,total_signal_discharge_rate_vph,urban_vehicles,boundary_vehicles,ramp_vehicles,mean_speed_kph
1,1.000000,0,0.000000,0,4,0,53.253911
15,15.000000,0,0.000000,0,97,0,53.332524
30,15.000000,0,0.000000,0,196,0,52.972802
45,15.000000,55,13200.000000,19,250,5,46.536539
60,15.000000,32,7680.000000,46,292,3,35.336446
75,15.000000,43,10320.000000,77,338,0,34.412664
90,15.000000,36,8640.000000,108,380,1,31.294416
105,15.000000,33,7920.000000,134,407,3,27.069574
120,15.000000,40,9600.000000,156,451,7,24.440248
135,15.000000,78,18720.000000,152,506,9,27.489644
150,15.000000,85,20400.000000,174,574,13,29.673475
165,15.000000,58,13920.000000,211,608,16,27.700242
180,15.000000,32,7680.000000,213,667,7,23.330381
195,15.000000,46,11040.000000,225,693,10,23.135096
210,15.000000,36,8640.000000,250,687,0,20.987625
225,15.000000,35,8400.000000,270,664,5,17.700648
240,15.000000,20,4800.000000,298,649,5,15.412064
255,15.000000,73,17520.000000,282,669,9,17.341416
270,15.000000,130,31200.000000,295,703,17,23.122745
285,15.000000,64,15360.000000,307,728,23,23.418222
300,15.000000,20,4800.000000,313,740,9,20.325735
315,15.000000,37,8880.000000,321,753,6,19.883432
330,15.000000,51,12240.000000,328,735,5,18.645263
345,15.000000,30,7200.000000,351,709,3,17.607077
360,15.000000,35,8400.000000,378,667,3,14.631998
375,15.000000,61,14640.000000,375,665,5,14.188235
390,15.000000,113,27120.000000,369,706,26,18.748836
405,15.000000,114,27360.000000,385,742,23,20.595068
420,15.000000,44,10560.000000,391,757,12,18.613717
435,15.000000,32,7680.000000,388,766,6,18.492089
450,15.000000,37,8880.000000,381,750,6,16.595399
465,15.000000,47,11280.000000,417,734,2,14.937622
480,15.000000,26,6240.000000,446,704,0,12.364462
495,15.000000,34,8160.000000,435,675,5,12.168445
510,15.000000,101,24240.000000,416,698,25,17.294686
525,15.000000,98,23520.000000,416,746,31,19.077822
540,15.000000,39,9360.000000,429,769,26,16.933970
555,15.000000,64,15360.000000,421,777,18,16.758664
570,15.000000,62,14880.000000,420,787,7,15.501781
585,15.000000,51,12240.000000,439,781,4,14.184023
600,15.000000,46,11040.000000,458,747,3,12.751232
615,15.000000,42,10080.000000,453,710,3,12.268502
630,15.000000,81,19440.000000,438,710,22,16.930806
645,15.000000,99,23760.000000,449,747,31,18.786185
660,15.000000,53,12720.000000,482,760,22,17.005338
675,15.000000,49,11760.000000,472,765,7,16.379816
690,15.000000,41,9840.000000,473,785,2,15.942185
705,15.000000,45,10800.000000,494,784,3,15.098452
720,15.000000,47,11280.000000,509,740,6,12.681634
735,15.000000,49,11760.000000,520,712,4,10.174064
750,15.000000,118,28320.000000,472,729,14,14.107478
765,15.000000,136,32640.000000,461,768,20,17.579746
780,15.000000,84,20160.000000,479,784,23,17.401729
795,15.000000,57,13680.000000,493,797,8,15.543669
810,15.000000,50,12000.000000,483,800,4,14.492465
825,15.000000,51,12240.000000,503,802,3,12.526644
840,15.000000,45,10800.000000,498,775,4,9.826146
855,15.000000,63,15120.000000,499,753,1,7.909386
870,15.000000,95,22800.000000,464,752,13,11.843755
885,15.000000,98,23520.000000,449,784,20,15.460338
900,15.000000,73,17520.000000,451,799,19,16.300662
