sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,3000.000000,600.000000,10.000000,10.000000,120.000000,7,0,1,0,6,0,54.644834,55.611930,0
15,3000.000000,600.000000,10.000000,10.000000,120.000000,83,0,4,0,79,0,53.519394,93.051274,0
30,3000.000000,600.000000,10.000000,10.000000,120.000000,167,0,11,0,155,1,52.327494,92.066680,0
45,3000.000000,600.000000,10.000000,10.000000,120.000000,262,13,14,2,222,11,43.841593,111.027703,31
60,3000.000000,600.000000,10.000000,10.000000,120.000000,373,41,13,5,303,11,39.465931,120.866763,69
75,3000.000000,600.000000,10.000000,10.000000,120.000000,474,67,15,1,373,18,34.733398,112.132317,102
90,3000.000000,600.000000,10.000000,10.000000,120.000000,564,100,18,4,424,18,28.619340,113.546422,167
105,3000.000000,600.000000,10.000000,10.000000,120.000000,649,134,23,2,465,25,26.826933,108.838048,241
120,3000.000000,600.000000,10.000000,10.000000,120.000000,728,154,19,9,524,22,21.559119,107.266081,344
135,3000.000000,600.000000,10.000000,10.000000,120.000000,789,148,22,8,557,54,23.378686,110.899189,314
150,3000.000000,600.000000,10.000000,10.000000,120.000000,857,187,18,11,588,53,26.845684,113.798766,324
165,3000.000000,600.000000,10.000000,10.000000,120.000000,924,228,23,13,624,36,25.254262,99.651382,374
180,3000.000000,600.000000,10.000000,10.000000,120.000000,963,248,23,11,621,60,23.459617,105.075449,421
195,3000.000000,600.000000,10.000000,10.000000,120.000000,1021,257,29,8,677,50,22.629656,105.775712,449
210,3000.000000,600.000000,10.000000,10.000000,120.000000,1054,262,27,8,713,44,20.435409,103.333407,501
225,3000.000000,600.000000,10.000000,10.000000,120.000000,1062,283,30,3,710,36,19.813129,106.744181,568
240,3000.000000,600.000000,10.000000,10.000000,120.000000,1025,310,27,3,656,29,17.214616,113.856044,604
255,3000.000000,600.000000,10.000000,10.000000,120.000000,1049,299,23,7,659,61,18.220282,111.517228,531
270,3000.000000,600.000000,10.000000,10.000000,120.000000,1098,309,24,18,697,50,22.877236,106.498788,473
285,3000.000000,600.000000,10.000000,10.000000,120.000000,1147,308,26,17,737,59,24.323412,110.248511,474
300,3000.000000,600.000000,10.000000,10.000000,120.000000,1143,327,20,20,714,62,23.144007,101.318034,514
315,3000.000000,600.000000,10.000000,10.000000,120.000000,1139,332,30,8,698,71,21.509515,100.725462,514
330,3000.000000,600.000000,10.000000,10.000000,120.000000,1148,334,38,8,719,49,21.747679,103.829641,541
345,3000.000000,600.000000,10.000000,10.000000,120.000000,1156,344,36,5,723,48,19.539422,103.366800,616
360,3000.000000,600.000000,10.000000,10.000000,120.000000,1147,359,38,4,712,34,17.906914,106.333598,654
375,3000.000000,600.000000,10.000000,10.000000,120.000000,1135,335,45,6,678,71,18.754714,108.890741,602
390,3000.000000,600.000000,10.000000,10.000000,120.000000,1159,333,40,20,706,60,23.125825,107.648051,530
405,3000.000000,600.000000,10.000000,10.000000,120.000000,1201,349,38,26,733,55,24.757140,103.201867,502
420,3000.000000,600.000000,10.000000,10.000000,120.000000,1204,354,32,22,722,74,22.952945,111.470686,539
435,3000.000000,600.000000,10.000000,10.000000,120.000000,1201,356,39,10,708,88,21.072858,99.883971,555
450,3000.000000,600.000000,10.000000,10.000000,120.000000,1213,358,42,11,737,65,20.992865,102.398737,576
465,3000.000000,600.000000,10.000000,10.000000,120.000000,1201,362,42,4,726,67,19.761612,98.477602,618
480,3000.000000,600.000000,10.000000,10.000000,120.000000,1193,377,53,4,720,39,18.623498,96.792942,698
495,3000.000000,600.000000,10.000000,10.000000,120.000000,1174,364,44,8,696,62,17.190401,105.435132,664
510,3000.000000,600.000000,10.000000,10.000000,120.000000,1186,356,33,21,719,57,20.040103,106.489019,593
525,3000.000000,600.000000,10.000000,10.000000,120.000000,1239,359,30,34,760,56,21.602390,99.221450,591
540,3000.000000,600.000000,10.000000,10.000000,120.000000,1250,368,28,28,746,80,21.580333,109.886683,605
555,3000.000000,600.000000,10.000000,10.000000,120.000000,1245,376,40,11,726,92,20.387993,99.664526,610
570,3000.000000,600.000000,10.000000,10.000000,120.000000,1245,386,46,13,731,69,21.599334,101.055514,602
585,3000.000000,600.000000,10.000000,10.000000,120.000000,1243,386,48,5,743,61,18.878628,100.892311,656
600,3000.000000,600.000000,10.000000,10.000000,120.000000,1232,408,53,6,726,39,17.241662,104.527887,718
615,3000.000000,600.000000,10.000000,10.000000,120.000000,1201,402,43,7,696,53,15.447821,104.504805,717
630,3000.000000,600.000000,10.000000,10.000000,120.000000,1218,387,35,21,718,57,19.528269,105.287925,635
645,3000.000000,600.000000,10.000000,10.000000,120.000000,1253,403,31,25,737,57,20.869255,107.027090,611
660,3000.000000,600.000000,10.000000,10.000000,120.000000,1257,408,25,26,728,70,20.556799,106.890796,638
675,3000.000000,600.000000,10.000000,10.000000,120.000000,1254,419,29,18,721,67,19.399397,102.625771,630
690,3000.000000,600.000000,10.000000,10.000000,120.000000,1269,407,43,10,744,65,20.310576,96.137303,634
705,3000.000000,600.000000,10.000000,10.000000,120.000000,1262,412,51,9,734,56,18.656680,96.368424,682
720,3000.000000,600.000000,10.000000,10.000000,120.000000,1245,423,52,2,724,44,16.690846,102.475071,746
735,3000.000000,600.000000,10.000000,10.000000,120.000000,1211,422,47,5,688,49,14.667639,106.936397,740
750,3000.000000,600.000000,10.000000,10.000000,120.000000,1216,392,43,11,699,71,18.429782,108.458353,624
765,3000.000000,600.000000,10.000000,10.000000,120.000000,1253,405,35,14,730,69,20.369314,114.401187,596
780,3000.000000,600.000000,10.000000,10.000000,120.000000,1277,410,27,19,738,83,19.904636,112.083341,618
795,3000.000000,600.000000,10.000000,10.000000,120.000000,1292,444,31,20,750,47,17.765868,104.796406,656
810,3000.000000,600.000000,10.000000,10.000000,120.000000,1282,440,28,14,743,57,17.622792,101.716257,677
825,3000.000000,600.000000,10.000000,10.000000,120.000000,1270,435,27,10,734,64,15.637647,101.319388,742
840,3000.000000,600.000000,10.000000,10.000000,120.000000,1275,441,28,1,741,64,14.035836,100.394747,797
