sim_sec,controller_mode,segment_id,dsd_no,link,lane,set_speed_kph,car_read_kph,hgv_read_kph,bus_read_kph
0,COM_VSL_SEGMENT_STEP_TEST,EB_S0_W_ENTRY_TO_D_DIVERGE,1,33,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S0_W_ENTRY_TO_D_DIVERGE,2,33,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S1_D_DIVERGE_TO_D_MERGE,3,33,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S1_D_DIVERGE_TO_D_MERGE,4,33,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S2_D_MERGE_TO_F_DIVERGE,5,33,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S2_D_MERGE_TO_F_DIVERGE,6,33,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S3_F_DIVERGE_TO_F_MERGE,7,33,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S3_F_DIVERGE_TO_F_MERGE,8,33,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S4_F_MERGE_TO_E_EXIT,9,33,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,EB_S4_F_MERGE_TO_E_EXIT,10,33,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S0_E_ENTRY_TO_F_DIVERGE,11,34,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S0_E_ENTRY_TO_F_DIVERGE,12,34,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S1_F_DIVERGE_TO_F_MERGE,13,34,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S1_F_DIVERGE_TO_F_MERGE,14,34,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S2_F_MERGE_TO_D_DIVERGE,15,34,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S2_F_MERGE_TO_D_DIVERGE,16,34,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S3_D_DIVERGE_TO_D_MERGE,17,34,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S3_D_DIVERGE_TO_D_MERGE,18,34,2,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S4_D_MERGE_TO_W_EXIT,19,34,1,120,120,120,120
0,COM_VSL_SEGMENT_STEP_TEST,WB_S4_D_MERGE_TO_W_EXIT,20,34,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S0_W_ENTRY_TO_D_DIVERGE,1,33,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S0_W_ENTRY_TO_D_DIVERGE,2,33,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S1_D_DIVERGE_TO_D_MERGE,3,33,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S1_D_DIVERGE_TO_D_MERGE,4,33,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S2_D_MERGE_TO_F_DIVERGE,5,33,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S2_D_MERGE_TO_F_DIVERGE,6,33,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S3_F_DIVERGE_TO_F_MERGE,7,33,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S3_F_DIVERGE_TO_F_MERGE,8,33,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S4_F_MERGE_TO_E_EXIT,9,33,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,EB_S4_F_MERGE_TO_E_EXIT,10,33,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S0_E_ENTRY_TO_F_DIVERGE,11,34,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S0_E_ENTRY_TO_F_DIVERGE,12,34,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S1_F_DIVERGE_TO_F_MERGE,13,34,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S1_F_DIVERGE_TO_F_MERGE,14,34,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S2_F_MERGE_TO_D_DIVERGE,15,34,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S2_F_MERGE_TO_D_DIVERGE,16,34,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S3_D_DIVERGE_TO_D_MERGE,17,34,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S3_D_DIVERGE_TO_D_MERGE,18,34,2,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S4_D_MERGE_TO_W_EXIT,19,34,1,120,120,120,120
5,COM_VSL_SEGMENT_STEP_TEST,WB_S4_D_MERGE_TO_W_EXIT,20,34,2,120,120,120,120
10,COM_VSL_SEGMENT_STEP_TEST,EB_S0_W_ENTRY_TO_D_DIVERGE,1,33,1,120,120,120,120
10,COM_VSL_SEGMENT_STEP_TEST,EB_S0_W_ENTRY_TO_D_DIVERGE,2,33,2,120,120,120,120
10,COM_VSL_SEGMENT_STEP_TEST,EB_S1_D_DIVERGE_TO_D_MERGE,3,33,1,120,120,120,120
10,COM_VSL_SEGMENT_STEP_TEST,EB_S1_D_DIVERGE_TO_D_MERGE,4,33,2,120,120,120,120
10,COM_VSL_SEGMENT_STEP_TEST,EB_S2_D_MERGE_TO_F_DIVERGE,5,33,1,120,120,120,120
