sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,vsl_profile,weave_limit_kph,nonweave_limit_kph
1,0,0,0,0,0,0,0.000,0.000,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
5,3,0,2,0,1,0,61.905,65.162,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
10,9,0,6,0,3,0,67.849,73.336,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
15,10,0,7,0,3,0,80.451,91.481,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
20,12,0,8,0,4,0,84.783,100.272,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
25,15,0,11,0,4,0,88.624,101.120,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
30,16,0,12,0,4,0,92.011,107.443,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
35,19,0,14,0,4,1,94.894,105.018,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
40,24,1,18,0,2,3,92.280,101.556,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
45,30,3,20,0,5,2,90.549,102.844,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
50,32,3,22,0,5,2,94.699,108.327,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
55,33,3,23,0,4,3,99.282,113.689,0,COM_VSL_SEGMENT_STEP_TEST,FREE_FLOW,120,120
60,38,4,28,1,4,1,97.436,108.948,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
65,41,5,28,0,4,4,96.670,106.033,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
70,44,4,30,0,4,6,95.831,104.898,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
75,45,5,30,3,2,5,94.499,102.493,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
80,52,7,36,3,4,2,89.530,94.602,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
85,54,8,38,2,4,2,90.174,95.348,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
90,56,8,38,1,5,4,91.082,96.078,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
95,58,7,39,0,5,7,91.674,97.962,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
100,63,6,42,1,6,8,88.779,93.957,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
105,61,9,41,1,4,6,89.887,95.267,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
110,56,6,33,1,4,12,91.162,97.719,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
115,60,10,34,2,4,10,90.202,93.688,0,COM_VSL_SEGMENT_STEP_TEST,MODERATE,80,100
120,63,9,36,4,7,7,91.152,97.227,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
125,66,9,36,3,9,9,88.876,94.268,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
130,66,10,38,2,7,9,88.332,93.902,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
135,69,12,40,1,10,6,84.361,86.192,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
140,71,11,43,5,9,3,82.341,82.399,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
145,69,9,43,1,11,5,79.461,78.776,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
150,71,6,47,0,11,7,75.577,75.420,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
155,78,8,53,2,12,3,74.556,74.495,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
160,80,9,52,2,13,4,75.822,77.258,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
165,80,9,54,2,11,4,74.601,77.503,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
170,83,11,56,1,9,6,73.499,76.489,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
175,87,9,57,2,10,9,74.126,77.113,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
180,90,8,58,2,11,11,73.553,75.909,0,COM_VSL_SEGMENT_STEP_TEST,RESTRICTIVE,60,80
