sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,5,0,1,0,4,0,55.123474,55.611930,0,VISSIM_ADAPTER_PFO,ok,19.890392
5,25,0,8,0,17,0,57.575242,63.063146,0,VISSIM_ADAPTER_PFO,ok,19.890392
10,51,0,16,0,35,0,60.221962,75.734163,0,VISSIM_ADAPTER_PFO,ok,19.890392
15,73,0,21,0,52,0,63.060464,88.912748,0,VISSIM_ADAPTER_PFO,ok,19.890392
20,99,0,27,0,72,0,64.933611,97.457908,0,VISSIM_ADAPTER_PFO,ok,19.890392
25,118,0,34,0,82,2,66.650875,97.948579,0,VISSIM_ADAPTER_PFO,ok,19.890392
30,136,0,35,0,97,4,66.852301,106.598334,0,VISSIM_ADAPTER_PFO,ok,19.890392
35,160,1,41,0,111,7,64.768880,107.477535,3,VISSIM_ADAPTER_PFO,ok,19.890392
40,178,5,45,2,116,10,61.146306,105.689343,10,VISSIM_ADAPTER_PFO,ok,19.890392
45,199,9,51,4,124,11,58.660793,106.178339,29,VISSIM_ADAPTER_PFO,ok,19.890392
50,226,15,59,5,136,11,56.792086,104.470690,36,VISSIM_ADAPTER_PFO,ok,19.890392
55,250,22,63,7,149,9,55.753095,107.336034,46,VISSIM_ADAPTER_PFO,ok,19.890392
60,275,26,66,10,165,8,54.884122,109.916417,60,VISSIM_ADAPTER_PFO,ok,10.692135
65,305,25,76,8,179,17,54.437744,105.672372,46,VISSIM_ADAPTER_PFO,ok,10.692135
70,337,29,82,6,194,26,56.420135,105.190586,43,VISSIM_ADAPTER_PFO,ok,10.692135
75,366,41,89,1,209,26,57.404571,107.637279,39,VISSIM_ADAPTER_PFO,ok,10.692135
80,392,53,94,3,217,25,58.361573,109.244572,46,VISSIM_ADAPTER_PFO,ok,10.692135
85,419,57,98,6,221,37,58.936803,109.212589,49,VISSIM_ADAPTER_PFO,ok,10.692135
90,438,71,102,6,224,35,58.724035,108.553546,60,VISSIM_ADAPTER_PFO,ok,10.692135
95,465,83,103,9,237,33,57.658531,110.018269,76,VISSIM_ADAPTER_PFO,ok,10.692135
100,492,98,107,7,250,30,56.939330,110.199968,92,VISSIM_ADAPTER_PFO,ok,10.692135
105,513,105,108,8,262,30,54.320774,108.816109,104,VISSIM_ADAPTER_PFO,ok,10.692135
110,535,115,113,5,271,31,53.332441,106.618220,123,VISSIM_ADAPTER_PFO,ok,10.692135
115,565,121,120,9,285,30,52.136099,106.263279,138,VISSIM_ADAPTER_PFO,ok,10.692135
120,579,127,119,15,290,28,49.593521,106.921822,158,VISSIM_ADAPTER_PFO,ok,10.0937
125,598,140,115,15,309,19,45.777110,105.062247,170,VISSIM_ADAPTER_PFO,ok,10.0937
130,614,121,114,13,306,60,45.057060,103.414130,145,VISSIM_ADAPTER_PFO,ok,10.0937
135,641,131,114,17,314,65,46.961327,104.474919,136,VISSIM_ADAPTER_PFO,ok,10.0937
140,659,138,119,25,315,62,47.761027,103.647307,128,VISSIM_ADAPTER_PFO,ok,10.0937
145,677,159,122,31,310,55,47.583890,103.021174,135,VISSIM_ADAPTER_PFO,ok,10.0937
150,702,177,127,36,315,47,48.630028,104.539553,143,VISSIM_ADAPTER_PFO,ok,10.0937
155,724,186,127,36,312,63,49.113521,105.786909,149,VISSIM_ADAPTER_PFO,ok,10.0937
160,737,206,125,40,309,57,48.442126,108.003966,156,VISSIM_ADAPTER_PFO,ok,10.0937
165,752,221,128,46,312,45,47.496447,107.076141,173,VISSIM_ADAPTER_PFO,ok,10.0937
170,755,227,119,50,307,52,45.582461,108.746534,191,VISSIM_ADAPTER_PFO,ok,10.0937
175,757,229,118,50,295,65,44.349578,106.141966,211,VISSIM_ADAPTER_PFO,ok,10.0937
180,771,236,115,52,298,70,43.682135,106.524476,235,VISSIM_ADAPTER_PFO,ok,10.49428
185,777,245,108,56,306,62,41.220177,104.475610,248,VISSIM_ADAPTER_PFO,ok,10.49428
190,793,246,111,60,317,59,39.548996,101.235376,221,VISSIM_ADAPTER_PFO,ok,10.49428
195,819,244,116,51,332,76,39.872959,101.482517,203,VISSIM_ADAPTER_PFO,ok,10.49428
200,841,241,125,47,352,76,41.472506,100.162526,217,VISSIM_ADAPTER_PFO,ok,10.49428
205,857,252,129,48,364,64,43.107011,102.862987,222,VISSIM_ADAPTER_PFO,ok,10.49428
210,868,264,126,42,374,62,43.878100,105.502441,237,VISSIM_ADAPTER_PFO,ok,10.49428
215,859,273,122,35,371,58,43.644476,105.370148,244,VISSIM_ADAPTER_PFO,ok,10.49428
220,858,277,117,26,379,59,42.766958,103.495990,262,VISSIM_ADAPTER_PFO,ok,10.49428
225,868,283,120,22,392,51,41.526282,101.513041,277,VISSIM_ADAPTER_PFO,ok,10.49428
230,874,286,124,21,396,47,40.262988,98.430715,303,VISSIM_ADAPTER_PFO,ok,10.49428
235,892,297,130,14,407,44,39.752251,97.533745,317,VISSIM_ADAPTER_PFO,ok,10.49428
240,897,309,126,8,410,44,38.056809,97.071009,344,VISSIM_ADAPTER_PFO,ok,10.175757
245,904,303,132,7,404,58,38.134731,91.587698,277,VISSIM_ADAPTER_PFO,ok,10.175757
250,898,290,127,13,391,77,38.232712,87.103121,240,VISSIM_ADAPTER_PFO,ok,10.175757
255,893,294,128,21,383,67,37.907084,82.730239,229,VISSIM_ADAPTER_PFO,ok,10.175757
260,905,300,133,29,384,59,38.530944,83.436697,222,VISSIM_ADAPTER_PFO,ok,10.175757
265,918,303,133,32,381,69,39.161369,83.084648,210,VISSIM_ADAPTER_PFO,ok,10.175757
270,933,317,130,33,386,67,39.916127,82.152457,201,VISSIM_ADAPTER_PFO,ok,10.175757
275,954,324,126,31,403,70,40.288211,83.119345,199,VISSIM_ADAPTER_PFO,ok,10.175757
280,961,324,125,31,407,74,39.723385,83.404865,218,VISSIM_ADAPTER_PFO,ok,10.175757
285,970,322,122,38,407,81,39.234527,82.338856,242,VISSIM_ADAPTER_PFO,ok,10.175757
290,975,320,118,45,413,79,38.211540,85.242617,260,VISSIM_ADAPTER_PFO,ok,10.175757
295,985,324,123,56,416,66,36.461226,87.344444,290,VISSIM_ADAPTER_PFO,ok,10.175757
300,999,326,127,53,425,68,34.953711,87.461149,292,VISSIM_ADAPTER_PFO,ok,10.510956
305,1009,320,127,47,429,86,35.173562,87.272136,268,VISSIM_ADAPTER_PFO,ok,10.510956
310,1014,322,125,45,435,87,35.852109,86.341534,274,VISSIM_ADAPTER_PFO,ok,10.510956
315,1021,324,129,41,449,78,35.749621,82.805654,293,VISSIM_ADAPTER_PFO,ok,10.510956
320,1029,326,133,33,461,76,36.161398,80.786940,319,VISSIM_ADAPTER_PFO,ok,10.510956
325,1026,330,132,23,460,81,36.336655,80.084817,330,VISSIM_ADAPTER_PFO,ok,10.510956
330,1031,340,137,18,463,73,36.221165,79.708921,347,VISSIM_ADAPTER_PFO,ok,10.510956
335,1030,340,139,14,463,74,34.941219,79.740743,366,VISSIM_ADAPTER_PFO,ok,10.510956
340,1045,341,144,10,477,73,33.850877,82.046273,396,VISSIM_ADAPTER_PFO,ok,10.510956
345,1050,356,146,10,485,53,33.286713,83.623031,418,VISSIM_ADAPTER_PFO,ok,10.510956
350,1059,363,143,11,496,46,32.815175,87.517387,441,VISSIM_ADAPTER_PFO,ok,10.510956
355,1064,367,151,10,493,43,32.153508,86.920720,466,VISSIM_ADAPTER_PFO,ok,10.510956
360,1064,374,150,5,497,38,30.665808,85.383071,457,VISSIM_ADAPTER_PFO,ok,10.856724
365,1075,360,153,6,491,65,30.688209,86.879772,414,VISSIM_ADAPTER_PFO,ok,10.856724
370,1081,356,159,14,483,69,31.518748,87.940784,405,VISSIM_ADAPTER_PFO,ok,10.856724
375,1077,360,150,26,475,66,31.912254,88.252698,380,VISSIM_ADAPTER_PFO,ok,10.856724
380,1086,360,152,30,473,71,32.775812,88.036208,367,VISSIM_ADAPTER_PFO,ok,10.856724
385,1103,363,153,38,480,69,33.882478,87.684307,382,VISSIM_ADAPTER_PFO,ok,10.856724
390,1120,376,148,44,486,66,33.873847,86.964855,383,VISSIM_ADAPTER_PFO,ok,10.856724
395,1134,380,149,45,492,68,34.408920,88.030243,380,VISSIM_ADAPTER_PFO,ok,10.856724
400,1144,386,146,46,493,73,34.331906,90.365012,375,VISSIM_ADAPTER_PFO,ok,10.856724
405,1157,393,146,52,493,73,33.354251,90.733699,384,VISSIM_ADAPTER_PFO,ok,10.856724
410,1168,392,145,56,498,77,32.649379,90.726300,381,VISSIM_ADAPTER_PFO,ok,10.856724
415,1178,401,148,45,505,79,32.535217,88.138024,401,VISSIM_ADAPTER_PFO,ok,10.856724
420,1171,404,148,46,492,81,31.303564,85.739748,410,VISSIM_ADAPTER_PFO,ok,10.6559
425,1174,398,150,53,486,87,30.988467,86.958212,385,VISSIM_ADAPTER_PFO,ok,10.6559
430,1177,402,147,57,493,78,30.853491,87.155482,401,VISSIM_ADAPTER_PFO,ok,10.6559
435,1175,401,146,61,486,81,30.708129,82.948922,402,VISSIM_ADAPTER_PFO,ok,10.6559
440,1185,407,141,67,496,74,29.819933,79.715296,414,VISSIM_ADAPTER_PFO,ok,10.6559
445,1188,408,135,60,502,83,29.089156,80.808653,400,VISSIM_ADAPTER_PFO,ok,10.6559
450,1194,402,139,59,509,85,29.768862,81.537068,405,VISSIM_ADAPTER_PFO,ok,10.6559
455,1203,403,146,53,519,82,29.967527,82.766078,413,VISSIM_ADAPTER_PFO,ok,10.6559
460,1211,406,155,53,527,70,30.905061,84.903141,426,VISSIM_ADAPTER_PFO,ok,10.6559
465,1226,404,158,46,538,80,31.486667,87.576849,443,VISSIM_ADAPTER_PFO,ok,10.6559
470,1235,403,159,33,554,86,31.422956,88.798734,457,VISSIM_ADAPTER_PFO,ok,10.6559
475,1245,421,161,28,568,67,31.364841,89.297645,489,VISSIM_ADAPTER_PFO,ok,10.6559
480,1249,432,161,23,571,62,30.835776,91.612045,516,VISSIM_ADAPTER_PFO,ok,10.325655
485,1254,433,162,21,575,63,30.969897,94.085504,507,VISSIM_ADAPTER_PFO,ok,10.325655
490,1262,430,167,24,577,64,30.776293,95.464401,488,VISSIM_ADAPTER_PFO,ok,10.325655
495,1267,411,161,27,581,87,30.770090,95.660433,463,VISSIM_ADAPTER_PFO,ok,10.325655
500,1272,411,159,33,585,84,31.517218,98.131951,466,VISSIM_ADAPTER_PFO,ok,10.325655
505,1276,410,156,45,587,78,32.452533,99.097990,451,VISSIM_ADAPTER_PFO,ok,10.325655
510,1257,413,147,54,575,68,32.263179,102.191717,460,VISSIM_ADAPTER_PFO,ok,10.325655
515,1263,412,136,60,580,75,32.516392,104.371264,452,VISSIM_ADAPTER_PFO,ok,10.325655
520,1279,414,137,66,588,74,32.790387,102.334319,443,VISSIM_ADAPTER_PFO,ok,10.325655
525,1292,421,137,70,588,76,32.189101,99.113248,462,VISSIM_ADAPTER_PFO,ok,10.325655
530,1290,423,133,77,575,82,31.690551,99.197470,465,VISSIM_ADAPTER_PFO,ok,10.325655
535,1293,433,127,81,572,80,30.736638,99.621938,476,VISSIM_ADAPTER_PFO,ok,10.325655
540,1300,442,132,87,568,71,29.956230,97.909136,496,VISSIM_ADAPTER_PFO,ok,10.588635
545,1301,436,129,94,558,84,30.057411,98.006100,500,VISSIM_ADAPTER_PFO,ok,10.588635
550,1303,441,122,96,559,85,29.724154,101.142348,513,VISSIM_ADAPTER_PFO,ok,10.588635
555,1293,436,119,95,551,92,29.918906,98.435945,493,VISSIM_ADAPTER_PFO,ok,10.588635
560,1302,433,122,95,562,90,29.996574,97.795211,506,VISSIM_ADAPTER_PFO,ok,10.588635
565,1319,439,126,92,576,86,30.291384,99.143566,520,VISSIM_ADAPTER_PFO,ok,10.588635
570,1341,436,127,84,605,89,30.656225,98.494151,522,VISSIM_ADAPTER_PFO,ok,10.588635
575,1347,439,134,79,607,88,30.701399,100.582210,519,VISSIM_ADAPTER_PFO,ok,10.588635
580,1344,445,137,69,605,88,30.448644,101.320377,530,VISSIM_ADAPTER_PFO,ok,10.588635
585,1340,452,132,67,608,81,29.669490,100.931564,559,VISSIM_ADAPTER_PFO,ok,10.588635
590,1347,450,133,61,620,83,29.331898,98.391146,578,VISSIM_ADAPTER_PFO,ok,10.588635
595,1364,446,145,57,634,82,29.233468,96.510996,604,VISSIM_ADAPTER_PFO,ok,10.588635
600,1372,443,150,47,643,89,28.541744,93.685776,617,VISSIM_ADAPTER_PFO,ok,10.70127
605,1377,437,149,37,656,98,27.702290,91.711885,608,VISSIM_ADAPTER_PFO,ok,10.70127
610,1381,438,146,33,662,102,27.536915,92.160433,605,VISSIM_ADAPTER_PFO,ok,10.70127
615,1383,435,148,33,669,98,27.460208,93.327105,620,VISSIM_ADAPTER_PFO,ok,10.70127
620,1387,422,149,37,672,107,27.226624,92.126409,606,VISSIM_ADAPTER_PFO,ok,10.70127
625,1381,417,145,48,666,105,27.051466,88.719645,619,VISSIM_ADAPTER_PFO,ok,10.70127
630,1380,414,145,60,659,102,27.286538,86.768604,617,VISSIM_ADAPTER_PFO,ok,10.70127
635,1379,415,143,72,658,91,27.480116,88.997736,604,VISSIM_ADAPTER_PFO,ok,10.70127
640,1387,419,147,78,661,82,28.061037,93.138557,606,VISSIM_ADAPTER_PFO,ok,10.70127
645,1386,414,150,80,656,86,28.483144,93.448731,620,VISSIM_ADAPTER_PFO,ok,10.70127
650,1381,415,144,84,649,89,28.926186,94.345938,612,VISSIM_ADAPTER_PFO,ok,10.70127
655,1378,422,145,89,640,82,28.606492,95.640710,607,VISSIM_ADAPTER_PFO,ok,10.70127
660,1370,421,141,91,628,89,28.137452,96.932579,596,VISSIM_ADAPTER_PFO,ok,10.845116
665,1359,422,141,89,607,100,27.753208,94.525181,598,VISSIM_ADAPTER_PFO,ok,10.845116
670,1347,416,135,92,598,106,27.595314,94.071327,605,VISSIM_ADAPTER_PFO,ok,10.845116
675,1344,426,130,92,598,98,27.269227,93.180796,596,VISSIM_ADAPTER_PFO,ok,10.845116
680,1341,421,127,87,601,105,27.601671,93.869823,579,VISSIM_ADAPTER_PFO,ok,10.845116
685,1350,433,129,84,620,84,27.674798,92.647519,555,VISSIM_ADAPTER_PFO,ok,10.845116
690,1343,427,123,76,623,94,27.195900,92.756099,543,VISSIM_ADAPTER_PFO,ok,10.845116
695,1362,433,125,69,639,96,27.672137,95.006842,546,VISSIM_ADAPTER_PFO,ok,10.845116
700,1378,442,136,58,653,89,27.896431,95.913669,565,VISSIM_ADAPTER_PFO,ok,10.845116
705,1385,447,137,46,670,85,27.984653,97.220096,582,VISSIM_ADAPTER_PFO,ok,10.845116
710,1383,452,140,43,671,77,29.119914,98.971902,594,VISSIM_ADAPTER_PFO,ok,10.845116
715,1384,448,146,35,672,83,29.420289,99.543087,606,VISSIM_ADAPTER_PFO,ok,10.845116
720,1381,457,144,31,676,73,28.693768,100.713587,613,VISSIM_ADAPTER_PFO,ok,10.867274
725,1382,462,143,25,680,72,28.162878,100.100292,630,VISSIM_ADAPTER_PFO,ok,10.867274
730,1383,462,137,20,690,74,27.409645,101.094463,662,VISSIM_ADAPTER_PFO,ok,10.867274
735,1377,457,139,18,683,80,26.986631,101.699474,669,VISSIM_ADAPTER_PFO,ok,10.867274
740,1356,459,141,23,664,69,25.750431,101.404029,668,VISSIM_ADAPTER_PFO,ok,10.867274
745,1346,456,133,27,654,76,25.353320,102.487846,650,VISSIM_ADAPTER_PFO,ok,10.867274
750,1351,451,132,33,651,84,25.951947,101.343171,621,VISSIM_ADAPTER_PFO,ok,10.867274
755,1346,449,131,43,641,82,26.672054,101.300778,618,VISSIM_ADAPTER_PFO,ok,10.867274
760,1356,456,131,52,640,77,27.322343,101.123574,612,VISSIM_ADAPTER_PFO,ok,10.867274
765,1377,455,138,57,648,79,27.693033,98.321669,616,VISSIM_ADAPTER_PFO,ok,10.867274
770,1386,461,140,61,645,79,28.349439,98.903782,621,VISSIM_ADAPTER_PFO,ok,10.867274
775,1391,456,141,63,644,87,28.735044,99.687517,605,VISSIM_ADAPTER_PFO,ok,10.867274
780,1389,459,136,71,639,84,28.207202,100.538654,620,VISSIM_ADAPTER_PFO,ok,11.303994
785,1382,462,129,79,633,79,27.224068,101.948189,629,VISSIM_ADAPTER_PFO,ok,11.303994
790,1373,474,123,84,621,71,25.648783,100.959539,636,VISSIM_ADAPTER_PFO,ok,11.303994
795,1377,471,121,85,627,73,24.873201,97.960071,653,VISSIM_ADAPTER_PFO,ok,11.303994
800,1376,465,118,83,626,84,24.805035,95.066996,632,VISSIM_ADAPTER_PFO,ok,11.303994
805,1371,464,117,80,630,80,24.134430,90.451365,632,VISSIM_ADAPTER_PFO,ok,11.303994
810,1378,466,123,74,642,73,23.811508,86.149989,633,VISSIM_ADAPTER_PFO,ok,11.303994
815,1396,462,130,67,658,79,24.616099,85.210213,633,VISSIM_ADAPTER_PFO,ok,11.303994
820,1402,471,135,63,665,68,24.566103,85.705999,631,VISSIM_ADAPTER_PFO,ok,11.303994
825,1420,462,136,58,685,79,25.589092,89.966419,640,VISSIM_ADAPTER_PFO,ok,11.303994
830,1413,468,135,54,682,74,25.681297,91.837385,648,VISSIM_ADAPTER_PFO,ok,11.303994
835,1424,478,133,42,697,74,25.065970,92.762865,685,VISSIM_ADAPTER_PFO,ok,11.303994
840,1420,483,134,32,701,70,23.837670,88.381647,710,VISSIM_ADAPTER_PFO,ok,10.872298
845,1426,484,136,26,707,73,24.254444,89.219240,720,VISSIM_ADAPTER_PFO,ok,10.872298
850,1435,487,139,23,722,64,24.381821,90.171081,720,VISSIM_ADAPTER_PFO,ok,10.872298
855,1429,479,135,29,711,75,24.081238,93.469052,744,VISSIM_ADAPTER_PFO,ok,10.872298
860,1421,487,134,32,709,59,23.408848,96.887763,737,VISSIM_ADAPTER_PFO,ok,10.872298
865,1418,466,131,37,691,93,23.587964,98.753117,730,VISSIM_ADAPTER_PFO,ok,10.872298
870,1422,460,131,43,685,103,24.432955,98.461402,700,VISSIM_ADAPTER_PFO,ok,10.872298
875,1418,456,126,50,675,111,25.198193,98.991622,699,VISSIM_ADAPTER_PFO,ok,10.872298
880,1424,457,138,59,669,101,26.090173,98.836876,684,VISSIM_ADAPTER_PFO,ok,10.872298
885,1428,457,140,64,672,95,26.880512,100.360336,674,VISSIM_ADAPTER_PFO,ok,10.872298
890,1426,461,139,62,663,101,26.963819,98.316457,675,VISSIM_ADAPTER_PFO,ok,10.872298
895,1435,463,137,68,670,97,26.977548,98.835635,687,VISSIM_ADAPTER_PFO,ok,10.872298
900,1445,470,141,69,669,96,26.706049,97.191412,697,VISSIM_ADAPTER_PFO,ok,10.823442
905,1442,476,138,70,664,94,26.824501,97.902012,687,VISSIM_ADAPTER_PFO,ok,10.823442
910,1434,482,132,77,650,93,26.450317,98.447346,684,VISSIM_ADAPTER_PFO,ok,10.823442
915,1428,489,133,76,638,92,26.007836,99.852450,696,VISSIM_ADAPTER_PFO,ok,10.823442
920,1429,496,128,83,634,88,26.440611,100.090797,684,VISSIM_ADAPTER_PFO,ok,10.823442
925,1432,492,125,83,638,94,26.666022,100.256005,681,VISSIM_ADAPTER_PFO,ok,10.823442
930,1430,493,127,85,640,85,26.599178,100.232434,658,VISSIM_ADAPTER_PFO,ok,10.823442
935,1431,495,130,81,652,73,26.675221,100.245164,648,VISSIM_ADAPTER_PFO,ok,10.823442
940,1432,491,125,77,661,78,26.821178,102.302391,608,VISSIM_ADAPTER_PFO,ok,10.823442
945,1436,489,123,72,676,76,27.071211,104.476409,631,VISSIM_ADAPTER_PFO,ok,10.823442
950,1441,500,124,62,683,72,26.766199,103.202973,628,VISSIM_ADAPTER_PFO,ok,10.823442
955,1444,502,130,53,682,77,26.225365,103.844836,661,VISSIM_ADAPTER_PFO,ok,10.823442
960,1440,497,128,47,689,79,26.046451,104.439628,673,VISSIM_ADAPTER_PFO,ok,10.860503
965,1434,492,129,39,694,80,25.913539,105.522054,696,VISSIM_ADAPTER_PFO,ok,10.860503
970,1440,490,128,34,703,85,26.153469,105.786264,727,VISSIM_ADAPTER_PFO,ok,10.860503
975,1444,500,130,21,712,81,25.767094,106.192542,744,VISSIM_ADAPTER_PFO,ok,10.860503
980,1439,512,125,19,714,69,24.473834,105.962745,773,VISSIM_ADAPTER_PFO,ok,10.860503
985,1436,513,121,18,716,68,23.400756,105.119070,776,VISSIM_ADAPTER_PFO,ok,10.860503
990,1440,508,120,25,711,76,22.863250,105.235275,771,VISSIM_ADAPTER_PFO,ok,10.860503
995,1440,494,114,33,710,89,22.502928,104.983037,771,VISSIM_ADAPTER_PFO,ok,10.860503
1000,1437,501,114,42,707,73,22.538379,104.590159,767,VISSIM_ADAPTER_PFO,ok,10.860503
1005,1431,501,117,50,693,70,22.674232,102.835363,756,VISSIM_ADAPTER_PFO,ok,10.860503
1010,1429,501,120,58,679,71,22.791581,100.822460,739,VISSIM_ADAPTER_PFO,ok,10.860503
1015,1437,506,118,62,684,67,23.310143,98.853485,713,VISSIM_ADAPTER_PFO,ok,10.860503
1020,1445,507,115,66,685,72,23.909595,96.191249,699,VISSIM_ADAPTER_PFO,ok,11.115269
1025,1450,512,118,64,674,82,24.205295,90.925244,709,VISSIM_ADAPTER_PFO,ok,11.115269
1030,1455,515,123,66,662,89,24.066675,88.185786,720,VISSIM_ADAPTER_PFO,ok,11.115269
1035,1466,515,122,71,664,94,24.379724,90.224928,705,VISSIM_ADAPTER_PFO,ok,11.115269
1040,1458,523,112,69,660,94,24.402189,96.154505,707,VISSIM_ADAPTER_PFO,ok,11.115269
1045,1455,527,112,73,651,92,23.937924,94.983415,706,VISSIM_ADAPTER_PFO,ok,11.115269
1050,1445,528,107,69,648,93,23.684764,91.558409,700,VISSIM_ADAPTER_PFO,ok,11.115269
1055,1453,522,113,65,652,101,24.081469,90.474131,693,VISSIM_ADAPTER_PFO,ok,11.115269
1060,1457,528,120,62,657,90,24.752964,93.176823,690,VISSIM_ADAPTER_PFO,ok,11.115269
1065,1463,532,120,62,667,82,25.001310,93.348686,696,VISSIM_ADAPTER_PFO,ok,11.115269
1070,1462,533,121,58,670,80,24.942002,94.568411,686,VISSIM_ADAPTER_PFO,ok,11.115269
1075,1467,530,128,48,669,92,25.061387,94.043385,709,VISSIM_ADAPTER_PFO,ok,11.115269
1080,1464,539,130,37,673,85,25.179394,95.704958,720,VISSIM_ADAPTER_PFO,ok,11.018202
1085,1452,540,138,30,662,82,24.523482,95.215985,736,VISSIM_ADAPTER_PFO,ok,11.018202
1090,1452,542,148,23,662,77,24.898938,96.045990,745,VISSIM_ADAPTER_PFO,ok,11.018202
1095,1449,546,149,17,659,78,25.159112,97.054669,745,VISSIM_ADAPTER_PFO,ok,11.018202
