sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,3,0,1,0,2,0,55.782344,57.467425,0,VISSIM_ADAPTER_WU,ok,0.758209
5,24,0,10,0,14,0,57.260216,60.629561,0,VISSIM_ADAPTER_WU,ok,0.758209
10,50,0,16,0,34,0,60.397665,73.999201,0,VISSIM_ADAPTER_WU,ok,0.758209
15,70,0,23,0,47,0,63.677993,84.272601,0,VISSIM_ADAPTER_WU,ok,0.758209
20,100,0,33,0,67,0,64.860226,88.606528,0,VISSIM_ADAPTER_WU,ok,0.758209
25,129,0,42,0,85,2,66.012329,90.315193,0,VISSIM_ADAPTER_WU,ok,0.758209
30,161,0,52,0,104,5,65.989051,91.737116,0,VISSIM_ADAPTER_WU,ok,0.758209
35,185,0,54,0,119,12,64.660056,93.744474,3,VISSIM_ADAPTER_WU,ok,0.758209
40,218,2,59,2,134,21,63.253089,97.246467,12,VISSIM_ADAPTER_WU,ok,0.758209
45,247,11,63,4,145,24,62.432327,100.827143,18,VISSIM_ADAPTER_WU,ok,0.758209
50,265,18,64,5,152,26,61.328425,105.237133,26,VISSIM_ADAPTER_WU,ok,0.758209
55,286,27,72,7,156,24,60.150407,103.326329,36,VISSIM_ADAPTER_WU,ok,0.758209
60,322,30,75,12,174,31,58.407186,100.989999,44,VISSIM_ADAPTER_WU,ok,0.821747
65,349,38,78,18,188,27,56.653186,104.537881,46,VISSIM_ADAPTER_WU,ok,0.821747
70,370,41,82,14,194,39,57.490269,107.119471,40,VISSIM_ADAPTER_WU,ok,0.821747
75,399,58,85,8,212,36,57.454492,106.100589,51,VISSIM_ADAPTER_WU,ok,0.821747
80,425,70,90,10,224,31,58.027573,106.051094,62,VISSIM_ADAPTER_WU,ok,0.821747
85,453,78,95,8,238,34,57.403676,105.155523,70,VISSIM_ADAPTER_WU,ok,0.821747
90,467,92,95,6,245,29,56.023710,106.206859,83,VISSIM_ADAPTER_WU,ok,0.821747
95,490,101,101,3,257,28,55.429301,105.386581,100,VISSIM_ADAPTER_WU,ok,0.821747
100,510,111,103,3,261,32,54.726505,104.984673,112,VISSIM_ADAPTER_WU,ok,0.821747
105,531,120,107,9,263,32,53.895526,106.934024,126,VISSIM_ADAPTER_WU,ok,0.821747
