sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,5,0,1,0,4,0,53.537827,50.605510,0,VISSIM_ADAPTER_PFO,ok,18.075138
5,23,0,7,0,16,0,57.531646,63.844308,0,VISSIM_ADAPTER_PFO,ok,18.075138
10,48,0,11,0,37,0,58.979447,77.879307,0,VISSIM_ADAPTER_PFO,ok,18.075138
15,68,0,16,0,52,0,61.080533,87.841146,0,VISSIM_ADAPTER_PFO,ok,18.075138
20,83,0,24,0,59,0,63.697802,89.784794,0,VISSIM_ADAPTER_PFO,ok,18.075138
25,106,0,29,0,76,1,64.701619,93.664328,0,VISSIM_ADAPTER_PFO,ok,18.075138
30,128,0,34,0,92,2,65.214806,98.080571,0,VISSIM_ADAPTER_PFO,ok,18.075138
35,159,1,43,0,106,9,64.342405,100.249617,1,VISSIM_ADAPTER_PFO,ok,18.075138
40,181,8,48,1,111,13,63.602100,103.235822,11,VISSIM_ADAPTER_PFO,ok,18.075138
45,200,17,53,2,116,12,62.804336,104.673203,15,VISSIM_ADAPTER_PFO,ok,18.075138
50,221,24,57,4,125,11,61.989850,104.502339,22,VISSIM_ADAPTER_PFO,ok,18.075138
55,243,26,62,6,133,16,61.217998,105.339068,27,VISSIM_ADAPTER_PFO,ok,18.075138
60,272,32,69,6,147,18,58.559048,103.399620,35,VISSIM_ADAPTER_PFO,ok,9.790513
65,301,37,76,4,164,20,57.317480,105.241370,33,VISSIM_ADAPTER_PFO,ok,9.790513
70,326,39,86,4,172,25,57.849400,105.388335,34,VISSIM_ADAPTER_PFO,ok,9.790513
75,349,53,95,3,168,30,59.210686,103.352302,35,VISSIM_ADAPTER_PFO,ok,9.790513
80,384,71,103,2,183,25,59.938166,102.964186,42,VISSIM_ADAPTER_PFO,ok,9.790513
85,405,79,109,7,182,28,59.858436,102.907101,51,VISSIM_ADAPTER_PFO,ok,9.790513
90,431,91,110,7,197,26,59.582366,103.950794,63,VISSIM_ADAPTER_PFO,ok,9.790513
95,450,104,112,7,202,25,58.004787,103.707811,74,VISSIM_ADAPTER_PFO,ok,9.790513
