sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,9,0,4,0,5,0,54.792224,55.761227,0,VISSIM_ADAPTER_PFO,ok,53.737338
5,36,0,11,0,25,0,57.281528,65.028757,0,VISSIM_ADAPTER_PFO,ok,53.737338
10,72,0,22,0,50,0,59.367465,74.632843,0,VISSIM_ADAPTER_PFO,ok,53.737338
15,112,0,31,0,81,0,61.031322,84.773415,0,VISSIM_ADAPTER_PFO,ok,53.737338
20,151,0,43,0,108,0,62.108041,88.292045,0,VISSIM_ADAPTER_PFO,ok,53.737338
25,190,0,56,0,133,1,62.447080,88.997744,0,VISSIM_ADAPTER_PFO,ok,53.737338
30,226,0,62,0,159,5,62.319191,90.791617,0,VISSIM_ADAPTER_PFO,ok,53.737338
35,254,0,66,1,181,6,61.589505,96.663774,4,VISSIM_ADAPTER_PFO,ok,53.737338
40,283,3,69,3,191,17,57.879771,100.871846,15,VISSIM_ADAPTER_PFO,ok,53.737338
45,304,18,73,3,195,15,57.313453,103.112573,27,VISSIM_ADAPTER_PFO,ok,53.737338
50,338,26,75,6,213,18,56.579720,104.404364,40,VISSIM_ADAPTER_PFO,ok,53.737338
55,369,35,79,9,220,26,54.795689,104.787916,52,VISSIM_ADAPTER_PFO,ok,53.737338
60,407,50,90,10,232,25,52.608361,101.827611,64,VISSIM_ADAPTER_PFO,ok,28.552838
65,441,61,96,9,252,23,51.299862,102.842960,74,VISSIM_ADAPTER_PFO,ok,28.552838
70,474,66,102,8,268,30,51.695341,103.340678,75,VISSIM_ADAPTER_PFO,ok,28.552838
75,508,76,106,8,283,35,52.463112,104.984578,91,VISSIM_ADAPTER_PFO,ok,28.552838
80,540,89,113,3,296,39,52.494021,104.588520,95,VISSIM_ADAPTER_PFO,ok,28.552838
85,574,106,122,9,310,27,52.166598,103.720485,110,VISSIM_ADAPTER_PFO,ok,28.552838
90,598,117,126,9,318,28,51.061650,105.978680,126,VISSIM_ADAPTER_PFO,ok,28.552838
95,628,123,128,3,336,38,49.677481,106.562703,141,VISSIM_ADAPTER_PFO,ok,28.552838
100,656,130,130,5,356,35,48.253006,105.808001,170,VISSIM_ADAPTER_PFO,ok,28.552838
105,679,140,126,5,376,32,46.940752,104.742500,186,VISSIM_ADAPTER_PFO,ok,28.552838
110,703,146,120,10,395,32,45.183039,101.979252,199,VISSIM_ADAPTER_PFO,ok,28.552838
115,713,150,119,9,392,43,43.174382,102.293382,222,VISSIM_ADAPTER_PFO,ok,28.552838
120,744,163,120,11,414,36,40.804446,101.363072,250,VISSIM_ADAPTER_PFO,ok,26.850241
125,768,167,118,15,440,28,37.272538,99.861574,274,VISSIM_ADAPTER_PFO,ok,26.850241
130,797,151,124,19,445,58,36.462722,97.555558,251,VISSIM_ADAPTER_PFO,ok,26.850241
135,828,157,128,28,459,56,36.526196,93.603491,254,VISSIM_ADAPTER_PFO,ok,26.850241
140,851,168,129,33,479,42,35.784459,92.768894,253,VISSIM_ADAPTER_PFO,ok,26.850241
145,877,169,136,37,486,49,35.842196,92.448958,269,VISSIM_ADAPTER_PFO,ok,26.850241
150,909,176,136,46,496,55,36.057224,91.162507,286,VISSIM_ADAPTER_PFO,ok,26.850241
155,936,185,141,45,503,62,37.008686,89.608408,290,VISSIM_ADAPTER_PFO,ok,26.850241
160,965,206,141,46,514,58,36.489654,87.983710,297,VISSIM_ADAPTER_PFO,ok,26.850241
165,995,218,146,49,523,59,36.040740,85.808482,311,VISSIM_ADAPTER_PFO,ok,26.850241
170,1006,230,146,49,518,63,35.334703,83.616097,331,VISSIM_ADAPTER_PFO,ok,26.850241
175,1022,238,146,55,511,72,34.940166,83.394146,341,VISSIM_ADAPTER_PFO,ok,26.850241
180,1034,247,144,55,510,78,34.218389,85.706744,361,VISSIM_ADAPTER_PFO,ok,28.031014
185,1057,257,145,49,523,83,34.121395,87.485604,326,VISSIM_ADAPTER_PFO,ok,28.031014
190,1090,254,153,51,544,88,34.957368,87.869447,306,VISSIM_ADAPTER_PFO,ok,28.031014
195,1121,256,156,54,579,76,35.132366,88.989106,327,VISSIM_ADAPTER_PFO,ok,28.031014
