sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,8,0,2,0,6,0,54.412789,54.338687,0,VISSIM_ADAPTER_WU,ok,0.760665
5,36,0,8,0,28,0,56.315207,63.775328,0,VISSIM_ADAPTER_WU,ok,0.760665
10,59,0,14,0,45,0,58.901328,76.337657,0,VISSIM_ADAPTER_WU,ok,0.760665
15,95,0,24,0,71,0,60.197401,82.878966,0,VISSIM_ADAPTER_WU,ok,0.760665
20,130,0,33,0,97,0,61.155883,88.912036,0,VISSIM_ADAPTER_WU,ok,0.760665
25,168,0,39,0,128,1,61.731944,95.501577,0,VISSIM_ADAPTER_WU,ok,0.760665
30,210,0,51,0,157,2,62.128674,95.808772,0,VISSIM_ADAPTER_WU,ok,0.760665
35,248,0,61,0,177,10,61.037400,98.446849,3,VISSIM_ADAPTER_WU,ok,0.760665
40,285,9,70,1,191,14,59.829985,99.589655,13,VISSIM_ADAPTER_WU,ok,0.760665
45,331,19,75,1,218,18,59.412544,99.867680,25,VISSIM_ADAPTER_WU,ok,0.760665
50,370,29,85,3,233,20,56.801609,99.454035,30,VISSIM_ADAPTER_WU,ok,0.760665
55,412,40,90,8,257,17,54.751558,100.851550,45,VISSIM_ADAPTER_WU,ok,0.760665
60,445,51,92,8,269,25,52.419535,102.570231,59,VISSIM_ADAPTER_WU,ok,1.443645
65,478,62,95,5,290,26,49.569672,101.395246,70,VISSIM_ADAPTER_WU,ok,1.443645
70,524,65,104,4,316,35,48.510562,95.412232,82,VISSIM_ADAPTER_WU,ok,1.443645
75,563,82,114,4,327,36,47.287812,91.424013,93,VISSIM_ADAPTER_WU,ok,1.443645
80,594,95,122,9,342,26,46.000280,89.910980,111,VISSIM_ADAPTER_WU,ok,1.443645
85,634,102,130,4,365,33,45.024786,89.045038,130,VISSIM_ADAPTER_WU,ok,1.443645
90,675,118,131,5,392,29,43.768109,89.619730,155,VISSIM_ADAPTER_WU,ok,1.443645
95,704,122,134,5,406,37,43.415462,91.492180,178,VISSIM_ADAPTER_WU,ok,1.443645
100,738,132,135,4,436,31,42.530199,92.428927,193,VISSIM_ADAPTER_WU,ok,1.443645
105,768,139,140,5,459,25,40.650749,88.728737,217,VISSIM_ADAPTER_WU,ok,1.443645
110,788,145,137,5,472,29,37.726360,85.166362,253,VISSIM_ADAPTER_WU,ok,1.443645
115,804,154,139,7,478,26,35.590646,82.510943,270,VISSIM_ADAPTER_WU,ok,1.443645
120,826,158,147,8,479,34,34.531692,81.544369,307,VISSIM_ADAPTER_WU,ok,2.213072
125,845,176,148,8,497,16,31.998742,79.420161,328,VISSIM_ADAPTER_WU,ok,2.213072
130,875,154,150,12,504,55,32.282560,78.174978,299,VISSIM_ADAPTER_WU,ok,2.213072
135,895,153,153,20,507,62,33.064663,76.855495,288,VISSIM_ADAPTER_WU,ok,2.213072
140,921,164,157,28,510,62,33.989579,77.706937,285,VISSIM_ADAPTER_WU,ok,2.213072
145,951,181,165,29,516,60,34.953720,77.704459,296,VISSIM_ADAPTER_WU,ok,2.213072
150,978,193,169,32,521,63,36.022279,78.655177,300,VISSIM_ADAPTER_WU,ok,2.213072
155,1006,213,178,32,522,61,36.253960,80.251885,324,VISSIM_ADAPTER_WU,ok,2.213072
160,1033,220,180,37,531,65,37.065121,81.961924,330,VISSIM_ADAPTER_WU,ok,2.213072
165,1045,233,173,46,533,60,36.157466,82.211829,348,VISSIM_ADAPTER_WU,ok,2.213072
170,1059,245,165,50,537,62,35.311261,84.269406,371,VISSIM_ADAPTER_WU,ok,2.213072
175,1078,248,169,55,536,70,35.329373,87.243857,381,VISSIM_ADAPTER_WU,ok,2.213072
180,1106,254,174,59,548,71,35.509414,89.765529,398,VISSIM_ADAPTER_WU,ok,2.124668
185,1123,267,175,66,553,62,33.802031,87.588178,411,VISSIM_ADAPTER_WU,ok,2.124668
190,1139,273,178,66,561,61,32.109723,84.737224,399,VISSIM_ADAPTER_WU,ok,2.124668
195,1167,263,174,63,582,85,31.727769,81.549708,406,VISSIM_ADAPTER_WU,ok,2.124668
200,1187,268,176,65,604,74,31.530079,78.936824,411,VISSIM_ADAPTER_WU,ok,2.124668
205,1199,270,177,60,623,69,31.418635,77.075371,422,VISSIM_ADAPTER_WU,ok,2.124668
210,1213,274,176,60,643,60,31.628361,76.838481,445,VISSIM_ADAPTER_WU,ok,2.124668
215,1225,285,182,49,653,56,31.407806,77.602661,451,VISSIM_ADAPTER_WU,ok,2.124668
220,1239,284,178,41,673,63,30.511630,75.391249,484,VISSIM_ADAPTER_WU,ok,2.124668
225,1257,284,175,31,704,63,29.845408,72.698425,509,VISSIM_ADAPTER_WU,ok,2.124668
230,1270,291,180,25,714,60,29.535744,74.010129,535,VISSIM_ADAPTER_WU,ok,2.124668
235,1282,305,190,19,718,50,29.622935,76.032313,560,VISSIM_ADAPTER_WU,ok,2.124668
240,1286,317,191,18,712,48,28.186306,75.082594,590,VISSIM_ADAPTER_WU,ok,2.386859
245,1285,321,192,13,708,51,26.674263,72.390043,624,VISSIM_ADAPTER_WU,ok,2.386859
250,1288,339,196,15,708,30,25.325147,71.148357,620,VISSIM_ADAPTER_WU,ok,2.386859
255,1280,311,195,18,677,79,26.311880,73.399968,580,VISSIM_ADAPTER_WU,ok,2.386859
260,1281,314,192,27,680,68,27.176615,75.745126,551,VISSIM_ADAPTER_WU,ok,2.386859
265,1295,304,194,38,685,74,28.161343,77.920297,525,VISSIM_ADAPTER_WU,ok,2.386859
270,1310,309,197,54,696,54,28.636274,77.567261,523,VISSIM_ADAPTER_WU,ok,2.386859
275,1323,311,193,57,698,64,29.145853,75.552458,526,VISSIM_ADAPTER_WU,ok,2.386859
280,1339,317,191,57,708,66,29.606353,73.769431,517,VISSIM_ADAPTER_WU,ok,2.386859
285,1361,323,193,58,721,66,30.100773,74.803213,514,VISSIM_ADAPTER_WU,ok,2.386859
290,1376,324,193,61,728,70,29.894234,77.038017,517,VISSIM_ADAPTER_WU,ok,2.386859
295,1380,317,184,61,730,88,29.847452,80.736961,518,VISSIM_ADAPTER_WU,ok,2.386859
300,1380,316,181,66,722,95,29.529828,83.281466,546,VISSIM_ADAPTER_WU,ok,2.383272
