sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,6,0,2,0,4,0,55.493395,56.477464,0,VISSIM_ADAPTER_PFO,ok,54.82059
5,26,0,9,0,17,0,57.915284,63.435723,0,VISSIM_ADAPTER_PFO,ok,54.82059
10,53,0,18,0,35,0,60.048992,73.501285,0,VISSIM_ADAPTER_PFO,ok,54.82059
15,75,0,23,0,52,0,63.842514,89.214886,0,VISSIM_ADAPTER_PFO,ok,54.82059
20,102,0,30,0,72,0,65.520321,96.200293,0,VISSIM_ADAPTER_PFO,ok,54.82059
25,123,0,40,0,82,1,66.998840,95.214343,0,VISSIM_ADAPTER_PFO,ok,54.82059
30,147,0,46,0,97,4,66.985810,96.612043,0,VISSIM_ADAPTER_PFO,ok,54.82059
35,173,1,53,1,111,7,65.904239,99.760466,3,VISSIM_ADAPTER_PFO,ok,54.82059
40,197,5,65,2,116,9,63.295449,99.533590,10,VISSIM_ADAPTER_PFO,ok,54.82059
45,222,9,73,4,124,12,62.234090,101.640298,29,VISSIM_ADAPTER_PFO,ok,54.82059
50,246,15,76,4,136,15,61.434624,105.076286,37,VISSIM_ADAPTER_PFO,ok,54.82059
55,271,22,79,6,149,15,59.910341,106.253043,46,VISSIM_ADAPTER_PFO,ok,54.82059
60,297,26,81,8,165,17,58.665307,107.135155,59,VISSIM_ADAPTER_PFO,ok,28.558446
65,321,25,82,7,176,31,58.901354,107.609885,48,VISSIM_ADAPTER_PFO,ok,28.558446
70,353,32,90,10,193,28,58.577053,105.808423,49,VISSIM_ADAPTER_PFO,ok,28.558446
75,381,37,96,7,209,32,57.721910,105.730077,54,VISSIM_ADAPTER_PFO,ok,28.558446
80,409,46,104,7,222,30,57.938866,105.320199,62,VISSIM_ADAPTER_PFO,ok,28.558446
85,435,54,109,8,234,30,57.728468,103.366938,65,VISSIM_ADAPTER_PFO,ok,28.558446
90,456,67,117,6,239,27,56.397878,99.445225,77,VISSIM_ADAPTER_PFO,ok,28.558446
95,483,78,116,5,254,30,53.637797,95.313863,86,VISSIM_ADAPTER_PFO,ok,28.558446
