sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,7,0,1,0,6,0,54.644834,55.611930,0,VISSIM_ADAPTER_PFO,ok,53.896801
5,30,0,9,0,21,0,57.003140,62.757569,0,VISSIM_ADAPTER_PFO,ok,53.896801
10,65,0,16,0,49,0,58.654858,77.719340,0,VISSIM_ADAPTER_PFO,ok,53.896801
15,99,0,24,0,75,0,60.754900,87.972739,0,VISSIM_ADAPTER_PFO,ok,53.896801
20,125,0,31,0,94,0,62.945184,96.183137,0,VISSIM_ADAPTER_PFO,ok,53.896801
25,154,0,36,0,116,2,63.679660,99.863436,0,VISSIM_ADAPTER_PFO,ok,53.896801
30,179,0,40,0,135,4,62.757554,103.273682,0,VISSIM_ADAPTER_PFO,ok,53.896801
35,208,1,45,2,153,7,59.883967,104.749738,3,VISSIM_ADAPTER_PFO,ok,53.896801
40,240,5,51,2,168,14,57.375301,104.115777,16,VISSIM_ADAPTER_PFO,ok,53.896801
45,280,13,60,4,191,12,54.769824,102.178287,31,VISSIM_ADAPTER_PFO,ok,53.896801
50,315,20,66,6,209,14,53.883933,104.515368,46,VISSIM_ADAPTER_PFO,ok,53.896801
55,358,25,73,8,237,15,53.663158,105.268453,62,VISSIM_ADAPTER_PFO,ok,53.896801
60,397,33,83,11,252,18,52.405942,104.781802,71,VISSIM_ADAPTER_PFO,ok,28.877601
65,438,42,90,8,278,20,51.007702,103.987263,69,VISSIM_ADAPTER_PFO,ok,28.877601
70,482,46,94,4,303,35,51.255600,105.501739,77,VISSIM_ADAPTER_PFO,ok,28.877601
75,519,58,104,4,324,29,50.872771,106.992785,85,VISSIM_ADAPTER_PFO,ok,28.877601
80,558,66,108,8,341,35,50.388940,108.317490,111,VISSIM_ADAPTER_PFO,ok,28.877601
85,593,83,110,4,356,40,49.060703,108.028491,142,VISSIM_ADAPTER_PFO,ok,28.877601
90,624,97,119,6,371,31,48.105090,108.552427,153,VISSIM_ADAPTER_PFO,ok,28.877601
95,661,103,125,10,393,30,46.303925,107.831029,179,VISSIM_ADAPTER_PFO,ok,28.877601
100,686,111,129,10,400,36,44.990087,107.675785,192,VISSIM_ADAPTER_PFO,ok,28.877601
105,716,120,131,7,424,34,43.634725,107.865847,215,VISSIM_ADAPTER_PFO,ok,28.877601
110,742,129,130,14,437,32,41.585518,108.771137,256,VISSIM_ADAPTER_PFO,ok,28.877601
115,767,133,132,18,448,36,39.659332,104.673263,279,VISSIM_ADAPTER_PFO,ok,28.877601
120,787,146,131,19,454,37,37.633393,105.060839,300,VISSIM_ADAPTER_PFO,ok,27.217256
125,812,139,133,20,462,58,36.870016,101.367118,264,VISSIM_ADAPTER_PFO,ok,27.217256
130,836,143,137,24,471,61,38.488720,100.148730,260,VISSIM_ADAPTER_PFO,ok,27.217256
135,872,154,139,29,486,64,39.224677,98.306518,253,VISSIM_ADAPTER_PFO,ok,27.217256
140,896,164,139,38,501,54,39.600365,97.546982,271,VISSIM_ADAPTER_PFO,ok,27.217256
145,925,179,141,37,505,63,39.651333,96.587145,273,VISSIM_ADAPTER_PFO,ok,27.217256
150,932,202,137,45,495,53,37.872531,94.762694,286,VISSIM_ADAPTER_PFO,ok,27.217256
155,950,215,136,47,503,49,36.879976,90.915021,282,VISSIM_ADAPTER_PFO,ok,27.217256
160,971,222,136,50,507,56,36.008732,88.295363,305,VISSIM_ADAPTER_PFO,ok,27.217256
165,984,235,132,52,503,62,35.698221,88.656179,323,VISSIM_ADAPTER_PFO,ok,27.217256
170,1004,240,130,57,515,62,34.447938,87.779667,334,VISSIM_ADAPTER_PFO,ok,27.217256
175,1024,250,132,55,523,64,32.651567,87.968766,331,VISSIM_ADAPTER_PFO,ok,27.217256
180,1052,252,136,55,538,71,31.822356,86.240502,343,VISSIM_ADAPTER_PFO,ok,28.107622
185,1083,259,144,50,558,72,32.676869,86.806443,343,VISSIM_ADAPTER_PFO,ok,28.107622
190,1109,270,143,55,579,62,33.169788,90.575721,361,VISSIM_ADAPTER_PFO,ok,28.107622
195,1136,278,146,51,595,66,33.551891,90.229897,368,VISSIM_ADAPTER_PFO,ok,28.107622
200,1162,280,152,44,616,70,33.477051,88.491623,412,VISSIM_ADAPTER_PFO,ok,28.107622
205,1180,283,157,36,636,68,32.840598,85.273272,430,VISSIM_ADAPTER_PFO,ok,28.107622
210,1196,296,161,33,652,54,31.500762,82.616175,451,VISSIM_ADAPTER_PFO,ok,28.107622
215,1209,299,166,30,658,56,30.414535,79.142200,489,VISSIM_ADAPTER_PFO,ok,28.107622
220,1226,307,168,25,669,57,29.598834,76.883785,518,VISSIM_ADAPTER_PFO,ok,28.107622
225,1231,314,167,24,669,57,28.113930,75.767901,543,VISSIM_ADAPTER_PFO,ok,28.107622
230,1227,318,166,23,663,57,27.283089,74.898289,548,VISSIM_ADAPTER_PFO,ok,28.107622
235,1220,310,163,23,648,76,27.727825,74.899979,530,VISSIM_ADAPTER_PFO,ok,28.107622
240,1216,310,163,22,646,75,27.843089,76.839327,510,VISSIM_ADAPTER_PFO,ok,27.056738
245,1224,308,158,27,652,79,28.486194,79.033544,490,VISSIM_ADAPTER_PFO,ok,27.056738
250,1235,308,158,36,653,80,29.882903,80.631595,467,VISSIM_ADAPTER_PFO,ok,27.056738
255,1261,303,167,44,664,83,31.146625,81.818243,471,VISSIM_ADAPTER_PFO,ok,27.056738
260,1280,315,162,49,675,79,32.018784,85.272609,459,VISSIM_ADAPTER_PFO,ok,27.056738
265,1298,318,162,54,686,78,32.329597,87.795822,467,VISSIM_ADAPTER_PFO,ok,27.056738
270,1312,317,165,62,696,72,31.689681,88.599745,471,VISSIM_ADAPTER_PFO,ok,27.056738
275,1320,327,164,70,696,63,30.873545,88.688491,481,VISSIM_ADAPTER_PFO,ok,27.056738
280,1327,325,162,77,690,73,30.218583,89.159805,511,VISSIM_ADAPTER_PFO,ok,27.056738
285,1336,338,164,76,687,71,29.776122,89.876354,522,VISSIM_ADAPTER_PFO,ok,27.056738
290,1341,341,160,80,681,79,29.055744,88.432337,550,VISSIM_ADAPTER_PFO,ok,27.056738
295,1351,341,165,80,682,83,28.624005,88.289078,551,VISSIM_ADAPTER_PFO,ok,27.056738
300,1361,345,161,81,689,85,28.412516,89.596686,539,VISSIM_ADAPTER_PFO,ok,28.439192
