case_id,controller,scenario_id,category,demand_profile,returncode,elapsed_sec,timed_out,case_timeout_sec,sim_period_sec,urban_volume_vph,freeway_volume_vph,control_interval_sec,rand_seed,state_csv,action_csv,decision_dir,stdout,stderr
no-control_ramp_d_bias_u2200_fw3000_seed13_1200s,no-control,ramp_d_bias,1_ramp_metering,d_ramp_bias,0,157.449,False,520.0,1200,2200.0,3000.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\stderr.txt
wu_ramp_d_bias_u2200_fw3000_seed13_1200s,wu,ramp_d_bias,1_ramp_metering,d_ramp_bias,0,161.913,False,520.0,1200,2200.0,3000.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\stderr.txt
pfo_ramp_d_bias_u2200_fw3000_seed13_1200s,pfo,ramp_d_bias,1_ramp_metering,d_ramp_bias,0,378.195,False,520.0,1200,2200.0,3000.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\stderr.txt
no-control_ramp_f_bias_u2200_fw3000_seed13_1200s,no-control,ramp_f_bias,1_ramp_metering,f_ramp_bias,0,146.013,False,520.0,1200,2200.0,3000.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\stderr.txt
wu_ramp_f_bias_u2200_fw3000_seed13_1200s,wu,ramp_f_bias,1_ramp_metering,f_ramp_bias,0,159.339,False,520.0,1200,2200.0,3000.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\stderr.txt
pfo_ramp_f_bias_u2200_fw3000_seed13_1200s,pfo,ramp_f_bias,1_ramp_metering,f_ramp_bias,0,377.411,False,520.0,1200,2200.0,3000.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\stderr.txt
no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s,no-control,fw_eb_heavy,2_vsl,fw_eb_heavy,0,132.643,False,520.0,1200,1800.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\stderr.txt
wu_fw_eb_heavy_u1800_fw3400_seed13_1200s,wu,fw_eb_heavy,2_vsl,fw_eb_heavy,0,147.287,False,520.0,1200,1800.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\stderr.txt
pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s,pfo,fw_eb_heavy,2_vsl,fw_eb_heavy,0,370.316,False,520.0,1200,1800.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\stderr.txt
no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s,no-control,fw_wb_heavy,2_vsl,fw_wb_heavy,0,132.571,False,520.0,1200,1800.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\stderr.txt
wu_fw_wb_heavy_u1800_fw3400_seed13_1200s,wu,fw_wb_heavy,2_vsl,fw_wb_heavy,0,150.322,False,520.0,1200,1800.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_wb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_wb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_wb_heavy_u1800_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_wb_heavy_u1800_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_wb_heavy_u1800_fw3400_seed13_1200s\stderr.txt
pfo_fw_wb_heavy_u1800_fw3400_seed13_1200s,pfo,fw_wb_heavy,2_vsl,fw_wb_heavy,0,370.118,False,520.0,1200,1800.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_wb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_wb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_wb_heavy_u1800_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_wb_heavy_u1800_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_wb_heavy_u1800_fw3400_seed13_1200s\stderr.txt
no-control_urban_d_heavy_u2400_fw2600_seed13_1200s,no-control,urban_d_heavy,3_signal_split,urban_d_heavy,0,133.582,False,520.0,1200,2400.0,2600.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_d_heavy_u2400_fw2600_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_d_heavy_u2400_fw2600_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_d_heavy_u2400_fw2600_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_d_heavy_u2400_fw2600_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_d_heavy_u2400_fw2600_seed13_1200s\stderr.txt
wu_urban_d_heavy_u2400_fw2600_seed13_1200s,wu,urban_d_heavy,3_signal_split,urban_d_heavy,0,141.585,False,520.0,1200,2400.0,2600.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_d_heavy_u2400_fw2600_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_d_heavy_u2400_fw2600_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_d_heavy_u2400_fw2600_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_d_heavy_u2400_fw2600_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_d_heavy_u2400_fw2600_seed13_1200s\stderr.txt
pfo_urban_d_heavy_u2400_fw2600_seed13_1200s,pfo,urban_d_heavy,3_signal_split,urban_d_heavy,0,353.453,False,520.0,1200,2400.0,2600.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_d_heavy_u2400_fw2600_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_d_heavy_u2400_fw2600_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_d_heavy_u2400_fw2600_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_d_heavy_u2400_fw2600_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_d_heavy_u2400_fw2600_seed13_1200s\stderr.txt
no-control_urban_f_heavy_u2400_fw2600_seed13_1200s,no-control,urban_f_heavy,3_signal_split,urban_f_heavy,0,127.558,False,520.0,1200,2400.0,2600.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_f_heavy_u2400_fw2600_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_f_heavy_u2400_fw2600_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_f_heavy_u2400_fw2600_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_f_heavy_u2400_fw2600_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_urban_f_heavy_u2400_fw2600_seed13_1200s\stderr.txt
wu_urban_f_heavy_u2400_fw2600_seed13_1200s,wu,urban_f_heavy,3_signal_split,urban_f_heavy,0,143.58,False,520.0,1200,2400.0,2600.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_f_heavy_u2400_fw2600_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_f_heavy_u2400_fw2600_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_f_heavy_u2400_fw2600_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_f_heavy_u2400_fw2600_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_urban_f_heavy_u2400_fw2600_seed13_1200s\stderr.txt
pfo_urban_f_heavy_u2400_fw2600_seed13_1200s,pfo,urban_f_heavy,3_signal_split,urban_f_heavy,0,360.603,False,520.0,1200,2400.0,2600.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_f_heavy_u2400_fw2600_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_f_heavy_u2400_fw2600_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_f_heavy_u2400_fw2600_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_f_heavy_u2400_fw2600_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_urban_f_heavy_u2400_fw2600_seed13_1200s\stderr.txt
no-control_sym_high_u2600_fw3400_seed13_1200s,no-control,sym_high,4_symmetric_high,sym,0,137.939,False,520.0,1200,2600.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_sym_high_u2600_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_sym_high_u2600_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_sym_high_u2600_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_sym_high_u2600_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_sym_high_u2600_fw3400_seed13_1200s\stderr.txt
wu_sym_high_u2600_fw3400_seed13_1200s,wu,sym_high,4_symmetric_high,sym,0,154.916,False,520.0,1200,2600.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_sym_high_u2600_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_sym_high_u2600_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_sym_high_u2600_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_sym_high_u2600_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_sym_high_u2600_fw3400_seed13_1200s\stderr.txt
pfo_sym_high_u2600_fw3400_seed13_1200s,pfo,sym_high,4_symmetric_high,sym,0,369.471,False,520.0,1200,2600.0,3400.0,60,13,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_sym_high_u2600_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_sym_high_u2600_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_sym_high_u2600_fw3400_seed13_1200s\decisions,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_sym_high_u2600_fw3400_seed13_1200s\stdout.txt,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_sym_high_u2600_fw3400_seed13_1200s\stderr.txt
