sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,6,0,2,0,4,0,55.493395,56.477464,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
5,26,0,9,0,17,0,57.915284,63.435723,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
10,53,0,18,0,35,0,60.048992,73.501285,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
15,75,0,23,0,52,0,63.842514,89.214886,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
20,102,0,30,0,72,0,65.520321,96.200293,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
25,123,0,40,0,82,1,66.998840,95.214343,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
30,147,0,46,0,97,4,66.985810,96.612043,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
35,173,1,53,1,111,7,65.904239,99.760466,3,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
40,197,5,65,2,116,9,63.295449,99.533590,10,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
45,222,9,73,4,124,12,62.234090,101.640298,29,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
50,246,15,76,4,136,15,61.434624,105.076286,37,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
55,271,22,79,6,149,15,59.910341,106.253043,46,VISSIM_ADAPTER_NO-CONTROL,ok,0.335926
60,297,26,81,8,165,17,58.665307,107.135155,59,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
65,321,25,82,7,179,28,58.215562,107.609885,46,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
70,353,28,90,9,193,33,58.939142,105.808423,43,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
75,381,41,96,3,208,33,58.720733,105.730077,39,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
80,409,54,104,7,217,27,59.318976,105.320199,46,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
85,435,60,109,8,222,36,59.402261,103.366938,49,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
90,456,75,117,6,228,30,58.451102,99.445225,63,VISSIM_ADAPTER_NO-CONTROL,ok,0.28263
