sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,6,0,2,0,4,0,55.493395,56.477464,0,VISSIM_ADAPTER_PFO,ok,19.393538
5,26,0,9,0,17,0,57.915284,63.435723,0,VISSIM_ADAPTER_PFO,ok,19.393538
10,53,0,18,0,35,0,60.048992,73.501285,0,VISSIM_ADAPTER_PFO,ok,19.393538
15,75,0,23,0,52,0,63.842514,89.214886,0,VISSIM_ADAPTER_PFO,ok,19.393538
20,102,0,30,0,72,0,65.520321,96.200293,0,VISSIM_ADAPTER_PFO,ok,19.393538
25,123,0,40,0,82,1,66.998840,95.214343,0,VISSIM_ADAPTER_PFO,ok,19.393538
30,147,0,46,0,97,4,66.985810,96.612043,0,VISSIM_ADAPTER_PFO,ok,19.393538
35,173,1,53,1,111,7,65.904239,99.760466,3,VISSIM_ADAPTER_PFO,ok,19.393538
40,197,5,65,2,116,9,63.295449,99.533590,10,VISSIM_ADAPTER_PFO,ok,19.393538
45,222,9,73,4,124,12,62.234090,101.640298,29,VISSIM_ADAPTER_PFO,ok,19.393538
50,246,15,76,4,136,15,61.434624,105.076286,37,VISSIM_ADAPTER_PFO,ok,19.393538
55,271,22,79,6,149,15,59.910341,106.253043,46,VISSIM_ADAPTER_PFO,ok,19.393538
60,297,26,81,8,165,17,58.665307,107.135155,59,VISSIM_ADAPTER_PFO,ok,10.275308
65,321,25,82,7,176,31,58.901354,107.609885,48,VISSIM_ADAPTER_PFO,ok,10.275308
70,353,32,90,10,193,28,58.577053,105.808423,49,VISSIM_ADAPTER_PFO,ok,10.275308
75,381,37,96,7,209,32,57.638974,105.730077,54,VISSIM_ADAPTER_PFO,ok,10.275308
80,409,48,104,7,222,28,57.874640,105.320199,57,VISSIM_ADAPTER_PFO,ok,10.275308
85,435,55,109,8,229,34,58.022577,103.366938,60,VISSIM_ADAPTER_PFO,ok,10.275308
90,456,71,117,6,237,25,56.676104,99.445225,69,VISSIM_ADAPTER_PFO,ok,10.275308
95,483,81,116,5,252,29,53.569790,95.313863,83,VISSIM_ADAPTER_PFO,ok,10.275308
100,512,84,122,5,268,33,51.921462,89.683865,102,VISSIM_ADAPTER_PFO,ok,10.275308
105,537,89,126,7,277,38,50.658185,84.932546,117,VISSIM_ADAPTER_PFO,ok,10.275308
110,554,107,132,10,277,28,47.377455,78.853263,131,VISSIM_ADAPTER_PFO,ok,10.275308
115,575,117,131,9,284,34,44.223587,71.891435,127,VISSIM_ADAPTER_PFO,ok,10.275308
120,592,130,133,16,280,33,42.481121,68.821873,134,VISSIM_ADAPTER_PFO,ok,9.959944
125,616,144,134,16,277,45,41.953492,66.466300,119,VISSIM_ADAPTER_PFO,ok,9.959944
130,638,157,138,18,273,52,41.719676,64.144400,125,VISSIM_ADAPTER_PFO,ok,9.959944
135,666,170,146,25,274,51,42.423202,65.627318,141,VISSIM_ADAPTER_PFO,ok,9.959944
140,686,188,148,28,273,49,42.266795,63.695739,147,VISSIM_ADAPTER_PFO,ok,9.959944
145,711,203,157,29,278,44,42.291433,65.641725,164,VISSIM_ADAPTER_PFO,ok,9.959944
150,738,205,158,29,291,55,41.845193,64.588628,176,VISSIM_ADAPTER_PFO,ok,9.959944
155,768,218,167,31,296,56,41.238728,64.620126,196,VISSIM_ADAPTER_PFO,ok,9.959944
160,781,230,171,32,297,51,39.927315,61.598881,221,VISSIM_ADAPTER_PFO,ok,9.959944
165,792,240,165,39,299,49,38.334926,60.841487,239,VISSIM_ADAPTER_PFO,ok,9.959944
170,811,239,169,41,309,53,37.015192,60.226613,253,VISSIM_ADAPTER_PFO,ok,9.959944
175,818,236,170,46,304,62,36.230267,60.885267,264,VISSIM_ADAPTER_PFO,ok,9.959944
180,823,240,163,46,317,57,35.518233,60.143241,250,VISSIM_ADAPTER_PFO,ok,10.027162
185,828,233,165,41,320,69,35.432671,62.196749,232,VISSIM_ADAPTER_PFO,ok,10.027162
190,842,243,163,39,334,63,37.018848,64.459049,227,VISSIM_ADAPTER_PFO,ok,10.027162
195,861,250,159,31,352,69,38.806795,64.859581,219,VISSIM_ADAPTER_PFO,ok,10.027162
200,872,252,158,28,370,64,40.653675,68.515030,238,VISSIM_ADAPTER_PFO,ok,10.027162
205,880,258,154,24,383,61,41.583036,72.110657,246,VISSIM_ADAPTER_PFO,ok,10.027162
210,880,271,151,17,383,58,41.504161,73.349693,251,VISSIM_ADAPTER_PFO,ok,10.027162
215,877,286,147,14,388,42,40.588746,75.348765,262,VISSIM_ADAPTER_PFO,ok,10.027162
220,878,294,150,9,385,40,38.818574,76.405628,279,VISSIM_ADAPTER_PFO,ok,10.027162
225,875,302,141,7,381,44,37.337484,80.052822,309,VISSIM_ADAPTER_PFO,ok,10.027162
230,876,316,136,6,381,37,36.084326,83.608904,323,VISSIM_ADAPTER_PFO,ok,10.027162
235,868,308,129,5,364,62,35.688599,85.316457,311,VISSIM_ADAPTER_PFO,ok,10.027162
240,865,316,127,11,364,47,34.220024,86.801780,293,VISSIM_ADAPTER_PFO,ok,10.527659
245,872,304,121,18,357,72,35.518517,87.959827,271,VISSIM_ADAPTER_PFO,ok,10.527659
250,881,304,125,26,350,76,37.470123,89.855517,242,VISSIM_ADAPTER_PFO,ok,10.527659
255,897,302,124,28,365,78,38.443176,88.609426,234,VISSIM_ADAPTER_PFO,ok,10.527659
260,912,304,119,32,382,75,38.779253,86.528012,245,VISSIM_ADAPTER_PFO,ok,10.527659
265,935,308,121,34,396,76,39.087292,83.251871,250,VISSIM_ADAPTER_PFO,ok,10.527659
270,953,312,125,42,404,70,38.865290,81.428403,246,VISSIM_ADAPTER_PFO,ok,10.527659
275,968,316,126,46,409,71,38.051146,76.960611,252,VISSIM_ADAPTER_PFO,ok,10.527659
280,974,312,127,48,405,82,37.354755,75.255211,277,VISSIM_ADAPTER_PFO,ok,10.527659
285,991,318,124,49,413,87,37.498486,75.283566,287,VISSIM_ADAPTER_PFO,ok,10.527659
290,998,324,124,53,417,80,35.765582,74.385120,308,VISSIM_ADAPTER_PFO,ok,10.527659
295,1000,325,125,52,419,79,34.013200,74.056742,276,VISSIM_ADAPTER_PFO,ok,10.527659
300,1009,323,132,50,421,83,33.266447,69.715164,276,VISSIM_ADAPTER_PFO,ok,10.555978
305,1017,322,138,42,431,84,33.881735,71.029046,285,VISSIM_ADAPTER_PFO,ok,10.555978
310,1017,324,136,34,440,83,34.157503,72.558797,303,VISSIM_ADAPTER_PFO,ok,10.555978
