sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,7,0,1,0,6,0,54.644834,55.611930,0,VISSIM_ADAPTER_PFO,ok,19.621549
5,30,0,9,0,21,0,57.003140,62.757569,0,VISSIM_ADAPTER_PFO,ok,19.621549
10,65,0,16,0,49,0,58.654858,77.719340,0,VISSIM_ADAPTER_PFO,ok,19.621549
15,99,0,24,0,75,0,60.754900,87.972739,0,VISSIM_ADAPTER_PFO,ok,19.621549
20,125,0,31,0,94,0,62.945184,96.183137,0,VISSIM_ADAPTER_PFO,ok,19.621549
25,154,0,36,0,116,2,63.679660,99.863436,0,VISSIM_ADAPTER_PFO,ok,19.621549
30,179,0,40,0,135,4,62.757554,103.273682,0,VISSIM_ADAPTER_PFO,ok,19.621549
35,208,1,45,2,153,7,59.883967,104.749738,3,VISSIM_ADAPTER_PFO,ok,19.621549
40,240,5,51,2,168,14,57.375301,104.115777,16,VISSIM_ADAPTER_PFO,ok,19.621549
45,280,13,60,4,191,12,54.769824,102.178287,31,VISSIM_ADAPTER_PFO,ok,19.621549
50,315,20,66,6,209,14,53.883933,104.515368,46,VISSIM_ADAPTER_PFO,ok,19.621549
55,358,25,73,8,237,15,53.663158,105.268453,62,VISSIM_ADAPTER_PFO,ok,19.621549
60,397,33,83,11,252,18,52.405942,104.781802,71,VISSIM_ADAPTER_PFO,ok,10.426504
65,438,42,90,8,278,20,51.007702,103.987263,69,VISSIM_ADAPTER_PFO,ok,10.426504
70,482,46,94,4,303,35,51.255600,105.501739,77,VISSIM_ADAPTER_PFO,ok,10.426504
75,519,58,104,4,324,29,50.872771,106.992785,85,VISSIM_ADAPTER_PFO,ok,10.426504
80,558,66,108,8,341,35,50.388940,108.317490,111,VISSIM_ADAPTER_PFO,ok,10.426504
85,593,83,110,4,356,40,49.060703,108.028491,142,VISSIM_ADAPTER_PFO,ok,10.426504
90,624,97,119,6,371,31,48.105090,108.552427,153,VISSIM_ADAPTER_PFO,ok,10.426504
95,661,103,125,10,393,30,46.303925,107.831029,179,VISSIM_ADAPTER_PFO,ok,10.426504
100,686,111,129,10,400,36,44.990087,107.675785,192,VISSIM_ADAPTER_PFO,ok,10.426504
105,716,120,131,7,424,34,43.634725,107.865847,215,VISSIM_ADAPTER_PFO,ok,10.426504
110,742,129,130,14,437,32,41.585518,108.771137,256,VISSIM_ADAPTER_PFO,ok,10.426504
115,767,133,132,18,448,36,39.659332,104.673263,279,VISSIM_ADAPTER_PFO,ok,10.426504
120,787,146,131,19,454,37,37.633393,105.060839,300,VISSIM_ADAPTER_PFO,ok,10.178168
125,812,159,133,20,476,24,34.543625,101.367118,323,VISSIM_ADAPTER_PFO,ok,10.178168
130,836,140,137,23,478,58,35.397297,100.148730,299,VISSIM_ADAPTER_PFO,ok,10.178168
135,872,141,139,26,495,71,36.891565,98.306518,288,VISSIM_ADAPTER_PFO,ok,10.178168
140,896,155,139,36,513,53,37.441429,97.546982,294,VISSIM_ADAPTER_PFO,ok,10.178168
145,925,165,141,39,520,60,38.195754,96.587145,290,VISSIM_ADAPTER_PFO,ok,10.178168
150,933,185,137,46,512,53,37.093718,94.762694,302,VISSIM_ADAPTER_PFO,ok,10.178168
155,950,201,136,49,514,50,36.408132,90.915021,306,VISSIM_ADAPTER_PFO,ok,10.178168
160,975,209,136,52,525,53,35.533006,88.295363,317,VISSIM_ADAPTER_PFO,ok,10.178168
165,994,223,132,51,526,62,35.268422,88.656179,337,VISSIM_ADAPTER_PFO,ok,10.178168
170,1010,232,130,58,530,60,34.637518,87.779667,343,VISSIM_ADAPTER_PFO,ok,10.178168
175,1027,237,132,57,528,73,33.783403,87.968766,362,VISSIM_ADAPTER_PFO,ok,10.178168
180,1054,243,135,68,542,66,32.968415,86.698824,388,VISSIM_ADAPTER_PFO,ok,10.221147
185,1087,253,141,66,558,69,32.757674,88.460746,347,VISSIM_ADAPTER_PFO,ok,10.221147
190,1112,249,143,62,580,78,33.410640,90.831816,346,VISSIM_ADAPTER_PFO,ok,10.221147
195,1137,265,143,53,602,74,33.735468,90.837124,347,VISSIM_ADAPTER_PFO,ok,10.221147
200,1160,267,149,47,624,73,34.256467,88.358374,365,VISSIM_ADAPTER_PFO,ok,10.221147
205,1186,275,157,44,645,65,34.379716,86.451911,392,VISSIM_ADAPTER_PFO,ok,10.221147
210,1200,277,160,36,660,67,33.609762,82.586758,408,VISSIM_ADAPTER_PFO,ok,10.221147
215,1212,284,165,27,669,67,32.200860,79.346370,441,VISSIM_ADAPTER_PFO,ok,10.221147
220,1230,293,170,23,684,60,31.378118,76.845549,474,VISSIM_ADAPTER_PFO,ok,10.221147
225,1233,289,172,18,691,63,30.257093,75.760609,513,VISSIM_ADAPTER_PFO,ok,10.221147
230,1227,307,168,17,683,52,29.920941,74.367247,519,VISSIM_ADAPTER_PFO,ok,10.221147
235,1224,317,165,14,672,56,29.054702,75.203734,522,VISSIM_ADAPTER_PFO,ok,10.221147
240,1220,319,165,16,661,59,28.233152,77.621051,495,VISSIM_ADAPTER_PFO,ok,10.195168
245,1213,305,158,24,642,84,28.544938,78.956817,472,VISSIM_ADAPTER_PFO,ok,10.195168
250,1215,305,159,32,635,84,29.218372,79.492982,441,VISSIM_ADAPTER_PFO,ok,10.195168
255,1234,310,166,41,640,77,30.322521,80.291107,440,VISSIM_ADAPTER_PFO,ok,10.195168
260,1251,312,164,50,646,79,31.695923,83.865078,433,VISSIM_ADAPTER_PFO,ok,10.195168
265,1269,314,164,52,659,80,32.148628,86.549675,446,VISSIM_ADAPTER_PFO,ok,10.195168
270,1290,316,165,61,674,74,32.211357,88.296980,454,VISSIM_ADAPTER_PFO,ok,10.195168
275,1301,310,166,68,685,72,31.985536,88.560099,456,VISSIM_ADAPTER_PFO,ok,10.195168
280,1306,317,164,73,682,70,31.432709,90.105895,468,VISSIM_ADAPTER_PFO,ok,10.195168
285,1316,322,168,74,677,75,31.007920,90.676701,489,VISSIM_ADAPTER_PFO,ok,10.195168
290,1311,330,161,79,667,74,30.416280,88.671410,501,VISSIM_ADAPTER_PFO,ok,10.195168
295,1325,340,167,77,667,74,29.492778,89.182201,487,VISSIM_ADAPTER_PFO,ok,10.195168
300,1326,334,159,77,669,87,29.155881,90.312635,478,VISSIM_ADAPTER_PFO,ok,10.649525
305,1334,328,156,71,672,107,29.633449,87.243326,480,VISSIM_ADAPTER_PFO,ok,10.649525
310,1345,345,157,72,683,88,29.533257,83.826204,480,VISSIM_ADAPTER_PFO,ok,10.649525
315,1363,349,160,75,694,85,29.546831,82.196678,489,VISSIM_ADAPTER_PFO,ok,10.649525
320,1377,357,170,72,699,79,29.123531,79.136345,503,VISSIM_ADAPTER_PFO,ok,10.649525
325,1385,368,175,64,702,76,28.363312,77.504367,557,VISSIM_ADAPTER_PFO,ok,10.649525
330,1393,376,177,61,711,68,27.844389,79.237829,577,VISSIM_ADAPTER_PFO,ok,10.649525
335,1399,379,179,56,718,67,27.688771,81.255153,588,VISSIM_ADAPTER_PFO,ok,10.649525
340,1401,382,173,44,729,73,27.786572,81.584156,611,VISSIM_ADAPTER_PFO,ok,10.649525
345,1396,389,175,42,727,63,27.261614,80.248921,628,VISSIM_ADAPTER_PFO,ok,10.649525
350,1380,394,166,38,725,57,26.597450,82.214374,649,VISSIM_ADAPTER_PFO,ok,10.649525
355,1370,386,167,45,713,59,25.770404,82.680757,614,VISSIM_ADAPTER_PFO,ok,10.649525
360,1361,375,169,53,689,75,25.929934,82.461638,592,VISSIM_ADAPTER_PFO,ok,10.676396
365,1364,369,168,63,690,74,26.131362,81.676793,580,VISSIM_ADAPTER_PFO,ok,10.676396
370,1374,372,170,71,689,72,26.438163,79.567721,596,VISSIM_ADAPTER_PFO,ok,10.676396
375,1389,370,166,76,703,74,26.948383,79.773512,607,VISSIM_ADAPTER_PFO,ok,10.676396
380,1403,385,164,80,708,66,27.026675,80.506451,618,VISSIM_ADAPTER_PFO,ok,10.676396
385,1420,388,165,81,712,74,26.496485,77.553982,622,VISSIM_ADAPTER_PFO,ok,10.676396
390,1437,396,160,87,725,69,26.025642,77.983926,633,VISSIM_ADAPTER_PFO,ok,10.676396
395,1438,397,157,88,719,77,25.246382,77.154884,646,VISSIM_ADAPTER_PFO,ok,10.676396
400,1451,411,162,90,715,73,24.560114,74.506597,661,VISSIM_ADAPTER_PFO,ok,10.676396
405,1461,401,170,93,712,85,24.545815,75.968824,670,VISSIM_ADAPTER_PFO,ok,10.676396
