sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles,controller_mode,controller_status,decision_wall_sec
1,5,0,1,0,4,0,55.123474,55.611930,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
5,20,0,5,0,15,0,57.638620,66.822785,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
10,39,0,15,0,24,0,61.350948,74.359003,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
15,61,0,18,0,43,0,63.967106,90.655165,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
20,79,0,25,0,54,0,66.415216,96.373101,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
25,98,0,29,0,68,1,67.680410,100.506907,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
30,116,0,34,0,79,3,67.466947,100.675270,0,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
35,128,1,36,1,86,4,66.674615,106.750133,3,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
40,149,4,41,2,94,8,63.041126,105.923175,7,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
45,165,9,43,4,101,8,59.255930,107.271803,18,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
50,180,12,48,4,107,9,58.265094,106.643694,30,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
55,199,16,53,7,113,10,57.091398,106.985112,36,VISSIM_ADAPTER_NO-CONTROL,ok,0.368615
60,218,21,59,7,119,12,55.545165,108.459876,48,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
65,236,24,60,8,128,16,56.771190,109.319876,40,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
70,258,28,66,5,133,26,60.259068,109.061004,24,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
75,278,40,73,1,135,29,63.219358,106.517445,18,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
80,301,55,80,4,138,24,64.759032,106.563235,19,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
85,321,69,83,4,136,29,65.083829,107.894384,28,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
90,344,82,87,6,145,24,64.348350,109.490386,38,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
95,363,89,92,6,153,23,63.034296,105.757665,46,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
100,383,90,95,6,164,28,61.283420,104.696292,53,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
105,397,96,98,7,173,23,59.499953,103.766661,68,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
110,407,100,94,6,178,29,56.046734,100.258443,76,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
115,418,104,96,10,186,22,52.576254,98.299569,97,VISSIM_ADAPTER_NO-CONTROL,ok,0.358599
120,444,104,100,6,203,31,49.808029,96.335693,116,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
125,465,114,102,10,219,20,46.266116,95.105376,126,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
130,486,94,109,12,218,53,47.599550,94.189295,88,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
135,497,97,101,18,216,65,50.234949,96.716462,65,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
140,514,121,101,22,217,53,53.116203,100.395028,53,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
145,533,127,102,26,218,60,53.794461,102.179706,63,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
150,556,144,109,29,220,54,53.787925,95.936642,80,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
155,570,166,109,36,215,44,52.768692,96.574597,91,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
160,594,184,114,39,220,37,52.180951,99.145173,95,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
165,606,188,118,37,212,51,50.772870,99.805675,109,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
170,616,191,114,40,214,57,49.416561,100.362291,132,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
175,621,191,116,40,213,61,47.699153,99.025585,151,VISSIM_ADAPTER_NO-CONTROL,ok,0.322883
180,627,200,116,44,209,58,46.447551,101.366686,173,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
185,633,206,116,49,211,51,43.728479,101.331024,194,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
190,649,209,116,50,222,52,42.327843,100.116891,162,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
195,665,202,113,44,233,73,44.039455,99.717353,138,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
200,682,205,115,39,251,72,47.672498,100.825376,127,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
205,694,217,120,33,259,65,50.356309,99.623721,116,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
210,700,226,112,27,271,64,50.651350,99.276933,129,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
215,705,235,113,22,278,57,50.515671,98.501299,140,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
220,708,240,114,16,285,53,49.817974,98.572700,153,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
225,705,246,107,19,286,47,48.267361,101.260699,170,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
230,708,258,108,19,284,39,45.678443,101.660749,191,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
235,706,258,108,16,283,41,43.916992,105.441086,208,VISSIM_ADAPTER_NO-CONTROL,ok,0.343535
240,697,269,102,11,275,40,42.766195,109.256262,240,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
245,696,277,105,7,266,41,41.029645,107.613112,262,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
250,682,289,98,12,260,23,38.391553,108.398908,254,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
255,693,264,104,16,247,62,39.819542,106.095030,209,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
260,700,269,108,17,249,57,42.014404,106.748001,183,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
265,702,258,105,27,250,62,43.331516,104.341678,156,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
270,713,260,108,37,255,53,44.541626,104.029057,148,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
275,719,255,105,39,260,60,45.361294,106.532805,139,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
280,732,267,112,46,260,47,45.768858,100.978354,141,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
285,740,261,108,43,260,68,45.849836,97.540980,150,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
290,745,270,104,40,259,72,45.600860,97.463037,161,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
295,746,275,108,45,253,65,44.082957,93.690953,174,VISSIM_ADAPTER_NO-CONTROL,ok,0.362724
300,744,272,109,52,243,68,42.956304,89.623245,193,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
305,743,279,110,58,232,64,41.557122,90.188326,208,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
310,749,295,103,60,241,50,39.633954,91.871727,226,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
315,753,285,99,57,240,72,39.473044,92.427235,171,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
320,758,281,103,50,240,84,42.562095,92.610142,142,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
325,759,283,107,45,242,82,45.056901,92.674827,109,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
330,774,289,112,40,257,76,46.581187,92.061528,116,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
335,785,301,118,36,268,62,47.752847,93.963494,130,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
340,792,312,120,28,278,54,47.477431,95.245484,148,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
345,796,319,121,20,287,49,45.072258,95.419949,191,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
350,805,322,116,14,298,55,43.734007,95.832918,213,VISSIM_ADAPTER_NO-CONTROL,ok,0.363131
